Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
9200159,Livestock Products - Wool,175826600.8,,168236119.2,,Livestock Products,Wool,101,Capital Region,,,
9200159,Livestock Products - Wool,4347.53,*,4159.85,*,Livestock Products,Wool,102,Central Coast,,,
9200159,Livestock Products - Wool,234785592.9,,224649835.8,,Livestock Products,Wool,103,Central West,,,
9200159,Livestock Products - Wool,19364.97,**,18528.98,**,Livestock Products,Wool,104,Coffs Harbour - Grafton,,,
9200159,Livestock Products - Wool,252020473.5,,241140681.9,,Livestock Products,Wool,105,Far West and Orana,,,
9200159,Livestock Products - Wool,6775382.47,*,6482887.38,*,Livestock Products,Wool,106,Hunter Valley excluding Newcastle,,,
9200159,Livestock Products - Wool,8589.76,*,8218.94,*,Livestock Products,Wool,107,Illawarra,,,
9200159,Livestock Products - Wool,9136.38,*,8741.96,*,Livestock Products,Wool,108,Mid North Coast,,,
9200159,Livestock Products - Wool,157991486,,151170951.1,,Livestock Products,Wool,109,Murray,,,
9200159,Livestock Products - Wool,108413122.7,,103732899,,Livestock Products,Wool,110,New England and North West,,,
9200159,Livestock Products - Wool,56214.63,*,53787.83,*,Livestock Products,Wool,112,Richmond - Tweed,,,
9200159,Livestock Products - Wool,158540172.7,,151695950.8,,Livestock Products,Wool,113,Riverina,,,
9200159,Livestock Products - Wool,175291.58,**,167724.2,**,Livestock Products,Wool,114,Southern Highlands and Shoalhaven,,,
9200159,Livestock Products - Wool,1101.93,**,1054.36,**,Livestock Products,Wool,115,Sydney - Baulkham Hills and Hawkesbury,,,
9200159,Livestock Products - Wool,33390.26,**,31948.79,**,Livestock Products,Wool,122,Sydney - Northern Beaches,,,
9200159,Livestock Products - Wool,59065.04,*,56515.18,*,Livestock Products,Wool,123,Sydney - Outer South West,,,
9200159,Livestock Products - Wool,262791.09,*,251446.32,*,Livestock Products,Wool,124,Sydney - Outer West and Blue Mountains,,,
9200159,Livestock Products - Wool,1626.5,,1556.29,,Livestock Products,Wool,127,Sydney - South West,,,
9200159,Livestock Products - Wool,89474363.6,^,86468493.6,^,Livestock Products,Wool,201,Ballarat,,,
9200159,Livestock Products - Wool,84567508.3,^,81726482.94,^,Livestock Products,Wool,202,Bendigo,,,
9200159,Livestock Products - Wool,34243638.23,*,33093231.33,*,Livestock Products,Wool,203,Geelong,,,
9200159,Livestock Products - Wool,77050812.06,^,74462308.32,^,Livestock Products,Wool,204,Hume,,,
9200159,Livestock Products - Wool,41247769.67,^,39862060.64,^,Livestock Products,Wool,205,Latrobe - Gippsland,,,
9200159,Livestock Products - Wool,511564.69,**,494378.8,**,Livestock Products,Wool,209,Melbourne - North East,,,
9200159,Livestock Products - Wool,3975920.01,*,3842349.92,*,Livestock Products,Wool,210,Melbourne - North West,,,
9200159,Livestock Products - Wool,41322.68,**,39934.46,**,Livestock Products,Wool,211,Melbourne - Outer East,,,
9200159,Livestock Products - Wool,836074.34,**,807986.62,**,Livestock Products,Wool,212,Melbourne - South East,,,
9200159,Livestock Products - Wool,606994.15,*,586602.33,*,Livestock Products,Wool,213,Melbourne - West,,,
9200159,Livestock Products - Wool,10033.81,**,9696.72,**,Livestock Products,Wool,214,Mornington Peninsula,,,
9200159,Livestock Products - Wool,232396120.9,,224588828.4,,Livestock Products,Wool,215,North West,,,
9200159,Livestock Products - Wool,23278969.23,^,22496917.78,^,Livestock Products,Wool,216,Shepparton,,,
9200159,Livestock Products - Wool,269480788,,260427644.9,,Livestock Products,Wool,217,Warrnambool and South West,,,
9200159,Livestock Products - Wool,3624.06,**,3470.98,**,Livestock Products,Wool,306,Cairns,,,
9200159,Livestock Products - Wool,34698831.1,^,33233151.38,^,Livestock Products,Wool,307,Darling Downs - Maranoa,,,
9200159,Livestock Products - Wool,77310.73,**,74045.13,**,Livestock Products,Wool,308,Central Queensland,,,
9200159,Livestock Products - Wool,1245.13,*,1192.54,*,Livestock Products,Wool,310,Ipswich,,,
9200159,Livestock Products - Wool,1008.7,**,966.09,**,Livestock Products,Wool,311,Logan - Beaudesert,,,
9200159,Livestock Products - Wool,9312.93,**,8919.56,**,Livestock Products,Wool,312,Mackay - Isaac - Whitsunday,,,
9200159,Livestock Products - Wool,41530822.08,,39776558.85,,Livestock Products,Wool,315,Queensland - Outback,,,
9200159,Livestock Products - Wool,13699.17,,13120.51,,Livestock Products,Wool,317,Toowoomba,,,
9200159,Livestock Products - Wool,155247.87,*,148690.19,*,Livestock Products,Wool,319,Wide Bay,,,
9200159,Livestock Products - Wool,3123101.64,^,2986066.15,^,Livestock Products,Wool,401,Adelaide - Central and Hills,,,
9200159,Livestock Products - Wool,251340.42,^,240312.1,^,Livestock Products,Wool,402,Adelaide - North,,,
9200159,Livestock Products - Wool,491839.93,*,470258.97,*,Livestock Products,Wool,403,Adelaide - South,,,
9200159,Livestock Products - Wool,110455768.5,,105609189,,Livestock Products,Wool,405,Barossa - Yorke - Mid North,,,
9200159,Livestock Products - Wool,138735725.6,,132648277.8,,Livestock Products,Wool,406,South Australia - Outback,,,
9200159,Livestock Products - Wool,239911885.5,,229385028.9,,Livestock Products,Wool,407,South Australia - South East,,,
9200159,Livestock Products - Wool,40772561.61,^,39263755.38,^,Livestock Products,Wool,501,Bunbury,,,
9200159,Livestock Products - Wool,655214.07,**,630967.59,**,Livestock Products,Wool,502,Mandurah,,,
9200159,Livestock Products - Wool,29919.72,**,28812.52,**,Livestock Products,Wool,504,Perth - North East,,,
9200159,Livestock Products - Wool,51776.67,^,49860.65,^,Livestock Products,Wool,506,Perth - South East,,,
9200159,Livestock Products - Wool,658530908.2,,634161687.8,,Livestock Products,Wool,509,Western Australia - Wheat Belt,,,
9200159,Livestock Products - Wool,549336.78,,529008.34,,Livestock Products,Wool,510,Western Australia - Outback (North),,,
9200159,Livestock Products - Wool,124939650.1,^,120316204.5,^,Livestock Products,Wool,511,Western Australia - Outback (South),,,
9200159,Livestock Products - Wool,3356291.08,^,3250880,^,Livestock Products,Wool,601,Hobart,,,
9200159,Livestock Products - Wool,52267350.33,,50625788.94,,Livestock Products,Wool,602,Launceston and North East,,,
9200159,Livestock Products - Wool,49082151.96,,47540628.14,,Livestock Products,Wool,603,South East,,,
9200159,Livestock Products - Wool,3195559.45,,3095196.47,,Livestock Products,Wool,604,West and North West,,,
9200159,Livestock Products - Wool,2198926.36,,2148928.02,,Livestock Products,Wool,801,Australian Capital Territory,,,
