Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
9100258,Livestock slaughtered and other disposals - Sheep and lambs,131854947.9,,121261854.4,,Livestock slaughtered and other disposals,Sheep and lambs,101,Capital Region,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,4041.06,*,3716.44,*,Livestock slaughtered and other disposals,Sheep and lambs,102,Central Coast,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,170755998.3,,157037419.1,,Livestock slaughtered and other disposals,Sheep and lambs,103,Central West,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,12239.34,**,11255.95,**,Livestock slaughtered and other disposals,Sheep and lambs,104,Coffs Harbour - Grafton,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,201835968.5,,185621189.1,,Livestock slaughtered and other disposals,Sheep and lambs,105,Far West and Orana,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,3808821.88,*,3502773.59,*,Livestock slaughtered and other disposals,Sheep and lambs,106,Hunter Valley excluding Newcastle,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,6684.8,*,6147.76,*,Livestock slaughtered and other disposals,Sheep and lambs,107,Illawarra,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,7181.3,**,6604.38,**,Livestock slaughtered and other disposals,Sheep and lambs,108,Mid North Coast,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,118012719.6,,108531677.9,,Livestock slaughtered and other disposals,Sheep and lambs,109,Murray,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,85945397.08,,79040818.2,,Livestock slaughtered and other disposals,Sheep and lambs,110,New England and North West,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,41243.52,*,37930.02,*,Livestock slaughtered and other disposals,Sheep and lambs,112,Richmond - Tweed,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,119834648.4,,110207291.8,,Livestock slaughtered and other disposals,Sheep and lambs,113,Riverina,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,101149.96,**,93022.45,**,Livestock slaughtered and other disposals,Sheep and lambs,114,Southern Highlands and Shoalhaven,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,1.69,**,1.52,**,Livestock slaughtered and other disposals,Sheep and lambs,115,Sydney - Baulkham Hills and Hawkesbury,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,27514.03,**,25303.68,**,Livestock slaughtered and other disposals,Sheep and lambs,122,Sydney - Northern Beaches,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,52377.9,*,48170.24,*,Livestock slaughtered and other disposals,Sheep and lambs,123,Sydney - Outer South West,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,248001.39,*,228079.27,*,Livestock slaughtered and other disposals,Sheep and lambs,124,Sydney - Outer West and Blue Mountains,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,1617.67,,1487.73,,Livestock slaughtered and other disposals,Sheep and lambs,127,Sydney - South West,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,138149473.5,^,125654322.1,^,Livestock slaughtered and other disposals,Sheep and lambs,201,Ballarat,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,142735527.6,^,129826027.9,^,Livestock slaughtered and other disposals,Sheep and lambs,202,Bendigo,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,64198671.26,*,58392533.26,*,Livestock slaughtered and other disposals,Sheep and lambs,203,Geelong,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,134764582.6,^,122576160.7,^,Livestock slaughtered and other disposals,Sheep and lambs,204,Hume,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,80035202.52,^,72796887.59,^,Livestock slaughtered and other disposals,Sheep and lambs,205,Latrobe - Gippsland,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,732673.76,**,666403.81,**,Livestock slaughtered and other disposals,Sheep and lambs,209,Melbourne - North East,,,
9100258,Livestock slaughtered and other disposals - Sheep and lambs,8050602.51,*,7322522.71,*,Livestock slaughtered and other disposals,Sheep and lambs,210,Melbourne - North West,,,
