Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
9015959,Livestock slaughtered and other disposals - Total,378770273.7,,353657775,,Livestock slaughtered and other disposals,Total,101,Capital Region,,,
9015959,Livestock slaughtered and other disposals - Total,82461415.1,^,81055202.1,^,Livestock slaughtered and other disposals,Total,102,Central Coast,,,
9015959,Livestock slaughtered and other disposals - Total,507172839.9,,471313195.8,,Livestock slaughtered and other disposals,Total,103,Central West,,,
9015959,Livestock slaughtered and other disposals - Total,57327596.33,^,53301616.51,^,Livestock slaughtered and other disposals,Total,104,Coffs Harbour - Grafton,,,
9015959,Livestock slaughtered and other disposals - Total,522526471,,483983882.9,,Livestock slaughtered and other disposals,Total,105,Far West and Orana,,,
9015959,Livestock slaughtered and other disposals - Total,282501566.2,^,268263400.6,^,Livestock slaughtered and other disposals,Total,106,Hunter Valley excluding Newcastle,,,
9015959,Livestock slaughtered and other disposals - Total,8409796.39,*,7813716.92,*,Livestock slaughtered and other disposals,Total,107,Illawarra,,,
9015959,Livestock slaughtered and other disposals - Total,149575956.1,^,142132871.3,^,Livestock slaughtered and other disposals,Total,108,Mid North Coast,,,
9015959,Livestock slaughtered and other disposals - Total,459603938.6,,431438013.7,,Livestock slaughtered and other disposals,Total,109,Murray,,,
9015959,Livestock slaughtered and other disposals - Total,862328295.7,,805010603.5,,Livestock slaughtered and other disposals,Total,110,New England and North West,,,
9015959,Livestock slaughtered and other disposals - Total,4301275.03,^,4229634.19,^,Livestock slaughtered and other disposals,Total,111,Newcastle and Lake Macquarie,,,
9015959,Livestock slaughtered and other disposals - Total,151081031.6,,144109195.4,,Livestock slaughtered and other disposals,Total,112,Richmond - Tweed,,,
9015959,Livestock slaughtered and other disposals - Total,498428656.2,,469056813.5,,Livestock slaughtered and other disposals,Total,113,Riverina,,,
9015959,Livestock slaughtered and other disposals - Total,37870976.06,^,35619425.14,^,Livestock slaughtered and other disposals,Total,114,Southern Highlands and Shoalhaven,,,
9015959,Livestock slaughtered and other disposals - Total,10576861.99,*,10386323.96,*,Livestock slaughtered and other disposals,Total,115,Sydney - Baulkham Hills and Hawkesbury,,,
9015959,Livestock slaughtered and other disposals - Total,26896934.45,*,26416101.48,*,Livestock slaughtered and other disposals,Total,116,Sydney - Blacktown,,,
9015959,Livestock slaughtered and other disposals - Total,285715.54,**,265467.72,**,Livestock slaughtered and other disposals,Total,121,Sydney - North Sydney and Hornsby,,,
9015959,Livestock slaughtered and other disposals - Total,4478136.85,,4159536.76,,Livestock slaughtered and other disposals,Total,122,Sydney - Northern Beaches,,,
9015959,Livestock slaughtered and other disposals - Total,58471334.41,^,57281466.13,^,Livestock slaughtered and other disposals,Total,123,Sydney - Outer South West,,,
9015959,Livestock slaughtered and other disposals - Total,31595480.75,^,30992122.8,^,Livestock slaughtered and other disposals,Total,124,Sydney - Outer West and Blue Mountains,,,
9015959,Livestock slaughtered and other disposals - Total,69957455.1,^,68656120.7,^,Livestock slaughtered and other disposals,Total,127,Sydney - South West,,,
9015959,Livestock slaughtered and other disposals - Total,235312827.9,,218106735.6,,Livestock slaughtered and other disposals,Total,201,Ballarat,,,
9015959,Livestock slaughtered and other disposals - Total,371899144.5,^,350654710.8,^,Livestock slaughtered and other disposals,Total,202,Bendigo,,,
9015959,Livestock slaughtered and other disposals - Total,221171963.2,,210937491,,Livestock slaughtered and other disposals,Total,203,Geelong,,,
9015959,Livestock slaughtered and other disposals - Total,484171518.3,,449366493,,Livestock slaughtered and other disposals,Total,204,Hume,,,
9015959,Livestock slaughtered and other disposals - Total,681040779.6,,627303172.2,,Livestock slaughtered and other disposals,Total,205,Latrobe - Gippsland,,,
9015959,Livestock slaughtered and other disposals - Total,16938502.56,*,16086855.38,*,Livestock slaughtered and other disposals,Total,209,Melbourne - North East,,,
9015959,Livestock slaughtered and other disposals - Total,15331772.4,*,14207389.17,*,Livestock slaughtered and other disposals,Total,210,Melbourne - North West,,,
9015959,Livestock slaughtered and other disposals - Total,19028889.14,^,18346297.27,^,Livestock slaughtered and other disposals,Total,211,Melbourne - Outer East,,,
9015959,Livestock slaughtered and other disposals - Total,118648008.5,^,112902541.1,^,Livestock slaughtered and other disposals,Total,212,Melbourne - South East,,,
9015959,Livestock slaughtered and other disposals - Total,19477774.05,^,18857618.67,^,Livestock slaughtered and other disposals,Total,213,Melbourne - West,,,
9015959,Livestock slaughtered and other disposals - Total,166005215.7,*,163007947,*,Livestock slaughtered and other disposals,Total,214,Mornington Peninsula,,,
9015959,Livestock slaughtered and other disposals - Total,619642064.6,,572160605.3,,Livestock slaughtered and other disposals,Total,215,North West,,,
9015959,Livestock slaughtered and other disposals - Total,306761422.7,,283645257.9,,Livestock slaughtered and other disposals,Total,216,Shepparton,,,
9015959,Livestock slaughtered and other disposals - Total,1136983747,,1039493894,,Livestock slaughtered and other disposals,Total,217,Warrnambool and South West,,,
9015959,Livestock slaughtered and other disposals - Total,42976629.59,^,42248878.56,^,Livestock slaughtered and other disposals,Total,301,Brisbane - East,,,
9015959,Livestock slaughtered and other disposals - Total,483322.59,**,476483.83,**,Livestock slaughtered and other disposals,Total,302,Brisbane - North,,,
9015959,Livestock slaughtered and other disposals - Total,6579168.73,^,6487046.31,^,Livestock slaughtered and other disposals,Total,303,Brisbane - South,,,
9015959,Livestock slaughtered and other disposals - Total,96982580.97,,90834731.48,,Livestock slaughtered and other disposals,Total,306,Cairns,,,
9015959,Livestock slaughtered and other disposals - Total,1507661496,,1401014493,,Livestock slaughtered and other disposals,Total,307,Darling Downs - Maranoa,,,
