Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",911381.33,*,820243.2,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,101,Capital Region,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",5814814.55,*,5233333.09,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,102,Central Coast,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",149043.91,**,134139.52,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,103,Central West,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",326822.48,*,294140.23,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,104,Coffs Harbour - Grafton,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",705632.75,,635069.47,,"Nurseries, cut flowers or cultivated turf",Cut flowers,105,Far West and Orana,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",123731.49,**,111358.34,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,106,Hunter Valley excluding Newcastle,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",3588106.31,*,3229295.68,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,108,Mid North Coast,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",288616.71,*,259755.04,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,110,New England and North West,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",2847696.76,,2562927.09,,"Nurseries, cut flowers or cultivated turf",Cut flowers,111,Newcastle and Lake Macquarie,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",3175874.98,^,2858287.48,^,"Nurseries, cut flowers or cultivated turf",Cut flowers,112,Richmond - Tweed,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",56917.8,*,51226.02,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,113,Riverina,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",1311325.14,*,1180192.62,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,114,Southern Highlands and Shoalhaven,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",10211883.88,^,9190695.49,^,"Nurseries, cut flowers or cultivated turf",Cut flowers,115,Sydney - Baulkham Hills and Hawkesbury,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",215917.29,**,194325.56,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,116,Sydney - Blacktown,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",971960.9,*,874764.81,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,123,Sydney - Outer South West,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",171739.95,**,154565.96,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,124,Sydney - Outer West and Blue Mountains,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",1869729.8,*,1682756.82,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,127,Sydney - South West,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",427680.52,**,384912.47,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,201,Ballarat,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",77935.77,,70142.19,,"Nurseries, cut flowers or cultivated turf",Cut flowers,202,Bendigo,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",17985782.38,,16187204.15,,"Nurseries, cut flowers or cultivated turf",Cut flowers,203,Geelong,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",2780697.17,**,2502627.45,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,204,Hume,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",3940790.65,^,3546711.59,^,"Nurseries, cut flowers or cultivated turf",Cut flowers,205,Latrobe - Gippsland,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",1533534.33,**,1380180.89,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,209,Melbourne - North East,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",243339.97,**,219005.97,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,210,Melbourne - North West,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",36822610.64,^,33140349.58,^,"Nurseries, cut flowers or cultivated turf",Cut flowers,211,Melbourne - Outer East,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",35963249.48,^,32366924.53,^,"Nurseries, cut flowers or cultivated turf",Cut flowers,212,Melbourne - South East,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",3664303.38,**,3297873.05,**,"Nurseries, cut flowers or cultivated turf",Cut flowers,214,Mornington Peninsula,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",47641543.52,,42877389.17,,"Nurseries, cut flowers or cultivated turf",Cut flowers,215,North West,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",4699527.19,*,4229574.47,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,216,Shepparton,,,
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",1223393.56,*,1101054.2,*,"Nurseries, cut flowers or cultivated turf",Cut flowers,217,Warrnambool and South West,,,
