Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",7204078.87,*,6483670.98,*,"Nurseries, cut flowers or cultivated turf",Nurseries,101,Capital Region,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",34863088.62,^,31376779.75,^,"Nurseries, cut flowers or cultivated turf",Nurseries,102,Central Coast,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",10847332.14,^,9762598.93,^,"Nurseries, cut flowers or cultivated turf",Nurseries,103,Central West,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",7752286.2,^,6977057.58,^,"Nurseries, cut flowers or cultivated turf",Nurseries,104,Coffs Harbour - Grafton,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",3292609.31,,2963348.38,,"Nurseries, cut flowers or cultivated turf",Nurseries,105,Far West and Orana,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",8606884.2,**,7746195.78,**,"Nurseries, cut flowers or cultivated turf",Nurseries,106,Hunter Valley excluding Newcastle,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",1070616.12,**,963554.51,**,"Nurseries, cut flowers or cultivated turf",Nurseries,107,Illawarra,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",26804906.71,*,24124416.04,*,"Nurseries, cut flowers or cultivated turf",Nurseries,108,Mid North Coast,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",12527606.41,*,11274845.77,*,"Nurseries, cut flowers or cultivated turf",Nurseries,109,Murray,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",1977549.58,*,1779794.62,*,"Nurseries, cut flowers or cultivated turf",Nurseries,110,New England and North West,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",1705732.84,**,1535159.55,**,"Nurseries, cut flowers or cultivated turf",Nurseries,111,Newcastle and Lake Macquarie,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",51619232.13,^,46457308.92,^,"Nurseries, cut flowers or cultivated turf",Nurseries,112,Richmond - Tweed,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",18859487.28,,16973538.55,,"Nurseries, cut flowers or cultivated turf",Nurseries,113,Riverina,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",2193066.97,*,1973760.28,*,"Nurseries, cut flowers or cultivated turf",Nurseries,114,Southern Highlands and Shoalhaven,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",47976815.73,^,43179134.16,^,"Nurseries, cut flowers or cultivated turf",Nurseries,115,Sydney - Baulkham Hills and Hawkesbury,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",2459998.5,**,2213998.65,**,"Nurseries, cut flowers or cultivated turf",Nurseries,121,Sydney - North Sydney and Hornsby,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",493982.69,**,444584.42,**,"Nurseries, cut flowers or cultivated turf",Nurseries,122,Sydney - Northern Beaches,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",18555074.56,*,16699567.1,*,"Nurseries, cut flowers or cultivated turf",Nurseries,123,Sydney - Outer South West,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",18767067.55,*,16890360.79,*,"Nurseries, cut flowers or cultivated turf",Nurseries,124,Sydney - Outer West and Blue Mountains,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",17107609.15,*,15396848.24,*,"Nurseries, cut flowers or cultivated turf",Nurseries,127,Sydney - South West,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",13407749.72,*,12066974.74,*,"Nurseries, cut flowers or cultivated turf",Nurseries,201,Ballarat,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",854654.62,**,769189.16,**,"Nurseries, cut flowers or cultivated turf",Nurseries,202,Bendigo,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",21828441.02,^,19645596.92,^,"Nurseries, cut flowers or cultivated turf",Nurseries,203,Geelong,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",9810786.35,*,8829707.72,*,"Nurseries, cut flowers or cultivated turf",Nurseries,204,Hume,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",48727978.18,*,43855180.36,*,"Nurseries, cut flowers or cultivated turf",Nurseries,205,Latrobe - Gippsland,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",1525523.5,**,1372971.15,**,"Nurseries, cut flowers or cultivated turf",Nurseries,208,Melbourne - Inner South,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",28922483.3,*,26030234.97,*,"Nurseries, cut flowers or cultivated turf",Nurseries,209,Melbourne - North East,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",112662639.8,^,101396375.8,^,"Nurseries, cut flowers or cultivated turf",Nurseries,211,Melbourne - Outer East,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",39002072.61,^,35101865.35,^,"Nurseries, cut flowers or cultivated turf",Nurseries,212,Melbourne - South East,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",7302967.77,*,6572670.99,*,"Nurseries, cut flowers or cultivated turf",Nurseries,213,Melbourne - West,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",47996130.31,*,43196517.28,*,"Nurseries, cut flowers or cultivated turf",Nurseries,214,Mornington Peninsula,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",44040208.2,^,39636187.38,^,"Nurseries, cut flowers or cultivated turf",Nurseries,215,North West,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",7566334.74,**,6809701.27,**,"Nurseries, cut flowers or cultivated turf",Nurseries,216,Shepparton,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",5918620.55,*,5326758.5,*,"Nurseries, cut flowers or cultivated turf",Nurseries,217,Warrnambool and South West,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",17214037.25,^,15492633.52,^,"Nurseries, cut flowers or cultivated turf",Nurseries,301,Brisbane - East,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",537410.16,*,483669.14,*,"Nurseries, cut flowers or cultivated turf",Nurseries,303,Brisbane - South,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",251481.24,*,226333.12,*,"Nurseries, cut flowers or cultivated turf",Nurseries,304,Brisbane - West,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",13981148.87,*,12583033.99,*,"Nurseries, cut flowers or cultivated turf",Nurseries,306,Cairns,,,
1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",31819398.1,,28637458.29,,"Nurseries, cut flowers or cultivated turf",Nurseries,307,Darling Downs - Maranoa,,,
