Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",4524413.99,*,4071972.59,*,"Nurseries, cut flowers or cultivated turf",Outdoor,101,Capital Region,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",608968.74,*,548071.86,*,"Nurseries, cut flowers or cultivated turf",Outdoor,101,Capital Region,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",25922136.76,^,23329923.08,^,"Nurseries, cut flowers or cultivated turf",Outdoor,102,Central Coast,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",2125576.52,*,1913018.87,*,"Nurseries, cut flowers or cultivated turf",Outdoor,102,Central Coast,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",5374623.99,^,4837161.59,^,"Nurseries, cut flowers or cultivated turf",Outdoor,103,Central West,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",149043.91,**,134139.52,**,"Nurseries, cut flowers or cultivated turf",Outdoor,103,Central West,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",5352957.87,^,4817662.08,^,"Nurseries, cut flowers or cultivated turf",Outdoor,104,Coffs Harbour - Grafton,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",326822.48,*,294140.23,*,"Nurseries, cut flowers or cultivated turf",Outdoor,104,Coffs Harbour - Grafton,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",2523389.68,,2271050.71,,"Nurseries, cut flowers or cultivated turf",Outdoor,105,Far West and Orana,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",705632.75,,635069.47,,"Nurseries, cut flowers or cultivated turf",Outdoor,105,Far West and Orana,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",6405975.11,**,5765377.6,**,"Nurseries, cut flowers or cultivated turf",Outdoor,106,Hunter Valley excluding Newcastle,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",123731.49,**,111358.34,**,"Nurseries, cut flowers or cultivated turf",Outdoor,106,Hunter Valley excluding Newcastle,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",96192.53,**,86573.28,**,"Nurseries, cut flowers or cultivated turf",Outdoor,107,Illawarra,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",15734304.88,*,14160874.39,*,"Nurseries, cut flowers or cultivated turf",Outdoor,108,Mid North Coast,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",2170267.24,*,1953240.51,*,"Nurseries, cut flowers or cultivated turf",Outdoor,108,Mid North Coast,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",12067935.36,*,10861141.82,*,"Nurseries, cut flowers or cultivated turf",Outdoor,109,Murray,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",636646.26,**,572981.63,**,"Nurseries, cut flowers or cultivated turf",Outdoor,110,New England and North West,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",115492.69,*,103943.42,*,"Nurseries, cut flowers or cultivated turf",Outdoor,110,New England and North West,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",482870.87,**,434583.78,**,"Nurseries, cut flowers or cultivated turf",Outdoor,111,Newcastle and Lake Macquarie,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",33331745.18,*,29998570.66,*,"Nurseries, cut flowers or cultivated turf",Outdoor,112,Richmond - Tweed,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",1731365.42,^,1558228.87,^,"Nurseries, cut flowers or cultivated turf",Outdoor,112,Richmond - Tweed,,,
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",16948283.11,,15253454.8,,"Nurseries, cut flowers or cultivated turf",Outdoor,113,Riverina,,,
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",56917.8,*,51226.02,*,"Nurseries, cut flowers or cultivated turf",Outdoor,113,Riverina,,,
