Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919559,"Nurseries, cut flowers or cultivated turf - Total",10780582.07,*,9967627.98,*,"Nurseries, cut flowers or cultivated turf",Total,101,Capital Region,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",48158225.6,^,44086483.19,^,"Nurseries, cut flowers or cultivated turf",Total,102,Central Coast,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",14767870.05,^,13666239.84,^,"Nurseries, cut flowers or cultivated turf",Total,103,Central West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",8996576.62,^,8188181.02,^,"Nurseries, cut flowers or cultivated turf",Total,104,Coffs Harbour - Grafton,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",7013794.2,,6612376.78,,"Nurseries, cut flowers or cultivated turf",Total,105,Far West and Orana,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",16302094.3,*,15425032.48,*,"Nurseries, cut flowers or cultivated turf",Total,106,Hunter Valley excluding Newcastle,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",1070616.12,**,963554.51,**,"Nurseries, cut flowers or cultivated turf",Total,107,Illawarra,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",37109860.2,^,34067010.17,^,"Nurseries, cut flowers or cultivated turf",Total,108,Mid North Coast,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",12527606.41,*,11274845.77,*,"Nurseries, cut flowers or cultivated turf",Total,109,Murray,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",4477930.83,^,4250145.65,^,"Nurseries, cut flowers or cultivated turf",Total,110,New England and North West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",4553429.6,*,4098086.64,*,"Nurseries, cut flowers or cultivated turf",Total,111,Newcastle and Lake Macquarie,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",65614178.15,^,60128951.37,^,"Nurseries, cut flowers or cultivated turf",Total,112,Richmond - Tweed,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",21841984.56,,19948798.38,,"Nurseries, cut flowers or cultivated turf",Total,113,Riverina,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",11377606.3,*,11023007.41,*,"Nurseries, cut flowers or cultivated turf",Total,114,Southern Highlands and Shoalhaven,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",96751107.28,^,90911863.55,^,"Nurseries, cut flowers or cultivated turf",Total,115,Sydney - Baulkham Hills and Hawkesbury,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",215917.29,**,194325.56,**,"Nurseries, cut flowers or cultivated turf",Total,116,Sydney - Blacktown,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",2459998.5,**,2213998.65,**,"Nurseries, cut flowers or cultivated turf",Total,121,Sydney - North Sydney and Hornsby,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",493982.69,**,444584.42,**,"Nurseries, cut flowers or cultivated turf",Total,122,Sydney - Northern Beaches,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",22173918.78,*,20219816.8,*,"Nurseries, cut flowers or cultivated turf",Total,123,Sydney - Outer South West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",44092069.33,^,42184899.29,^,"Nurseries, cut flowers or cultivated turf",Total,124,Sydney - Outer West and Blue Mountains,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",18977338.96,*,17079605.06,*,"Nurseries, cut flowers or cultivated turf",Total,127,Sydney - South West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",13835430.24,*,12451887.21,*,"Nurseries, cut flowers or cultivated turf",Total,201,Ballarat,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",932590.39,**,839331.36,**,"Nurseries, cut flowers or cultivated turf",Total,202,Bendigo,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",39814223.41,^,35832801.07,^,"Nurseries, cut flowers or cultivated turf",Total,203,Geelong,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",20002971.15,^,18737113.59,^,"Nurseries, cut flowers or cultivated turf",Total,204,Hume,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",56917002.7,*,51646280.13,*,"Nurseries, cut flowers or cultivated turf",Total,205,Latrobe - Gippsland,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",1525523.5,**,1372971.15,**,"Nurseries, cut flowers or cultivated turf",Total,208,Melbourne - Inner South,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",30456017.63,*,27410415.86,*,"Nurseries, cut flowers or cultivated turf",Total,209,Melbourne - North East,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",243339.97,**,219005.97,**,"Nurseries, cut flowers or cultivated turf",Total,210,Melbourne - North West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",150842704.8,,135892950.9,,"Nurseries, cut flowers or cultivated turf",Total,211,Melbourne - Outer East,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",89219835.92,^,81710399.9,^,"Nurseries, cut flowers or cultivated turf",Total,212,Melbourne - South East,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",9519855.56,*,8787551.96,*,"Nurseries, cut flowers or cultivated turf",Total,213,Melbourne - West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",51660433.7,*,46494390.33,*,"Nurseries, cut flowers or cultivated turf",Total,214,Mornington Peninsula,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",92004670.47,,82836202.98,,"Nurseries, cut flowers or cultivated turf",Total,215,North West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",15868304.59,*,14638457.3,*,"Nurseries, cut flowers or cultivated turf",Total,216,Shepparton,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",7142014.11,*,6427812.7,*,"Nurseries, cut flowers or cultivated turf",Total,217,Warrnambool and South West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",20090348.18,^,18081313.36,^,"Nurseries, cut flowers or cultivated turf",Total,301,Brisbane - East,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",,,np,,"Nurseries, cut flowers or cultivated turf",Total,303,Brisbane - South,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",251481.24,*,226333.12,*,"Nurseries, cut flowers or cultivated turf",Total,304,Brisbane - West,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",19799510.24,*,18234022.45,*,"Nurseries, cut flowers or cultivated turf",Total,306,Cairns,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",36012508.14,,32478698.18,,"Nurseries, cut flowers or cultivated turf",Total,307,Darling Downs - Maranoa,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",,,np,,"Nurseries, cut flowers or cultivated turf",Total,308,Central Queensland,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",,,np,,"Nurseries, cut flowers or cultivated turf",Total,309,Gold Coast,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",9290707.04,^,8922303.8,^,"Nurseries, cut flowers or cultivated turf",Total,310,Ipswich,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",10180958.61,^,9753725.3,^,"Nurseries, cut flowers or cultivated turf",Total,311,Logan - Beaudesert,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",9297376.31,^,8544699.65,^,"Nurseries, cut flowers or cultivated turf",Total,312,Mackay - Isaac - Whitsunday,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",,,np,,"Nurseries, cut flowers or cultivated turf",Total,313,Moreton Bay - North,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",2423617.56,*,2311307.06,*,"Nurseries, cut flowers or cultivated turf",Total,314,Moreton Bay - South,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",,,np,,"Nurseries, cut flowers or cultivated turf",Total,315,Queensland - Outback,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",29590781.69,^,27395832.68,^,"Nurseries, cut flowers or cultivated turf",Total,316,Sunshine Coast,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",9595732.67,^,8748870.49,^,"Nurseries, cut flowers or cultivated turf",Total,317,Toowoomba,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",24229124.67,**,22060039.51,**,"Nurseries, cut flowers or cultivated turf",Total,318,Townsville,,,
1919559,"Nurseries, cut flowers or cultivated turf - Total",20113691.72,^,18364699.71,^,"Nurseries, cut flowers or cultivated turf",Total,319,Wide Bay,,,
