Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",2679664.88,*,2411698.39,*,"Nurseries, cut flowers or cultivated turf",Undercover,101,Capital Region,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",302412.6,**,272171.34,**,"Nurseries, cut flowers or cultivated turf",Undercover,101,Capital Region,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",8940951.86,*,8046856.67,*,"Nurseries, cut flowers or cultivated turf",Undercover,102,Central Coast,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",3689238.03,*,3320314.22,*,"Nurseries, cut flowers or cultivated turf",Undercover,102,Central Coast,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",5472708.15,^,4925437.34,^,"Nurseries, cut flowers or cultivated turf",Undercover,103,Central West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",2399328.34,*,2159395.5,*,"Nurseries, cut flowers or cultivated turf",Undercover,104,Coffs Harbour - Grafton,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",769219.63,,692297.67,,"Nurseries, cut flowers or cultivated turf",Undercover,105,Far West and Orana,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",2200909.09,**,1980818.18,**,"Nurseries, cut flowers or cultivated turf",Undercover,106,Hunter Valley excluding Newcastle,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",974423.59,**,876981.23,**,"Nurseries, cut flowers or cultivated turf",Undercover,107,Illawarra,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",11070601.83,*,9963541.65,*,"Nurseries, cut flowers or cultivated turf",Undercover,108,Mid North Coast,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1417839.07,*,1276055.17,*,"Nurseries, cut flowers or cultivated turf",Undercover,108,Mid North Coast,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",459671.06,**,413703.95,**,"Nurseries, cut flowers or cultivated turf",Undercover,109,Murray,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1340903.32,^,1206812.99,^,"Nurseries, cut flowers or cultivated turf",Undercover,110,New England and North West,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",173124.02,*,155811.62,*,"Nurseries, cut flowers or cultivated turf",Undercover,110,New England and North West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1222861.97,**,1100575.78,**,"Nurseries, cut flowers or cultivated turf",Undercover,111,Newcastle and Lake Macquarie,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",2847696.76,,2562927.09,,"Nurseries, cut flowers or cultivated turf",Undercover,111,Newcastle and Lake Macquarie,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",18287486.95,^,16458738.25,^,"Nurseries, cut flowers or cultivated turf",Undercover,112,Richmond - Tweed,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1444509.56,,1300058.61,,"Nurseries, cut flowers or cultivated turf",Undercover,112,Richmond - Tweed,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1911204.17,^,1720083.75,^,"Nurseries, cut flowers or cultivated turf",Undercover,113,Riverina,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",365408.85,**,328867.96,**,"Nurseries, cut flowers or cultivated turf",Undercover,114,Southern Highlands and Shoalhaven,,,
