Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3601958,Vegetables for human consumption - Cabbages,8890.1,*,6270.44,*,Vegetables for human consumption,Cabbages,101,Capital Region,,,
3601958,Vegetables for human consumption - Cabbages,29209.97,**,20602.63,**,Vegetables for human consumption,Cabbages,102,Central Coast,,,
3601958,Vegetables for human consumption - Cabbages,9308688.05,,6565683.44,,Vegetables for human consumption,Cabbages,103,Central West,,,
3601958,Vegetables for human consumption - Cabbages,1725.56,**,1217.09,**,Vegetables for human consumption,Cabbages,104,Coffs Harbour - Grafton,,,
3601958,Vegetables for human consumption - Cabbages,20617.85,*,14542.36,*,Vegetables for human consumption,Cabbages,105,Far West and Orana,,,
3601958,Vegetables for human consumption - Cabbages,2963.37,*,2090.15,*,Vegetables for human consumption,Cabbages,107,Illawarra,,,
3601958,Vegetables for human consumption - Cabbages,1665952.38,**,1175043.78,**,Vegetables for human consumption,Cabbages,109,Murray,,,
3601958,Vegetables for human consumption - Cabbages,334918.6,**,236227.65,**,Vegetables for human consumption,Cabbages,110,New England and North West,,,
3601958,Vegetables for human consumption - Cabbages,8627.82,*,6085.45,*,Vegetables for human consumption,Cabbages,112,Richmond - Tweed,,,
3601958,Vegetables for human consumption - Cabbages,34473.83,*,24315.37,*,Vegetables for human consumption,Cabbages,113,Riverina,,,
3601958,Vegetables for human consumption - Cabbages,1975.58,*,1393.43,*,Vegetables for human consumption,Cabbages,114,Southern Highlands and Shoalhaven,,,
3601958,Vegetables for human consumption - Cabbages,2506450.8,*,1767871.31,*,Vegetables for human consumption,Cabbages,115,Sydney - Baulkham Hills and Hawkesbury,,,
3601958,Vegetables for human consumption - Cabbages,4417792.77,*,3115995.37,*,Vegetables for human consumption,Cabbages,123,Sydney - Outer South West,,,
3601958,Vegetables for human consumption - Cabbages,3073846.34,**,2168071.58,**,Vegetables for human consumption,Cabbages,124,Sydney - Outer West and Blue Mountains,,,
3601958,Vegetables for human consumption - Cabbages,119067.5,**,83981.71,**,Vegetables for human consumption,Cabbages,127,Sydney - South West,,,
3601958,Vegetables for human consumption - Cabbages,8869.83,**,7007.15,**,Vegetables for human consumption,Cabbages,201,Ballarat,,,
3601958,Vegetables for human consumption - Cabbages,11066224.12,,8742306.16,,Vegetables for human consumption,Cabbages,205,Latrobe - Gippsland,,,
3601958,Vegetables for human consumption - Cabbages,277319.58,,219082.2,,Vegetables for human consumption,Cabbages,212,Melbourne - South East,,,
3601958,Vegetables for human consumption - Cabbages,8002855.29,**,6322247.8,**,Vegetables for human consumption,Cabbages,213,Melbourne - West,,,
3601958,Vegetables for human consumption - Cabbages,103201.51,**,81529.09,**,Vegetables for human consumption,Cabbages,214,Mornington Peninsula,,,
3601958,Vegetables for human consumption - Cabbages,599775.75,*,473822.26,*,Vegetables for human consumption,Cabbages,215,North West,,,
3601958,Vegetables for human consumption - Cabbages,669762.75,,529111.91,,Vegetables for human consumption,Cabbages,216,Shepparton,,,
3601958,Vegetables for human consumption - Cabbages,370922.4,*,276194.97,*,Vegetables for human consumption,Cabbages,303,Brisbane - South,,,
3601958,Vegetables for human consumption - Cabbages,7189231.58,^,5353221.11,^,Vegetables for human consumption,Cabbages,307,Darling Downs - Maranoa,,,
3601958,Vegetables for human consumption - Cabbages,9583146.79,^,7135770.09,^,Vegetables for human consumption,Cabbages,310,Ipswich,,,
3601958,Vegetables for human consumption - Cabbages,15491061.4,^,11534901.32,^,Vegetables for human consumption,Cabbages,317,Toowoomba,,,
3601958,Vegetables for human consumption - Cabbages,732229.95,,568958.12,,Vegetables for human consumption,Cabbages,401,Adelaide - Central and Hills,,,
3601958,Vegetables for human consumption - Cabbages,1036831.78,*,805640.16,*,Vegetables for human consumption,Cabbages,402,Adelaide - North,,,
3601958,Vegetables for human consumption - Cabbages,745628.38,^,579368.98,^,Vegetables for human consumption,Cabbages,405,Barossa - Yorke - Mid North,,,
3601958,Vegetables for human consumption - Cabbages,7285.38,**,5660.9,**,Vegetables for human consumption,Cabbages,407,South Australia - South East,,,
3601958,Vegetables for human consumption - Cabbages,2565224.83,^,1904631.65,^,Vegetables for human consumption,Cabbages,501,Bunbury,,,
3601958,Vegetables for human consumption - Cabbages,887424.64,,658896.26,,Vegetables for human consumption,Cabbages,505,Perth - North West,,,
3601958,Vegetables for human consumption - Cabbages,4859677.67,,3608220.14,,Vegetables for human consumption,Cabbages,509,Western Australia - Wheat Belt,,,
3601958,Vegetables for human consumption - Cabbages,13563.38,**,10070.56,**,Vegetables for human consumption,Cabbages,511,Western Australia - Outback (South),,,
3601958,Vegetables for human consumption - Cabbages,435090.04,*,321941.64,*,Vegetables for human consumption,Cabbages,604,West and North West,,,
3601958,Vegetables for human consumption - Cabbages,2089.8,,1556.1,,Vegetables for human consumption,Cabbages,702,Northern Territory - Outback,,,
