Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1276.37,*,1044.68,*,101,Capital Region
3613658,Vegetables for human consumption - Capsicum (excluding chillies),25774.23,**,21095.66,**,102,Central Coast
3613658,Vegetables for human consumption - Capsicum (excluding chillies),8765.75,**,7174.58,**,103,Central West
3613658,Vegetables for human consumption - Capsicum (excluding chillies),194440.68,**,159145.56,**,104,Coffs Harbour - Grafton
3613658,Vegetables for human consumption - Capsicum (excluding chillies),2063.1,*,1688.61,*,107,Illawarra
3613658,Vegetables for human consumption - Capsicum (excluding chillies),37242.99,,30482.6,,108,Mid North Coast
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1388640.66,**,1136572.83,**,109,Murray
3613658,Vegetables for human consumption - Capsicum (excluding chillies),2272570.85,**,1860050.87,**,112,Richmond - Tweed
3613658,Vegetables for human consumption - Capsicum (excluding chillies),186214.97,,152412.99,,113,Riverina
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1177.34,*,963.63,*,114,Southern Highlands and Shoalhaven
3613658,Vegetables for human consumption - Capsicum (excluding chillies),418186.79,*,342276.99,*,115,Sydney - Baulkham Hills and Hawkesbury
3613658,Vegetables for human consumption - Capsicum (excluding chillies),59281.73,*,48520.83,*,123,Sydney - Outer South West
3613658,Vegetables for human consumption - Capsicum (excluding chillies),70920.48,**,58046.9,**,124,Sydney - Outer West and Blue Mountains
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1900028.45,*,1651460.18,*,204,Hume
3613658,Vegetables for human consumption - Capsicum (excluding chillies),18809711.32,,16348960.03,,205,Latrobe - Gippsland
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1682855.65,**,1462698.67,**,211,Melbourne - Outer East
3613658,Vegetables for human consumption - Capsicum (excluding chillies),3360456.46,*,2920829.96,*,215,North West
3613658,Vegetables for human consumption - Capsicum (excluding chillies),142288.15,**,123673.52,**,216,Shepparton
3613658,Vegetables for human consumption - Capsicum (excluding chillies),17021840.24,^,14140549.7,^,307,Darling Downs - Maranoa
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,308,Central Queensland
3613658,Vegetables for human consumption - Capsicum (excluding chillies),31686170.72,^,26322645.82,^,312,Mackay - Isaac - Whitsunday
3613658,Vegetables for human consumption - Capsicum (excluding chillies),123347.63,^,102468.55,^,316,Sunshine Coast
3613658,Vegetables for human consumption - Capsicum (excluding chillies),4643487.24,^,3857483.16,^,318,Townsville
3613658,Vegetables for human consumption - Capsicum (excluding chillies),11729648.79,^,9744168.63,^,319,Wide Bay
3613658,Vegetables for human consumption - Capsicum (excluding chillies),2713.38,*,2327.01,*,401,Adelaide - Central and Hills
3613658,Vegetables for human consumption - Capsicum (excluding chillies),13849744.1,*,11877618.1,*,402,Adelaide - North
3613658,Vegetables for human consumption - Capsicum (excluding chillies),50309.14,**,43145.4,**,405,Barossa - Yorke - Mid North
3613658,Vegetables for human consumption - Capsicum (excluding chillies),94962.42,*,81440.3,*,407,South Australia - South East
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,501,Bunbury
3613658,Vegetables for human consumption - Capsicum (excluding chillies),38972.41,,33060.05,,504,Perth - North East
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1852048.71,,1571081.26,,505,Perth - North West
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1647204.43,**,1397313.15,**,506,Perth - South East
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,509,Western Australia - Wheat Belt
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,511,Western Australia - Outback (South)
3613658,Vegetables for human consumption - Capsicum (excluding chillies),2383510.48,,2045263.9,,604,West and North West
3613658,Vegetables for human consumption - Capsicum (excluding chillies),7708.67,*,6403.82,*,702,Northern Territory - Outback
