Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3602458,Vegetables for human consumption - Carrots,635956.23,**,520631.81,**,Vegetables for human consumption,Carrots,102,Central Coast,,,
3602458,Vegetables for human consumption - Carrots,8675.63,**,7102.39,**,Vegetables for human consumption,Carrots,103,Central West,,,
3602458,Vegetables for human consumption - Carrots,1188.48,,972.96,,Vegetables for human consumption,Carrots,105,Far West and Orana,,,
3602458,Vegetables for human consumption - Carrots,21401.83,*,17520.82,*,Vegetables for human consumption,Carrots,112,Richmond - Tweed,,,
3602458,Vegetables for human consumption - Carrots,468825.46,*,383808.57,*,Vegetables for human consumption,Carrots,113,Riverina,,,
3602458,Vegetables for human consumption - Carrots,1805397.8,*,1327723.74,*,Vegetables for human consumption,Carrots,201,Ballarat,,,
3602458,Vegetables for human consumption - Carrots,13214256.02,,9718014.21,,Vegetables for human consumption,Carrots,205,Latrobe - Gippsland,,,
3602458,Vegetables for human consumption - Carrots,218371.27,,160594.37,,Vegetables for human consumption,Carrots,208,Melbourne - Inner South,,,
3602458,Vegetables for human consumption - Carrots,653294.05,,480444.82,,Vegetables for human consumption,Carrots,212,Melbourne - South East,,,
3602458,Vegetables for human consumption - Carrots,2649305.01,,1948349.09,,Vegetables for human consumption,Carrots,214,Mornington Peninsula,,,
3602458,Vegetables for human consumption - Carrots,33684294.4,,24772068.22,,Vegetables for human consumption,Carrots,215,North West,,,
3602458,Vegetables for human consumption - Carrots,643356.38,**,473136.47,**,Vegetables for human consumption,Carrots,216,Shepparton,,,
3602458,Vegetables for human consumption - Carrots,1113547.85,,803261.16,,Vegetables for human consumption,Carrots,301,Brisbane - East,,,
3602458,Vegetables for human consumption - Carrots,7654487.51,*,5521588.07,*,Vegetables for human consumption,Carrots,307,Darling Downs - Maranoa,,,
3602458,Vegetables for human consumption - Carrots,34692433.01,,25025493.07,,Vegetables for human consumption,Carrots,310,Ipswich,,,
3602458,Vegetables for human consumption - Carrots,4272705.57,,3082129.28,,Vegetables for human consumption,Carrots,317,Toowoomba,,,
3602458,Vegetables for human consumption - Carrots,119597.78,,86272.23,,Vegetables for human consumption,Carrots,319,Wide Bay,,,
3602458,Vegetables for human consumption - Carrots,24899.51,**,18785.05,**,Vegetables for human consumption,Carrots,401,Adelaide - Central and Hills,,,
3602458,Vegetables for human consumption - Carrots,15816767.73,,11932714.29,,Vegetables for human consumption,Carrots,402,Adelaide - North,,,
3602458,Vegetables for human consumption - Carrots,33578271.36,,25332604.31,,Vegetables for human consumption,Carrots,407,South Australia - South East,,,
3602458,Vegetables for human consumption - Carrots,25185492.07,,14347648.98,,Vegetables for human consumption,Carrots,501,Bunbury,,,
3602458,Vegetables for human consumption - Carrots,1342703.37,,764910.07,,Vegetables for human consumption,Carrots,506,Perth - South East,,,
3602458,Vegetables for human consumption - Carrots,69150.22,**,39393.44,**,Vegetables for human consumption,Carrots,507,Perth - South West,,,
3602458,Vegetables for human consumption - Carrots,15819317.54,,9011934.9,,Vegetables for human consumption,Carrots,509,Western Australia - Wheat Belt,,,
3602458,Vegetables for human consumption - Carrots,9328110.62,^,7360723.6,^,Vegetables for human consumption,Carrots,602,Launceston and North East,,,
3602458,Vegetables for human consumption - Carrots,26932186.62,,21251932.97,,Vegetables for human consumption,Carrots,604,West and North West,,,
