Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,133975.86,*,121322.13,*,Vegetables for human consumption,Fresh market and processing,101,Capital Region,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,6674.33,**,6043.96,**,Vegetables for human consumption,Fresh market and processing,102,Central Coast,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2888891.2,^,2616041.64,^,Vegetables for human consumption,Fresh market and processing,103,Central West,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1460245.36,**,1322328.32,**,Vegetables for human consumption,Fresh market and processing,104,Coffs Harbour - Grafton,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,392029.27,**,355002.95,**,Vegetables for human consumption,Fresh market and processing,106,Hunter Valley excluding Newcastle,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,25720025.18,,23290824.1,,Vegetables for human consumption,Fresh market and processing,109,Murray,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,476380.28,*,431387.19,*,Vegetables for human consumption,Fresh market and processing,110,New England and North West,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,85861.45,*,77752.02,*,Vegetables for human consumption,Fresh market and processing,112,Richmond - Tweed,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,27153351.47,,24588775.8,,Vegetables for human consumption,Fresh market and processing,113,Riverina,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2808206.4,^,2542977.35,^,Vegetables for human consumption,Fresh market and processing,114,Southern Highlands and Shoalhaven,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1779844.83,^,1611742.32,^,Vegetables for human consumption,Fresh market and processing,115,Sydney - Baulkham Hills and Hawkesbury,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1921534.28,,1740049.5,,Vegetables for human consumption,Fresh market and processing,123,Sydney - Outer South West,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,89279.99,**,80847.69,**,Vegetables for human consumption,Fresh market and processing,124,Sydney - Outer West and Blue Mountains,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,59573778.37,^,54935384.07,^,Vegetables for human consumption,Fresh market and processing,201,Ballarat,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,40546.35,,37389.42,,Vegetables for human consumption,Fresh market and processing,204,Hume,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,23606762.07,*,21768747.54,*,Vegetables for human consumption,Fresh market and processing,205,Latrobe - Gippsland,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,7074259.67,*,6523460.2,*,Vegetables for human consumption,Fresh market and processing,212,Melbourne - South East,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,139138.68,**,128305.39,**,Vegetables for human consumption,Fresh market and processing,213,Melbourne - West,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,188947.93,**,174236.51,**,Vegetables for human consumption,Fresh market and processing,214,Mornington Peninsula,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,24465792,*,22560893.69,*,Vegetables for human consumption,Fresh market and processing,215,North West,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1884206.36,**,1737502.69,**,Vegetables for human consumption,Fresh market and processing,217,Warrnambool and South West,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,12493682.57,^,11370875.25,^,Vegetables for human consumption,Fresh market and processing,306,Cairns,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,617694.32,*,562182.13,*,Vegetables for human consumption,Fresh market and processing,307,Darling Downs - Maranoa,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2253578.08,^,2051049,^,Vegetables for human consumption,Fresh market and processing,310,Ipswich,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,12335011.46,,11226463.91,,Vegetables for human consumption,Fresh market and processing,317,Toowoomba,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,5381937.43,^,4898262.68,^,Vegetables for human consumption,Fresh market and processing,318,Townsville,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,8241147.45,^,7500515.49,^,Vegetables for human consumption,Fresh market and processing,319,Wide Bay,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,165134.61,**,148767.07,**,Vegetables for human consumption,Fresh market and processing,401,Adelaide - Central and Hills,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,10068550.09,,9070592.54,,Vegetables for human consumption,Fresh market and processing,402,Adelaide - North,,,
