Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3606758,Vegetables for human consumption - Peas - Green - Fresh market,1052.37,*,910.63,*,Vegetables for human consumption,Fresh market,101,Capital Region,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,4692.94,*,4060.87,*,Vegetables for human consumption,Fresh market,107,Illawarra,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,196529.55,**,170059.75,**,Vegetables for human consumption,Fresh market,108,Mid North Coast,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,8484.85,**,7342.06,**,Vegetables for human consumption,Fresh market,112,Richmond - Tweed,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,574.76,*,497.34,*,Vegetables for human consumption,Fresh market,114,Southern Highlands and Shoalhaven,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,289887.74,**,250843.88,**,Vegetables for human consumption,Fresh market,123,Sydney - Outer South West,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,17925.49,**,15702.43,**,Vegetables for human consumption,Fresh market,203,Geelong,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,7548115.95,*,6612021.64,*,Vegetables for human consumption,Fresh market,205,Latrobe - Gippsland,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,70003.97,**,61322.3,**,Vegetables for human consumption,Fresh market,209,Melbourne - North East,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,1379921.92,,1208788.21,,Vegetables for human consumption,Fresh market,213,Melbourne - West,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,722500.16,*,632897.89,*,Vegetables for human consumption,Fresh market,215,North West,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,63519.82,^,55593.8,^,Vegetables for human consumption,Fresh market,307,Darling Downs - Maranoa,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,127511.77,**,111600.81,**,Vegetables for human consumption,Fresh market,310,Ipswich,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,25697.53,,22490.98,,Vegetables for human consumption,Fresh market,315,Queensland - Outback,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,3201300.44,*,2801841.23,*,Vegetables for human consumption,Fresh market,319,Wide Bay,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,11460.2,**,10037.33,**,Vegetables for human consumption,Fresh market,407,South Australia - South East,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,612588,*,536921.88,*,Vegetables for human consumption,Fresh market,602,Launceston and North East,,,
3606758,Vegetables for human consumption - Peas - Green - Fresh market,3595,,3150.95,,Vegetables for human consumption,Fresh market,603,South East,,,
