Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3614058,Vegetables for human consumption - Melons,1066.5,*,910.91,*,Vegetables for human consumption,Melons,101,Capital Region,,,
3614058,Vegetables for human consumption - Melons,13800694.9,,11787331.88,,Vegetables for human consumption,Melons,103,Central West,,,
3614058,Vegetables for human consumption - Melons,31359134.19,*,26784196.37,*,Vegetables for human consumption,Melons,109,Murray,,,
3614058,Vegetables for human consumption - Melons,504856.46,**,431203.69,**,Vegetables for human consumption,Melons,112,Richmond - Tweed,,,
3614058,Vegetables for human consumption - Melons,36167334.43,,30890935.37,,Vegetables for human consumption,Melons,113,Riverina,,,
3614058,Vegetables for human consumption - Melons,231828.24,**,198007.16,**,Vegetables for human consumption,Melons,115,Sydney - Baulkham Hills and Hawkesbury,,,
3614058,Vegetables for human consumption - Melons,77276.08,**,66002.39,**,Vegetables for human consumption,Melons,123,Sydney - Outer South West,,,
3614058,Vegetables for human consumption - Melons,73422.5,**,62711,**,Vegetables for human consumption,Melons,124,Sydney - Outer West and Blue Mountains,,,
3614058,Vegetables for human consumption - Melons,716358.05,**,611849.63,**,Vegetables for human consumption,Melons,127,Sydney - South West,,,
3614058,Vegetables for human consumption - Melons,4080666.42,*,3481363.74,*,Vegetables for human consumption,Melons,215,North West,,,
3614058,Vegetables for human consumption - Melons,954.68,**,814.47,**,Vegetables for human consumption,Melons,216,Shepparton,,,
3614058,Vegetables for human consumption - Melons,121824.49,**,103927.83,**,Vegetables for human consumption,Melons,306,Cairns,,,
3614058,Vegetables for human consumption - Melons,6787933.99,*,5790750.78,*,Vegetables for human consumption,Melons,307,Darling Downs - Maranoa,,,
3614058,Vegetables for human consumption - Melons,2856886.28,,2437194.66,,Vegetables for human consumption,Melons,308,Central Queensland,,,
3614058,Vegetables for human consumption - Melons,507992.05,*,433365.34,*,Vegetables for human consumption,Melons,310,Ipswich,,,
3614058,Vegetables for human consumption - Melons,5952057.47,^,5077668.92,^,Vegetables for human consumption,Melons,312,Mackay - Isaac - Whitsunday,,,
3614058,Vegetables for human consumption - Melons,7759469.57,**,6619562.68,**,Vegetables for human consumption,Melons,315,Queensland - Outback,,,
3614058,Vegetables for human consumption - Melons,24391.29,*,20808.08,*,Vegetables for human consumption,Melons,316,Sunshine Coast,,,
3614058,Vegetables for human consumption - Melons,3086133,,2632763.83,,Vegetables for human consumption,Melons,317,Toowoomba,,,
3614058,Vegetables for human consumption - Melons,25948946.66,^,22136909.91,^,Vegetables for human consumption,Melons,318,Townsville,,,
3614058,Vegetables for human consumption - Melons,14356883.92,^,12247782.16,^,Vegetables for human consumption,Melons,319,Wide Bay,,,
3614058,Vegetables for human consumption - Melons,5927664.1,,5072918.58,,Vegetables for human consumption,Melons,407,South Australia - South East,,,
3614058,Vegetables for human consumption - Melons,3957535.33,^,3434713.94,^,Vegetables for human consumption,Melons,501,Bunbury,,,
3614058,Vegetables for human consumption - Melons,5739.29,**,4981.09,**,Vegetables for human consumption,Melons,504,Perth - North East,,,
3614058,Vegetables for human consumption - Melons,1384830.02,,1201883.13,,Vegetables for human consumption,Melons,505,Perth - North West,,,
3614058,Vegetables for human consumption - Melons,132319.36,,114838.94,,Vegetables for human consumption,Melons,509,Western Australia - Wheat Belt,,,
3614058,Vegetables for human consumption - Melons,15472205.94,,13428206.45,,Vegetables for human consumption,Melons,510,Western Australia - Outback (North),,,
3614058,Vegetables for human consumption - Melons,3266534.85,*,2835000.03,*,Vegetables for human consumption,Melons,511,Western Australia - Outback (South),,,
3614058,Vegetables for human consumption - Melons,3566273.79,^,3048236.82,^,Vegetables for human consumption,Melons,701,Darwin,,,
3614058,Vegetables for human consumption - Melons,32623342.9,,27884475.81,,Vegetables for human consumption,Melons,702,Northern Territory - Outback,,,
