Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3611758,Vegetables for human consumption - Sweet corn,2848.37,*,2315.3,*,Vegetables for human consumption,Sweet corn,101,Capital Region,,,
3611758,Vegetables for human consumption - Sweet corn,3812.62,**,3099.1,**,Vegetables for human consumption,Sweet corn,102,Central Coast,,,
3611758,Vegetables for human consumption - Sweet corn,3632274.81,,2952500.32,,Vegetables for human consumption,Sweet corn,103,Central West,,,
3611758,Vegetables for human consumption - Sweet corn,3554.14,**,2888.99,**,Vegetables for human consumption,Sweet corn,104,Coffs Harbour - Grafton,,,
3611758,Vegetables for human consumption - Sweet corn,3436086.16,*,2793028.06,*,Vegetables for human consumption,Sweet corn,105,Far West and Orana,,,
3611758,Vegetables for human consumption - Sweet corn,1062340.27,**,863524.97,**,Vegetables for human consumption,Sweet corn,110,New England and North West,,,
3611758,Vegetables for human consumption - Sweet corn,12711.25,**,10332.36,**,Vegetables for human consumption,Sweet corn,112,Richmond - Tweed,,,
3611758,Vegetables for human consumption - Sweet corn,406.91,*,330.76,*,Vegetables for human consumption,Sweet corn,114,Southern Highlands and Shoalhaven,,,
3611758,Vegetables for human consumption - Sweet corn,105833.44,*,86026.88,*,Vegetables for human consumption,Sweet corn,115,Sydney - Baulkham Hills and Hawkesbury,,,
3611758,Vegetables for human consumption - Sweet corn,82554.16,**,67104.28,**,Vegetables for human consumption,Sweet corn,123,Sydney - Outer South West,,,
3611758,Vegetables for human consumption - Sweet corn,46760.53,**,38009.37,**,Vegetables for human consumption,Sweet corn,124,Sydney - Outer West and Blue Mountains,,,
3611758,Vegetables for human consumption - Sweet corn,13391.42,**,8672.85,**,Vegetables for human consumption,Sweet corn,203,Geelong,,,
3611758,Vegetables for human consumption - Sweet corn,289169.6,*,187278.38,*,Vegetables for human consumption,Sweet corn,204,Hume,,,
3611758,Vegetables for human consumption - Sweet corn,21781529.97,,14106634.04,,Vegetables for human consumption,Sweet corn,205,Latrobe - Gippsland,,,
3611758,Vegetables for human consumption - Sweet corn,62258.56,**,40321.26,**,Vegetables for human consumption,Sweet corn,216,Shepparton,,,
3611758,Vegetables for human consumption - Sweet corn,3306317,**,2145354.54,**,Vegetables for human consumption,Sweet corn,307,Darling Downs - Maranoa,,,
3611758,Vegetables for human consumption - Sweet corn,,,np,,Vegetables for human consumption,Sweet corn,308,Central Queensland,,,
3611758,Vegetables for human consumption - Sweet corn,36510332.64,,23690289.84,,Vegetables for human consumption,Sweet corn,310,Ipswich,,,
3611758,Vegetables for human consumption - Sweet corn,9377702.88,,6084866.48,,Vegetables for human consumption,Sweet corn,312,Mackay - Isaac - Whitsunday,,,
3611758,Vegetables for human consumption - Sweet corn,45384344.44,,29448328.63,,Vegetables for human consumption,Sweet corn,317,Toowoomba,,,
3611758,Vegetables for human consumption - Sweet corn,28318515.43,^,18374903.48,^,Vegetables for human consumption,Sweet corn,318,Townsville,,,
3611758,Vegetables for human consumption - Sweet corn,,,np,,Vegetables for human consumption,Sweet corn,319,Wide Bay,,,
3611758,Vegetables for human consumption - Sweet corn,2472.41,*,1648.97,*,Vegetables for human consumption,Sweet corn,401,Adelaide - Central and Hills,,,
3611758,Vegetables for human consumption - Sweet corn,109156.17,,73295.47,,Vegetables for human consumption,Sweet corn,509,Western Australia - Wheat Belt,,,
3611758,Vegetables for human consumption - Sweet corn,487612.53,**,327418.83,**,Vegetables for human consumption,Sweet corn,511,Western Australia - Outback (South),,,
