Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,741702.13,^,726363.05,^,101,Capital Region
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,183231.58,*,179442.19,*,102,Central Coast
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,2938739.32,*,2877963.5,*,103,Central West
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,87813318.54,^,85997258.81,^,104,Coffs Harbour - Grafton
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,480881.43,**,470936.36,**,108,Mid North Coast
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,6781440.78,**,6641194.39,**,109,Murray
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,12724731.31,^,12461572.23,^,112,Richmond - Tweed
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,4743613.22,^,4645510.96,^,113,Riverina
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,407476.45,*,399049.46,*,114,Southern Highlands and Shoalhaven
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,2220267.6,**,2174350.44,**,115,Sydney - Baulkham Hills and Hawkesbury
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,641310.55,*,628047.66,*,123,Sydney - Outer South West
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,1119840.88,**,1096681.55,**,124,Sydney - Outer West and Blue Mountains
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,181576.19,**,176028.82,**,201,Ballarat
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,2789948.76,*,2704712.48,*,204,Hume
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,560730.78,**,543599.78,**,205,Latrobe - Gippsland
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,4767479.67,**,4621827.44,**,209,Melbourne - North East
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,14474342.14,*,14032133.62,*,211,Melbourne - Outer East
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,427852.77,**,414781.35,**,212,Melbourne - South East
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,200205.96,**,194089.43,**,213,Melbourne - West
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,3319889.04,,3218462.44,,214,Mornington Peninsula
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,809575.91,*,784842.39,*,215,North West
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,14119213.35,*,13687854.43,*,216,Shepparton
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,848082.14,**,822172.22,**,217,Warrnambool and South West
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,10187162.57,*,9856017.45,*,306,Cairns
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,24149062.26,**,23364069.97,**,307,Darling Downs - Maranoa
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,2292141.24,**,2217632.63,**,309,Gold Coast
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,146054.71,*,141307.03,*,312,Mackay - Isaac - Whitsunday
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,1352629.93,^,1308661.18,^,313,Moreton Bay - North
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,584138.97,^,565150.88,^,315,Queensland - Outback
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,5826336.55,**,5636944.96,**,316,Sunshine Coast
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,14260265.11,^,13796719.24,^,319,Wide Bay
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,86312.4,^,83468.17,^,401,Adelaide - Central and Hills
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,3403558.46,**,3291402.01,**,407,South Australia - South East
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,184397.81,**,176432.01,**,501,Bunbury
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,60203.16,**,57602.44,**,506,Perth - South East
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,24544018.49,^,23483740.65,^,509,Western Australia - Wheat Belt
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,26695.23,,25542.02,,511,Western Australia - Outback (South)
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,321108.45,**,314627.17,**,601,Hobart
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,7252453.93,*,7106069.82,*,602,Launceston and North East
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,6158854.63,^,6034543.81,^,603,South East
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,7066578.49,,6923946.1,,604,West and North West
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,4931418.2,*,4771116.93,*,701,Darwin
