Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2665121.87,**,2663713.8,**,101,Capital Region
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",7480322.44,**,7476370.34,**,102,Central Coast
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3771494,*,3769501.39,*,103,Central West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",917467.94,**,916983.21,**,104,Coffs Harbour - Grafton
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3015552.14,,3013958.92,,105,Far West and Orana
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",7571478.61,*,7567478.35,*,106,Hunter Valley excluding Newcastle
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",6716847.18,*,6713298.45,*,108,Mid North Coast
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2211764.54,,2210595.99,,110,New England and North West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",10819071.04,**,10813354.97,**,112,Richmond - Tweed
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2925579.49,,2924033.81,,113,Riverina
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",7873214.19,**,7869054.52,**,114,Southern Highlands and Shoalhaven
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",38562407.68,*,38542033.9,*,115,Sydney - Baulkham Hills and Hawkesbury
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2646883.32,*,2645484.89,*,123,Sydney - Outer South West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",25153261.83,*,25139972.54,*,124,Sydney - Outer West and Blue Mountains
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",7411487.62,,7404778.42,,204,Hume
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",4248233.87,,4244388.18,,205,Latrobe - Gippsland
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1357454.38,**,1356225.56,**,211,Melbourne - Outer East
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",14254513.84,*,14241610.03,*,212,Melbourne - South East
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2216887.79,,2214880.97,,213,Melbourne - West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",322918.75,**,322626.43,**,215,North West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3602442.66,,3599181.57,,216,Shepparton
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,303,Brisbane - South
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,306,Cairns
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",684354.38,*,683359.8,*,307,Darling Downs - Maranoa
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,308,Central Queensland
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,309,Gold Coast
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",5689359.38,^,5681090.91,^,310,Ipswich
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",5995763.3,,5987049.52,,311,Logan - Beaudesert
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,312,Mackay - Isaac - Whitsunday
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,313,Moreton Bay - North
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,314,Moreton Bay - South
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,315,Queensland - Outback
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",7753981.92,^,7742712.89,^,316,Sunshine Coast
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1143733.02,**,1142070.81,**,317,Toowoomba
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2575706.29,**,2571962.96,**,318,Townsville
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2662465.79,*,2658596.37,*,319,Wide Bay
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",11366992.3,^,11360437.82,^,407,South Australia - South East
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,501,Bunbury
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1246280.08,^,1245340.54,^,504,Perth - North East
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3061554.67,*,3059246.64,*,505,Perth - North West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,506,Perth - South East
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",397675.87,**,397376.08,**,507,Perth - South West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",10941632.35,*,10933383.73,*,509,Western Australia - Wheat Belt
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,510,Western Australia - Outback (North)
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,601,Hobart
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1016007.13,,1015302.73,,701,Darwin
