Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1508858,Broadacre crops - Cereal crops - Triticale for grain,1219705.05,^,1037664.7,^,101,Capital Region
1508858,Broadacre crops - Cereal crops - Triticale for grain,4582338.66,*,3898426.96,*,103,Central West
1508858,Broadacre crops - Cereal crops - Triticale for grain,55782.34,,47456.85,,104,Coffs Harbour - Grafton
1508858,Broadacre crops - Cereal crops - Triticale for grain,1056341.13,^,898682.76,^,105,Far West and Orana
1508858,Broadacre crops - Cereal crops - Triticale for grain,3290770.28,*,2799624.5,*,109,Murray
1508858,Broadacre crops - Cereal crops - Triticale for grain,2441139.44,^,2076800.63,^,110,New England and North West
1508858,Broadacre crops - Cereal crops - Triticale for grain,2636389,*,2242909.29,*,113,Riverina
1508858,Broadacre crops - Cereal crops - Triticale for grain,39047.63,,33219.8,,124,Sydney - Outer West and Blue Mountains
1508858,Broadacre crops - Cereal crops - Triticale for grain,289797.97,**,243418.76,**,201,Ballarat
1508858,Broadacre crops - Cereal crops - Triticale for grain,925818.61,*,777650.77,*,204,Hume
1508858,Broadacre crops - Cereal crops - Triticale for grain,202725.35,**,170281.22,**,205,Latrobe - Gippsland
1508858,Broadacre crops - Cereal crops - Triticale for grain,1968829.31,**,1653738.25,**,215,North West
1508858,Broadacre crops - Cereal crops - Triticale for grain,935523.87,**,785802.81,**,217,Warrnambool and South West
1508858,Broadacre crops - Cereal crops - Triticale for grain,59957.8,**,49826.49,**,317,Toowoomba
1508858,Broadacre crops - Cereal crops - Triticale for grain,258812.46,*,232093.58,*,405,Barossa - Yorke - Mid North
1508858,Broadacre crops - Cereal crops - Triticale for grain,12340.35,**,11066.38,**,406,South Australia - Outback
1508858,Broadacre crops - Cereal crops - Triticale for grain,4231586.53,^,3794732.56,^,407,South Australia - South East
1508858,Broadacre crops - Cereal crops - Triticale for grain,1578391.79,^,1436270.58,^,509,Western Australia - Wheat Belt
1508858,Broadacre crops - Cereal crops - Triticale for grain,853698.42,,776829.9,,511,Western Australia - Outback (South)
1508858,Broadacre crops - Cereal crops - Triticale for grain,11474.56,,10271.19,,601,Hobart
1508858,Broadacre crops - Cereal crops - Triticale for grain,25582.06,**,22899.18,**,602,Launceston and North East
1508858,Broadacre crops - Cereal crops - Triticale for grain,40102.61,**,35896.91,**,604,West and North West
