Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,State_Code,State,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3630059,Vegetables for human consumption - Total,507399255.3,,427088382.1,,Vegetables for human consumption,Total,1,New South Wales,,,
3610658,Vegetables for human consumption - Lettuces - Total,14572339.84,^,13761956.52,^,Vegetables for human consumption,Total,1,New South Wales,,,
3630059,Vegetables for human consumption - Total,943915583.7,,799157663.5,,Vegetables for human consumption,Total,2,Victoria,,,
3610658,Vegetables for human consumption - Lettuces - Total,94440199.64,,78075577.51,,Vegetables for human consumption,Total,2,Victoria,,,
3630059,Vegetables for human consumption - Total,1265801769,,1034222204,,Vegetables for human consumption,Total,3,Queensland,,,
3610658,Vegetables for human consumption - Lettuces - Total,87533695.74,,71130077.54,,Vegetables for human consumption,Total,3,Queensland,,,
3630059,Vegetables for human consumption - Total,561087298.1,,487603364.5,,Vegetables for human consumption,Total,4,South Australia,,,
3610658,Vegetables for human consumption - Lettuces - Total,11193617.66,^,9400938,^,Vegetables for human consumption,Total,4,South Australia,,,
3630059,Vegetables for human consumption - Total,317311770.7,,256503411,,Vegetables for human consumption,Total,5,Western Australia,,,
3610658,Vegetables for human consumption - Lettuces - Total,25194264.92,,20959771.82,,Vegetables for human consumption,Total,5,Western Australia,,,
3630059,Vegetables for human consumption - Total,264441962.7,,243483333.1,,Vegetables for human consumption,Total,6,Tasmania,,,
3610658,Vegetables for human consumption - Lettuces - Total,1305875.28,^,1089864.96,^,Vegetables for human consumption,Total,6,Tasmania,,,
3630059,Vegetables for human consumption - Total,43848454.25,,37404448.2,,Vegetables for human consumption,Total,7,Northern Territory,,,
3610658,Vegetables for human consumption - Lettuces - Total,14646.5,**,11866,**,Vegetables for human consumption,Total,7,Northern Territory,,,
