Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,1439608.32,**,1409835.9,**,101,Central Tablelands
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,1499131,,1468127.6,,102,Central West
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,4164650.62,*,4078521.84,*,103,Greater Sydney
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,2931816.93,,2871184.27,,105,Murray
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,101018931.3,,98929767.4,,106,North Coast
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,2947037.82,^,2886090.39,^,110,Riverina
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,1071840.22,^,1049673.59,^,111,South East NSW
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,5723537.6,**,5605169.61,**,112,Western
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,1029658.34,**,998201.04,**,201,Corangamite
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,20522.21,*,19895.23,*,202,East Gippsland
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,18886693.01,*,18309681.87,*,204,Goulburn Broken
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,703313.7,*,681826.62,*,205,Mallee
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,106262.21,,103015.77,,206,North Central
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,2789948.76,*,2704712.48,*,207,North East
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,18422289.91,*,17859466.84,*,208,Port Phillip and Western Port
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,540208.57,**,523704.55,**,209,West Gippsland
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,14260265.11,^,13796719.24,^,301,Burnett Mary
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,584138.97,^,565150.88,^,302,Cape York
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,41746.31,*,40389.3,*,309,Queensland Murray Darling Basin
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,146054.71,*,141307.03,*,310,Reef Catchments
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,33578423.67,**,32486919.44,**,311,South East Queensland
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,10187162.57,*,9856017.45,*,314,Terrain NRM
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,86312.4,^,83468.17,^,401,Adelaide and Mount Lofty Ranges
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,3403558.46,**,3291402.01,**,407,South Australian Murray Darling Basin
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,23808605.45,^,22780096.75,^,501,Northern Agricultural
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,60203.16,**,57602.44,**,503,Perth
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,26695.23,,25542.02,,504,Rangelands
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,735413.03,^,703643.9,^,505,South Coast
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,184397.81,**,176432.01,**,506,South West
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,7066578.49,,6923946.1,,601,Cradle Coast
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,7252453.93,*,7106069.82,*,602,North
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,6479963.08,^,6349170.98,^,603,South
4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,4931418.2,*,4771116.93,*,701,Northern Territory
