Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),70301.75,*,59779.88,*,101,Central Tablelands
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),6263.52,*,5326.08,*,103,Greater Sydney
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),122541.15,,104200.76,,109,Northern Tablelands
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),1832.02,**,1557.83,**,110,Riverina
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),2445.55,*,2079.53,*,111,South East NSW
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),228.56,**,203.06,**,202,East Gippsland
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),90707928.57,,80586496.05,,204,Goulburn Broken
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),53452.13,**,47487.8,**,206,North Central
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),176445.01,**,156756.81,**,207,North East
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),4598496.47,**,4085383.97,**,208,Port Phillip and Western Port
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),744.81,**,661.7,**,209,West Gippsland
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),616446.41,*,570377.53,*,309,Queensland Murray Darling Basin
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),13474567.29,^,11716566.45,^,401,Adelaide and Mount Lofty Ranges
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),578154.33,^,502723.65,^,407,South Australian Murray Darling Basin
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),94249.34,*,81701.31,*,502,Peel-Harvey
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),2000134.04,^,1733843.11,^,503,Perth
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),9759.58,,8460.23,,505,South Coast
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),6412108.48,,5558422.52,,506,South West
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),230666.93,^,193911.24,^,601,Cradle Coast
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),1448746.57,**,1217895.62,**,602,North
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),530.82,**,446.24,**,603,South
