Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3307859,Hay - Total,34280895.73,^,34280895.73,^,101,Central Tablelands
3307859,Hay - Total,50883847.07,^,50883847.07,^,102,Central West
3307859,Hay - Total,4152860.33,**,4152860.33,**,103,Greater Sydney
3307859,Hay - Total,13778297.3,^,13778297.3,^,104,Hunter
3307859,Hay - Total,78344057.52,^,78344057.52,^,105,Murray
3307859,Hay - Total,7101410.76,*,7101410.76,*,106,North Coast
3307859,Hay - Total,26888677.23,^,26888677.23,^,108,North West NSW
3307859,Hay - Total,6930775.15,*,6930775.15,*,109,Northern Tablelands
3307859,Hay - Total,58981478.48,,58981478.48,,110,Riverina
3307859,Hay - Total,15011833.15,^,15011833.15,^,111,South East NSW
3307859,Hay - Total,6045882.43,*,6045882.43,*,112,Western
3307859,Hay - Total,63372382.33,^,63372382.33,^,201,Corangamite
3307859,Hay - Total,5800265.33,^,5800265.33,^,202,East Gippsland
3307859,Hay - Total,90113880.43,,90113880.43,,203,Glenelg Hopkins
3307859,Hay - Total,120911124.3,^,120911124.3,^,204,Goulburn Broken
3307859,Hay - Total,47125461.44,*,47125461.44,*,205,Mallee
3307859,Hay - Total,179819855.9,^,179819855.9,^,206,North Central
3307859,Hay - Total,11428042.07,,11428042.07,,207,North East
3307859,Hay - Total,24884621.23,^,24884621.23,^,208,Port Phillip and Western Port
3307859,Hay - Total,49297597.98,^,49297597.98,^,209,West Gippsland
3307859,Hay - Total,66274552.23,^,66274552.23,^,210,Wimmera
3307859,Hay - Total,11213857.51,^,11213857.51,^,301,Burnett Mary
3307859,Hay - Total,79626.52,^,79626.52,^,302,Cape York
3307859,Hay - Total,18120692.74,^,18120692.74,^,303,Condamine
3307859,Hay - Total,26803.52,*,26803.52,*,304,Cooperative Management Area
3307859,Hay - Total,971108.79,**,971108.79,**,305,Desert Channels
3307859,Hay - Total,,,,,306,Fitzroy Basin
3307859,Hay - Total,1699589.29,**,1699589.29,**,307,North Queensland Dry Tropics
3307859,Hay - Total,,,,,308,Northern Gulf
3307859,Hay - Total,,,,,309,Queensland Murray Darling Basin
3307859,Hay - Total,622741.34,**,622741.34,**,310,Reef Catchments
3307859,Hay - Total,23133594.15,*,23133594.15,*,311,South East Queensland
3307859,Hay - Total,123984.53,,123984.53,,312,South West Queensland
3307859,Hay - Total,4676370.12,*,4676370.12,*,313,Southern Gulf
3307859,Hay - Total,10305957.36,**,10305957.36,**,314,Terrain NRM
3307859,Hay - Total,26387288.39,,26387288.39,,401,Adelaide and Mount Lofty Ranges
3307859,Hay - Total,9954971.84,^,9954971.84,^,403,Eyre Peninsula
3307859,Hay - Total,4797251.93,,4797251.93,,404,Kangaroo Island
3307859,Hay - Total,152404349.1,^,152404349.1,^,405,Northern and Yorke
3307859,Hay - Total,474738.08,^,474738.08,^,406,South Australian Arid Lands
3307859,Hay - Total,62047801.06,^,62047801.06,^,407,South Australian Murray Darling Basin
3307859,Hay - Total,74863953.65,^,74863953.65,^,408,South East
3307859,Hay - Total,48067166,,48067166,,501,Northern Agricultural
3307859,Hay - Total,48293074.65,^,48293074.65,^,502,Peel-Harvey
3307859,Hay - Total,89531.43,,89531.43,,503,Perth
3307859,Hay - Total,5358276.19,^,5358276.19,^,504,Rangelands
3307859,Hay - Total,26548382.9,^,26548382.9,^,505,South Coast
3307859,Hay - Total,53145305.79,^,53145305.79,^,506,South West
3307859,Hay - Total,21649556.05,^,21649556.05,^,601,Cradle Coast
3307859,Hay - Total,31511589.85,,31511589.85,,602,North
3307859,Hay - Total,5598152.02,,5598152.02,,603,South
3307859,Hay - Total,12137587.49,,12137587.49,,701,Northern Territory
3307859,Hay - Total,27050,,27050,,801,ACT
