Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3771494,*,3769501.39,*,101,Central Tablelands
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3015552.14,,3013958.92,,102,Central West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",73842875.26,^,73803861.66,^,103,Greater Sydney
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",13856576.17,*,13849255.29,*,104,Hunter
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",12168288.6,*,12161859.69,*,106,North Coast
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2211764.54,,2210595.99,,108,North West NSW
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2925579.49,,2924033.81,,110,Riverina
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",10538336.06,*,10532768.32,*,111,South East NSW
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",4156664.61,,4152901.81,,202,East Gippsland
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",6816929.96,,6810758.97,,204,Goulburn Broken
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",322918.75,**,322626.43,**,205,Mallee
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3602442.66,,3599181.57,,206,North Central
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",594557.67,*,594019.45,*,207,North East
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",17828856.01,^,17812716.55,^,208,Port Phillip and Western Port
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",91569.26,**,91486.37,**,209,West Gippsland
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2662465.79,*,2658596.37,*,301,Burnett Mary
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,303,Condamine
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,306,Fitzroy Basin
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2575706.29,**,2571962.96,**,307,North Queensland Dry Tropics
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,308,Northern Gulf
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,309,Queensland Murray Darling Basin
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,310,Reef Catchments
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",27477172.26,,27437239.09,,311,South East Queensland
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,314,Terrain NRM
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",9934865.48,^,9929136.8,^,407,South Australian Murray Darling Basin
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1432126.82,**,1431301.03,**,408,South East
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",10941632.35,*,10933383.73,*,501,Northern Agricultural
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,502,Peel-Harvey
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3761464.21,*,3758628.54,*,503,Perth
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,504,Rangelands
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",,,,,603,South
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1016007.13,,1015302.73,,701,Northern Territory
