Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9013959,Total value of crops,200949074.4,,180827540.5,,101,Central Tablelands
9013959,Total value of crops,1281576952,,1168811995,,102,Central West
9013959,Total value of crops,447203807.5,,399609705.4,,103,Greater Sydney
9013959,Total value of crops,74061378.4,^,69904136.96,^,104,Hunter
9013959,Total value of crops,942650863.7,,858864127.6,,105,Murray
9013959,Total value of crops,471281955.1,,436603809.8,,106,North Coast
9013959,Total value of crops,2222796602,,2075781946,,108,North West NSW
9013959,Total value of crops,122586900.8,,110746982.4,,109,Northern Tablelands
9013959,Total value of crops,2070664169,,1879756277,,110,Riverina
9013959,Total value of crops,85632020.25,^,79529565.44,^,111,South East NSW
9013959,Total value of crops,477673376.8,,435342734.2,,112,Western
9013959,Total value of crops,291914664.4,,270968319.5,,201,Corangamite
9013959,Total value of crops,112650826,,93307851.31,,202,East Gippsland
9013959,Total value of crops,338554212.6,^,316557838.5,^,203,Glenelg Hopkins
9013959,Total value of crops,809494939.5,,730665682.3,,204,Goulburn Broken
9013959,Total value of crops,1860751367,,1736478804,,205,Mallee
9013959,Total value of crops,932074544.1,,855994061.4,,206,North Central
9013959,Total value of crops,68485512.24,,63850550.58,,207,North East
9013959,Total value of crops,939204659.8,,825170998.1,,208,Port Phillip and Western Port
9013959,Total value of crops,250516307.3,,223053368.1,,209,West Gippsland
9013959,Total value of crops,771478207.2,,701795319,,210,Wimmera
9013959,Total value of crops,903345554.1,,814595046.6,,301,Burnett Mary
9013959,Total value of crops,1201313.47,^,1088983.08,^,302,Cape York
9013959,Total value of crops,679290141.3,,626318658.6,,303,Condamine
9013959,Total value of crops,8845361.62,**,7662108.35,**,304,Cooperative Management Area
9013959,Total value of crops,1078326.53,**,1064803.64,**,305,Desert Channels
9013959,Total value of crops,453186213.8,,423884345,,306,Fitzroy Basin
9013959,Total value of crops,769808009.8,,701808920.3,,307,North Queensland Dry Tropics
9013959,Total value of crops,121427858,,106195525.6,,308,Northern Gulf
9013959,Total value of crops,1284855446,,1182096797,,309,Queensland Murray Darling Basin
9013959,Total value of crops,444910683.1,,436052445.8,,310,Reef Catchments
9013959,Total value of crops,865285432.9,,728600704.7,,311,South East Queensland
9013959,Total value of crops,3483476.3,^,3199467.14,^,312,South West Queensland
9013959,Total value of crops,4676370.12,*,4676370.12,*,313,Southern Gulf
9013959,Total value of crops,1180078287,,1098638991,,314,Terrain NRM
9013959,Total value of crops,508198196.5,,462266037,,401,Adelaide and Mount Lofty Ranges
9013959,Total value of crops,777713820.4,,722789226.5,,403,Eyre Peninsula
9013959,Total value of crops,15395295.01,,14832549.86,,404,Kangaroo Island
9013959,Total value of crops,1274230466,,1197899680,,405,Northern and Yorke
9013959,Total value of crops,10777622.66,^,9929944.27,^,406,South Australian Arid Lands
9013959,Total value of crops,1386022273,,1278223360,,407,South Australian Murray Darling Basin
9013959,Total value of crops,484660004.6,,457920456.5,,408,South East
9013959,Total value of crops,1659356780,,1538913818,,501,Northern Agricultural
9013959,Total value of crops,228648790.1,,206519345.9,,502,Peel-Harvey
9013959,Total value of crops,166725039.8,,147212245,,503,Perth
9013959,Total value of crops,103754878.1,,89873837.78,,504,Rangelands
9013959,Total value of crops,1167818256,,1091776240,,505,South Coast
9013959,Total value of crops,782635633.9,,714021835.7,,506,South West
9013959,Total value of crops,228725273.3,,210008953.5,,601,Cradle Coast
9013959,Total value of crops,,,,,602,North
9013959,Total value of crops,,,,,603,South
9013959,Total value of crops,116531023.3,,101970327.4,,701,Northern Territory
9013959,Total value of crops,,,,,801,ACT
