Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
5110058,Fruit and nuts - Grapes - Total,828068.39,*,828068.39,*,101,Capital Region
5110058,Fruit and nuts - Grapes - Total,6849321.26,^,6849321.26,^,103,Central West
5110058,Fruit and nuts - Grapes - Total,928097.54,,928097.54,,105,Far West and Orana
5110058,Fruit and nuts - Grapes - Total,6761099.02,**,6761099.02,**,106,Hunter Valley excluding Newcastle
5110058,Fruit and nuts - Grapes - Total,138508657.8,^,131426033,^,109,Murray
5110058,Fruit and nuts - Grapes - Total,2142968.48,*,1952043.13,*,110,New England and North West
5110058,Fruit and nuts - Grapes - Total,116147720.9,,115654001.7,,113,Riverina
5110058,Fruit and nuts - Grapes - Total,207738.89,**,207738.89,**,114,Southern Highlands and Shoalhaven
5110058,Fruit and nuts - Grapes - Total,1131558.73,**,1131558.73,**,201,Ballarat
5110058,Fruit and nuts - Grapes - Total,2548163.42,,2548163.42,,202,Bendigo
5110058,Fruit and nuts - Grapes - Total,237091.33,**,237091.33,**,203,Geelong
5110058,Fruit and nuts - Grapes - Total,18019129.24,^,18019129.24,^,204,Hume
5110058,Fruit and nuts - Grapes - Total,13289.58,,13289.58,,209,Melbourne - North East
5110058,Fruit and nuts - Grapes - Total,28933.45,**,28933.45,**,210,Melbourne - North West
5110058,Fruit and nuts - Grapes - Total,10914908.29,**,10743470.69,*,211,Melbourne - Outer East
5110058,Fruit and nuts - Grapes - Total,1433.9,**,1433.9,**,212,Melbourne - South East
5110058,Fruit and nuts - Grapes - Total,2395846.3,**,2395846.3,**,214,Mornington Peninsula
5110058,Fruit and nuts - Grapes - Total,453117019.1,^,440722150.2,^,215,North West
5110058,Fruit and nuts - Grapes - Total,10157450.56,^,10148085.96,^,216,Shepparton
5110058,Fruit and nuts - Grapes - Total,213732.56,*,213732.56,*,217,Warrnambool and South West
5110058,Fruit and nuts - Grapes - Total,11350.94,^,11350.94,^,306,Cairns
5110058,Fruit and nuts - Grapes - Total,9282741.98,^,8321270.86,^,307,Darling Downs - Maranoa
5110058,Fruit and nuts - Grapes - Total,17265453.5,,15452039.41,,308,Central Queensland
5110058,Fruit and nuts - Grapes - Total,22759.53,**,22759.53,**,311,Logan - Beaudesert
5110058,Fruit and nuts - Grapes - Total,831305.92,,742106.88,,315,Queensland - Outback
5110058,Fruit and nuts - Grapes - Total,797473.03,^,711904.26,^,318,Townsville
5110058,Fruit and nuts - Grapes - Total,5135350.72,,4603640.64,,319,Wide Bay
5110058,Fruit and nuts - Grapes - Total,17946465.82,^,17946465.82,^,401,Adelaide - Central and Hills
5110058,Fruit and nuts - Grapes - Total,2462075.97,^,2462075.97,^,402,Adelaide - North
5110058,Fruit and nuts - Grapes - Total,33716732.33,^,33716732.33,^,403,Adelaide - South
5110058,Fruit and nuts - Grapes - Total,69362489.99,,69362489.99,,405,Barossa - Yorke - Mid North
5110058,Fruit and nuts - Grapes - Total,411795549.4,,411781680.2,,407,South Australia - South East
5110058,Fruit and nuts - Grapes - Total,71411910.42,^,71368656.51,^,501,Bunbury
5110058,Fruit and nuts - Grapes - Total,260687.96,,235187.07,,502,Mandurah
5110058,Fruit and nuts - Grapes - Total,4619091.77,^,4263083.72,^,504,Perth - North East
5110058,Fruit and nuts - Grapes - Total,15800.07,**,15800.07,**,505,Perth - North West
5110058,Fruit and nuts - Grapes - Total,234248.69,**,234248.69,**,506,Perth - South East
5110058,Fruit and nuts - Grapes - Total,19590477.49,^,19551374.28,^,509,Western Australia - Wheat Belt
5110058,Fruit and nuts - Grapes - Total,9344579.96,^,8430479.33,^,511,Western Australia - Outback (South)
5110058,Fruit and nuts - Grapes - Total,4910389.88,*,4910389.88,*,601,Hobart
5110058,Fruit and nuts - Grapes - Total,11087174.99,^,11087174.99,^,602,Launceston and North East
5110058,Fruit and nuts - Grapes - Total,7974557.04,^,7974557.04,^,603,South East
5110058,Fruit and nuts - Grapes - Total,228115.05,,228115.05,,604,West and North West
5110058,Fruit and nuts - Grapes - Total,5328463.89,,4927621.62,,702,Northern Territory - Outback
5110058,Fruit and nuts - Grapes - Total,35167.54,,35167.54,,801,Australian Capital Territory
