Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,30202.55,*,28668.81,*,101,Capital Region
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,326214.27,**,309648.59,**,105,Far West and Orana
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,43386.08,**,41182.86,**,106,Hunter Valley excluding Newcastle
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,265658.03,**,252167.49,**,108,Mid North Coast
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,17313148.95,**,16433960.03,**,109,Murray
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,4233810.65,,4018811.09,,110,New England and North West
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,337149.75,**,320028.75,**,112,Richmond - Tweed
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,30521195.53,,28971281.24,,113,Riverina
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,296.77,*,281.7,*,114,Southern Highlands and Shoalhaven
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,110.55,**,104.93,**,124,Sydney - Outer West and Blue Mountains
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,2903.27,**,2755.84,**,201,Ballarat
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,513088.92,**,487033.46,**,202,Bendigo
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,2468863.95,*,2343491.16,*,204,Hume
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,34627.77,**,32869.32,**,205,Latrobe - Gippsland
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,7944592.25,**,7541153.36,**,215,North West
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,150672.97,,143021.56,,310,Ipswich
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,110493.51,,104882.48,,317,Toowoomba
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,894997.43,^,849548.05,^,319,Wide Bay
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,9547.37,**,9062.54,**,401,Adelaide - Central and Hills
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,16300.11,**,15472.37,**,403,Adelaide - South
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,477.37,**,453.13,**,405,Barossa - Yorke - Mid North
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,368895.13,**,350162.06,**,407,South Australia - South East
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,3988009.76,**,3785492.36,**,501,Bunbury
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,13506.84,,12820.95,,509,Western Australia - Wheat Belt
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,135605.67,,128719.4,,601,Hobart
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,567854.62,*,539018.07,*,602,Launceston and North East
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,6540979.41,^,6208818.19,^,603,South East
