Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3602458,Vegetables for human consumption - Carrots,635956.23,**,520631.81,**,102,Central Coast
3602458,Vegetables for human consumption - Carrots,8675.63,**,7102.39,**,103,Central West
3602458,Vegetables for human consumption - Carrots,1188.48,,972.96,,105,Far West and Orana
3602458,Vegetables for human consumption - Carrots,21401.83,*,17520.82,*,112,Richmond - Tweed
3602458,Vegetables for human consumption - Carrots,468825.46,*,383808.57,*,113,Riverina
3602458,Vegetables for human consumption - Carrots,1805397.8,*,1327723.74,*,201,Ballarat
3602458,Vegetables for human consumption - Carrots,13214256.02,,9718014.21,,205,Latrobe - Gippsland
3602458,Vegetables for human consumption - Carrots,218371.27,,160594.37,,208,Melbourne - Inner South
3602458,Vegetables for human consumption - Carrots,653294.05,,480444.82,,212,Melbourne - South East
3602458,Vegetables for human consumption - Carrots,2649305.01,,1948349.09,,214,Mornington Peninsula
3602458,Vegetables for human consumption - Carrots,33684294.4,,24772068.22,,215,North West
3602458,Vegetables for human consumption - Carrots,643356.38,**,473136.47,**,216,Shepparton
3602458,Vegetables for human consumption - Carrots,1113547.85,,803261.16,,301,Brisbane - East
3602458,Vegetables for human consumption - Carrots,7654487.51,*,5521588.07,*,307,Darling Downs - Maranoa
3602458,Vegetables for human consumption - Carrots,34692433.01,,25025493.07,,310,Ipswich
3602458,Vegetables for human consumption - Carrots,4272705.57,,3082129.28,,317,Toowoomba
3602458,Vegetables for human consumption - Carrots,119597.78,,86272.23,,319,Wide Bay
3602458,Vegetables for human consumption - Carrots,24899.51,**,18785.05,**,401,Adelaide - Central and Hills
3602458,Vegetables for human consumption - Carrots,15816767.73,,11932714.29,,402,Adelaide - North
3602458,Vegetables for human consumption - Carrots,33578271.36,,25332604.31,,407,South Australia - South East
3602458,Vegetables for human consumption - Carrots,25185492.07,,14347648.98,,501,Bunbury
3602458,Vegetables for human consumption - Carrots,1342703.37,,764910.07,,506,Perth - South East
3602458,Vegetables for human consumption - Carrots,15819317.54,,9011934.9,,509,Western Australia - Wheat Belt
3602458,Vegetables for human consumption - Carrots,9328110.62,^,7360723.6,^,602,Launceston and North East
3602458,Vegetables for human consumption - Carrots,26932186.62,,21251932.97,,604,West and North West
