Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3602758,Vegetables for human consumption - Cauliflowers,2276.46,*,1670.49,*,101,Capital Region
3602758,Vegetables for human consumption - Cauliflowers,75858.62,**,55665.94,**,102,Central Coast
3602758,Vegetables for human consumption - Cauliflowers,8090935.17,,5937222.91,,103,Central West
3602758,Vegetables for human consumption - Cauliflowers,15552.22,**,11412.4,**,105,Far West and Orana
3602758,Vegetables for human consumption - Cauliflowers,426595.15,**,313040.51,**,109,Murray
3602758,Vegetables for human consumption - Cauliflowers,9473.95,*,6952.09,*,112,Richmond - Tweed
3602758,Vegetables for human consumption - Cauliflowers,766521.22,^,562482.24,^,115,Sydney - Baulkham Hills and Hawkesbury
3602758,Vegetables for human consumption - Cauliflowers,233106.81,*,171056.51,*,123,Sydney - Outer South West
3602758,Vegetables for human consumption - Cauliflowers,101899.99,**,74775.41,**,124,Sydney - Outer West and Blue Mountains
3602758,Vegetables for human consumption - Cauliflowers,7494.76,**,5499.74,**,127,Sydney - South West
3602758,Vegetables for human consumption - Cauliflowers,46521.75,**,35792.7,**,201,Ballarat
3602758,Vegetables for human consumption - Cauliflowers,3274470.73,,2519297.89,,205,Latrobe - Gippsland
3602758,Vegetables for human consumption - Cauliflowers,27917954.97,*,21479393.47,*,213,Melbourne - West
3602758,Vegetables for human consumption - Cauliflowers,496084.22,**,381675.1,**,214,Mornington Peninsula
3602758,Vegetables for human consumption - Cauliflowers,76132.67,*,58574.62,*,216,Shepparton
3602758,Vegetables for human consumption - Cauliflowers,3578650.03,*,2765406.92,*,307,Darling Downs - Maranoa
3602758,Vegetables for human consumption - Cauliflowers,1019265.95,^,787639.22,^,310,Ipswich
3602758,Vegetables for human consumption - Cauliflowers,10805381.04,,8349873.63,,317,Toowoomba
3602758,Vegetables for human consumption - Cauliflowers,68635.13,**,53037.9,**,319,Wide Bay
3602758,Vegetables for human consumption - Cauliflowers,36739.94,**,27398.69,**,401,Adelaide - Central and Hills
3602758,Vegetables for human consumption - Cauliflowers,811377.39,*,605081.99,*,402,Adelaide - North
3602758,Vegetables for human consumption - Cauliflowers,941115.46,^,701833.72,^,405,Barossa - Yorke - Mid North
3602758,Vegetables for human consumption - Cauliflowers,1830990.79,,1365455.28,,407,South Australia - South East
3602758,Vegetables for human consumption - Cauliflowers,2168901.1,^,1615111.92,^,501,Bunbury
3602758,Vegetables for human consumption - Cauliflowers,422315.27,,314484.8,,505,Perth - North West
3602758,Vegetables for human consumption - Cauliflowers,4870375.4,,3626814.23,,509,Western Australia - Wheat Belt
3602758,Vegetables for human consumption - Cauliflowers,67923.57,**,50580.53,**,511,Western Australia - Outback (South)
3602758,Vegetables for human consumption - Cauliflowers,3626410.5,^,3506787.36,^,604,West and North West
