Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3606758,Vegetables for human consumption - Peas - Green - Fresh market,1052.37,*,910.63,*,101,Capital Region
3606758,Vegetables for human consumption - Peas - Green - Fresh market,4692.94,*,4060.87,*,107,Illawarra
3606758,Vegetables for human consumption - Peas - Green - Fresh market,196529.55,**,170059.75,**,108,Mid North Coast
3606758,Vegetables for human consumption - Peas - Green - Fresh market,8484.85,**,7342.06,**,112,Richmond - Tweed
3606758,Vegetables for human consumption - Peas - Green - Fresh market,574.76,*,497.34,*,114,Southern Highlands and Shoalhaven
3606758,Vegetables for human consumption - Peas - Green - Fresh market,289887.74,**,250843.88,**,123,Sydney - Outer South West
3606758,Vegetables for human consumption - Peas - Green - Fresh market,17925.49,**,15702.43,**,203,Geelong
3606758,Vegetables for human consumption - Peas - Green - Fresh market,7548115.95,*,6612021.64,*,205,Latrobe - Gippsland
3606758,Vegetables for human consumption - Peas - Green - Fresh market,70003.97,**,61322.3,**,209,Melbourne - North East
3606758,Vegetables for human consumption - Peas - Green - Fresh market,1379921.92,,1208788.21,,213,Melbourne - West
3606758,Vegetables for human consumption - Peas - Green - Fresh market,722500.16,*,632897.89,*,215,North West
3606758,Vegetables for human consumption - Peas - Green - Fresh market,63519.82,^,55593.8,^,307,Darling Downs - Maranoa
3606758,Vegetables for human consumption - Peas - Green - Fresh market,127511.77,**,111600.81,**,310,Ipswich
3606758,Vegetables for human consumption - Peas - Green - Fresh market,25697.53,,22490.98,,315,Queensland - Outback
3606758,Vegetables for human consumption - Peas - Green - Fresh market,3201300.44,*,2801841.23,*,319,Wide Bay
3606758,Vegetables for human consumption - Peas - Green - Fresh market,11460.2,**,10037.33,**,407,South Australia - South East
3606758,Vegetables for human consumption - Peas - Green - Fresh market,612588,*,536921.88,*,602,Launceston and North East
3606758,Vegetables for human consumption - Peas - Green - Fresh market,3595,,3150.95,,603,South East
