Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3630059,Vegetables for human consumption - Total,6010581.64,,5085760.4,,101,Capital Region
3630059,Vegetables for human consumption - Total,19754160.84,*,16690274.35,*,102,Central Coast
3630059,Vegetables for human consumption - Total,51682213.95,,41463681.73,,103,Central West
3630059,Vegetables for human consumption - Total,5036726.02,*,4350113.22,*,104,Coffs Harbour - Grafton
3630059,Vegetables for human consumption - Total,3497649.08,*,2838862.37,*,105,Far West and Orana
3630059,Vegetables for human consumption - Total,3598187.96,^,3071369.92,^,106,Hunter Valley excluding Newcastle
3630059,Vegetables for human consumption - Total,1656719.45,*,1403628.75,*,107,Illawarra
3630059,Vegetables for human consumption - Total,4754103.11,*,3995811.21,*,108,Mid North Coast
3630059,Vegetables for human consumption - Total,82860492.19,^,70302255.19,^,109,Murray
3630059,Vegetables for human consumption - Total,41927883.68,^,35255249.04,^,110,New England and North West
3630059,Vegetables for human consumption - Total,12445491.17,^,10596697.52,^,112,Richmond - Tweed
3630059,Vegetables for human consumption - Total,101427151.6,,85907204.58,,113,Riverina
3630059,Vegetables for human consumption - Total,4290657.6,^,3801271.58,^,114,Southern Highlands and Shoalhaven
3630059,Vegetables for human consumption - Total,75231050.04,,63725773.45,,115,Sydney - Baulkham Hills and Hawkesbury
3630059,Vegetables for human consumption - Total,4287108.3,**,3644042.34,**,116,Sydney - Blacktown
3630059,Vegetables for human consumption - Total,111086.02,**,94423.13,**,119,Sydney - Inner South West
3630059,Vegetables for human consumption - Total,15442784.49,^,12789595.08,^,123,Sydney - Outer South West
3630059,Vegetables for human consumption - Total,26017012.69,^,21683833.69,^,124,Sydney - Outer West and Blue Mountains
3630059,Vegetables for human consumption - Total,47368195.42,^,40388534.56,^,127,Sydney - South West
3630059,Vegetables for human consumption - Total,78895228.22,^,71316282.73,^,201,Ballarat
3630059,Vegetables for human consumption - Total,2980976.42,^,2694894.66,^,202,Bendigo
3630059,Vegetables for human consumption - Total,8946033.3,,7460210.91,,203,Geelong
3630059,Vegetables for human consumption - Total,20471405.34,*,17408776.07,*,204,Hume
3630059,Vegetables for human consumption - Total,234277426,,194554468.3,,205,Latrobe - Gippsland
3630059,Vegetables for human consumption - Total,702648.74,,572230.16,,208,Melbourne - Inner South
3630059,Vegetables for human consumption - Total,102506846.5,,88180094.02,,209,Melbourne - North East
3630059,Vegetables for human consumption - Total,22779253.3,,19396464.3,,211,Melbourne - Outer East
3630059,Vegetables for human consumption - Total,95881580.31,,81713405.39,,212,Melbourne - South East
3630059,Vegetables for human consumption - Total,114382868.5,^,94048724.17,^,213,Melbourne - West
3630059,Vegetables for human consumption - Total,44429171.22,,37068205.22,,214,Mornington Peninsula
3630059,Vegetables for human consumption - Total,93273076.15,^,77271281.69,^,215,North West
3630059,Vegetables for human consumption - Total,120976138.6,^,104438743.1,^,216,Shepparton
3630059,Vegetables for human consumption - Total,3412931.17,*,3033882.84,*,217,Warrnambool and South West
3630059,Vegetables for human consumption - Total,4143852.19,^,3272671.42,^,301,Brisbane - East
3630059,Vegetables for human consumption - Total,,,,,303,Brisbane - South
3630059,Vegetables for human consumption - Total,20445557.36,^,17745516.44,^,306,Cairns
3630059,Vegetables for human consumption - Total,200138917.7,,165870090.7,,307,Darling Downs - Maranoa
3630059,Vegetables for human consumption - Total,,,,,308,Central Queensland
3630059,Vegetables for human consumption - Total,,,,,309,Gold Coast
3630059,Vegetables for human consumption - Total,232093856.8,,183607402.2,,310,Ipswich
3630059,Vegetables for human consumption - Total,22439753.36,,19142666.07,,311,Logan - Beaudesert
3630059,Vegetables for human consumption - Total,193360917.7,,160636812.6,,312,Mackay - Isaac - Whitsunday
3630059,Vegetables for human consumption - Total,,,,,313,Moreton Bay - North
3630059,Vegetables for human consumption - Total,,,,,315,Queensland - Outback
3630059,Vegetables for human consumption - Total,13816934.31,*,11702143.12,*,316,Sunshine Coast
3630059,Vegetables for human consumption - Total,211180037.5,,166610514.2,,317,Toowoomba
3630059,Vegetables for human consumption - Total,105476968.3,^,83257993.37,^,318,Townsville
3630059,Vegetables for human consumption - Total,212904368.3,,181034683.4,,319,Wide Bay
3630059,Vegetables for human consumption - Total,19177470.9,,17162207.65,,401,Adelaide - Central and Hills
3630059,Vegetables for human consumption - Total,94577276.21,,79726226.44,,402,Adelaide - North
3630059,Vegetables for human consumption - Total,13553507.06,,11771005.44,,403,Adelaide - South
3630059,Vegetables for human consumption - Total,55243898.6,^,47460675.19,^,405,Barossa - Yorke - Mid North
3630059,Vegetables for human consumption - Total,13278664.21,,11390544.86,,406,South Australia - Outback
3630059,Vegetables for human consumption - Total,365256481.1,,320092705,,407,South Australia - South East
3630059,Vegetables for human consumption - Total,137503075.5,,111045206.3,,501,Bunbury
3630059,Vegetables for human consumption - Total,104552.55,,88905.85,,504,Perth - North East
3630059,Vegetables for human consumption - Total,22140498.62,^,18539507.63,^,505,Perth - North West
3630059,Vegetables for human consumption - Total,6683982.4,^,5283808.68,^,506,Perth - South East
3630059,Vegetables for human consumption - Total,65547427.76,^,50112608.34,^,509,Western Australia - Wheat Belt
3630059,Vegetables for human consumption - Total,,,,,510,Western Australia - Outback (North)
3630059,Vegetables for human consumption - Total,32338319.03,^,27214855.95,^,511,Western Australia - Outback (South)
3630059,Vegetables for human consumption - Total,16602056.63,,14354831.24,,601,Hobart
3630059,Vegetables for human consumption - Total,87581937.29,,83035373.16,,602,Launceston and North East
3630059,Vegetables for human consumption - Total,1855928.95,**,1631841.73,**,603,South East
