Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1504158,Broadacre crops - Cereal crops - Sorghum for grain,147755.7,,134519.8,,101,Central Tablelands
1504158,Broadacre crops - Cereal crops - Sorghum for grain,9905524.19,*,9018191.46,*,102,Central West
1504158,Broadacre crops - Cereal crops - Sorghum for grain,238917.72,,217515.57,,105,Murray
1504158,Broadacre crops - Cereal crops - Sorghum for grain,71496916.85,,65092252.84,,108,North West NSW
1504158,Broadacre crops - Cereal crops - Sorghum for grain,4835611.57,*,4402439.5,*,109,Northern Tablelands
1504158,Broadacre crops - Cereal crops - Sorghum for grain,1092790.06,*,994898.39,*,110,Riverina
1504158,Broadacre crops - Cereal crops - Sorghum for grain,6587.45,,6037.19,,201,Corangamite
1504158,Broadacre crops - Cereal crops - Sorghum for grain,,,,,202,East Gippsland
1504158,Broadacre crops - Cereal crops - Sorghum for grain,,,,,205,Mallee
1504158,Broadacre crops - Cereal crops - Sorghum for grain,,,,,206,North Central
1504158,Broadacre crops - Cereal crops - Sorghum for grain,11457243.5,*,10259456.24,*,301,Burnett Mary
1504158,Broadacre crops - Cereal crops - Sorghum for grain,537269.45,,481101.1,,302,Cape York
1504158,Broadacre crops - Cereal crops - Sorghum for grain,179343214.5,,160593938.8,,303,Condamine
1504158,Broadacre crops - Cereal crops - Sorghum for grain,357077.19,**,319746.87,**,304,Cooperative Management Area
1504158,Broadacre crops - Cereal crops - Sorghum for grain,285966.58,*,256070.46,*,305,Desert Channels
1504158,Broadacre crops - Cereal crops - Sorghum for grain,66909465.04,,59914474.95,,306,Fitzroy Basin
1504158,Broadacre crops - Cereal crops - Sorghum for grain,1814977.2,,1625232.03,,307,North Queensland Dry Tropics
1504158,Broadacre crops - Cereal crops - Sorghum for grain,1862015.91,,1667353.13,,308,Northern Gulf
1504158,Broadacre crops - Cereal crops - Sorghum for grain,37636422.88,,33701756.76,,309,Queensland Murray Darling Basin
1504158,Broadacre crops - Cereal crops - Sorghum for grain,2793.02,,2501.03,,310,Reef Catchments
1504158,Broadacre crops - Cereal crops - Sorghum for grain,2210172.62,*,1979112.1,*,311,South East Queensland
1504158,Broadacre crops - Cereal crops - Sorghum for grain,865.39,**,814.9,**,407,South Australian Murray Darling Basin
1504158,Broadacre crops - Cereal crops - Sorghum for grain,22373.7,,20817.38,,501,Northern Agricultural
1504158,Broadacre crops - Cereal crops - Sorghum for grain,346579.19,^,322471.1,^,504,Rangelands
1504158,Broadacre crops - Cereal crops - Sorghum for grain,,,,,701,Northern Territory
