Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1508858,Broadacre crops - Cereal crops - Triticale for grain,1505317.83,**,1324618.68,**,101,Central Tablelands
1508858,Broadacre crops - Cereal crops - Triticale for grain,988371.19,*,869726.59,*,102,Central West
1508858,Broadacre crops - Cereal crops - Triticale for grain,4568214.16,*,4019843.32,*,105,Murray
1508858,Broadacre crops - Cereal crops - Triticale for grain,5130.64,,4514.76,,106,North Coast
1508858,Broadacre crops - Cereal crops - Triticale for grain,1497748.3,*,1317957.8,*,108,North West NSW
1508858,Broadacre crops - Cereal crops - Triticale for grain,83967.29,**,73887.82,**,109,Northern Tablelands
1508858,Broadacre crops - Cereal crops - Triticale for grain,2615170.05,*,2301243.65,*,110,Riverina
1508858,Broadacre crops - Cereal crops - Triticale for grain,163813.08,^,144148.87,^,111,South East NSW
1508858,Broadacre crops - Cereal crops - Triticale for grain,1313727.08,*,1169260.44,*,201,Corangamite
1508858,Broadacre crops - Cereal crops - Triticale for grain,22849.49,*,20336.8,*,202,East Gippsland
1508858,Broadacre crops - Cereal crops - Triticale for grain,141106.11,**,125589.1,**,204,Goulburn Broken
1508858,Broadacre crops - Cereal crops - Triticale for grain,314162.4,*,279614.9,*,205,Mallee
1508858,Broadacre crops - Cereal crops - Triticale for grain,491150.7,*,437140.32,*,206,North Central
1508858,Broadacre crops - Cereal crops - Triticale for grain,872027.46,*,776133.21,*,207,North East
1508858,Broadacre crops - Cereal crops - Triticale for grain,3715.93,,3307.3,,209,West Gippsland
1508858,Broadacre crops - Cereal crops - Triticale for grain,110096.46,*,97989.48,*,210,Wimmera
1508858,Broadacre crops - Cereal crops - Triticale for grain,237.72,,237.72,,310,Reef Catchments
1508858,Broadacre crops - Cereal crops - Triticale for grain,109962.99,*,101416.7,*,401,Adelaide and Mount Lofty Ranges
1508858,Broadacre crops - Cereal crops - Triticale for grain,30204.2,**,27856.74,**,403,Eyre Peninsula
1508858,Broadacre crops - Cereal crops - Triticale for grain,11328.66,**,10448.2,**,405,Northern and Yorke
1508858,Broadacre crops - Cereal crops - Triticale for grain,3112726.31,*,2870806.23,*,407,South Australian Murray Darling Basin
1508858,Broadacre crops - Cereal crops - Triticale for grain,213627.95,**,197024.85,**,408,South East
1508858,Broadacre crops - Cereal crops - Triticale for grain,16650.37,**,15423.21,**,501,Northern Agricultural
1508858,Broadacre crops - Cereal crops - Triticale for grain,721115.25,*,667967.66,*,505,South Coast
1508858,Broadacre crops - Cereal crops - Triticale for grain,33052.89,**,33052.89,**,601,Cradle Coast
1508858,Broadacre crops - Cereal crops - Triticale for grain,2620.46,*,2620.46,*,602,North
