Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1960940.58,*,1689668.94,*,103,Greater Sydney
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,4100722.18,**,3533438.49,**,105,Murray
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,480268.55,*,413829.39,*,106,North Coast
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,4150891.03,^,3576667.1,^,110,Riverina
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,7217.83,**,6219.33,**,111,South East NSW
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,212405.7,*,183022.02,*,112,Western
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1825345.13,*,1601632.14,*,202,East Gippsland
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,3825561.69,^,3356703.6,^,204,Goulburn Broken
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,7411134.78,,6502831.42,,205,Mallee
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,367402.04,*,322373.51,*,206,North Central
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,238860.26,**,209585.72,**,207,North East
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,5925150.51,*,5198968.32,*,208,Port Phillip and Western Port
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1337.19,*,1173.31,*,209,West Gippsland
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,36944299.39,,32345286.99,,301,Burnett Mary
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,169242.9,*,148174.69,*,302,Cape York
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,773289.37,**,677026.42,**,303,Condamine
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1138384.61,,996672.77,,306,Fitzroy Basin
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,689050.16,^,603273.73,^,307,North Queensland Dry Tropics
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,31073538.24,*,27205347.74,*,308,Northern Gulf
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,26530.05,*,23227.45,*,310,Reef Catchments
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,4483661.25,*,3925512.52,*,311,South East Queensland
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,6144890.93,*,5379943.97,*,314,Terrain NRM
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1263490.67,^,1148548.59,^,401,Adelaide and Mount Lofty Ranges
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,39811060.11,,36189374.27,,407,South Australian Murray Darling Basin
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1046262.47,^,926007.97,^,501,Northern Agricultural
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,15765.02,**,13953.03,**,502,Peel-Harvey
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,114062.88,*,100952.81,*,503,Perth
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,844661.92,^,747578.83,^,504,Rangelands
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,305.18,*,270.1,*,505,South Coast
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,15751.23,*,13940.83,*,506,South West
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,107440.53,^,96876.05,^,701,Northern Territory
