Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
5110058,Fruit and nuts - Grapes - Total,5667927.51,*,5667927.51,*,101,Central Tablelands
5110058,Fruit and nuts - Grapes - Total,26293.41,**,26293.41,**,102,Central West
5110058,Fruit and nuts - Grapes - Total,4977909.84,*,4977909.84,*,104,Hunter
5110058,Fruit and nuts - Grapes - Total,9893836.86,^,9476251.25,^,105,Murray
5110058,Fruit and nuts - Grapes - Total,132941386.4,,132847168.3,,110,Riverina
5110058,Fruit and nuts - Grapes - Total,325495.58,*,325495.58,*,111,South East NSW
5110058,Fruit and nuts - Grapes - Total,149913092.8,^,144005832.7,^,112,Western
5110058,Fruit and nuts - Grapes - Total,335173.9,*,335173.9,*,201,Corangamite
5110058,Fruit and nuts - Grapes - Total,110216.14,*,110216.14,*,202,East Gippsland
5110058,Fruit and nuts - Grapes - Total,1377233.9,*,1377233.9,*,203,Glenelg Hopkins
5110058,Fruit and nuts - Grapes - Total,9188232.91,^,9188232.91,^,204,Goulburn Broken
5110058,Fruit and nuts - Grapes - Total,371768352.5,^,362666924.5,^,205,Mallee
5110058,Fruit and nuts - Grapes - Total,12896344.25,^,12848052.06,^,206,North Central
5110058,Fruit and nuts - Grapes - Total,6055488.74,^,6055488.74,^,207,North East
5110058,Fruit and nuts - Grapes - Total,25002507.84,*,25002507.84,*,208,Port Phillip and Western Port
5110058,Fruit and nuts - Grapes - Total,125452.52,*,125452.52,*,209,West Gippsland
5110058,Fruit and nuts - Grapes - Total,1269216.19,^,1266884.15,^,210,Wimmera
5110058,Fruit and nuts - Grapes - Total,6340703.72,,5696821.01,,301,Burnett Mary
5110058,Fruit and nuts - Grapes - Total,17237961.47,,15461684.1,,306,Fitzroy Basin
5110058,Fruit and nuts - Grapes - Total,511851.29,,459107.82,,307,North Queensland Dry Tropics
5110058,Fruit and nuts - Grapes - Total,2045711.99,,1834912.59,,308,Northern Gulf
5110058,Fruit and nuts - Grapes - Total,10945497.34,,9833767.65,,309,Queensland Murray Darling Basin
5110058,Fruit and nuts - Grapes - Total,512360.08,**,459564.18,**,312,South West Queensland
5110058,Fruit and nuts - Grapes - Total,97540564.69,^,97540564.69,^,401,Adelaide and Mount Lofty Ranges
5110058,Fruit and nuts - Grapes - Total,77925.84,^,77925.84,^,403,Eyre Peninsula
5110058,Fruit and nuts - Grapes - Total,139422.12,^,139422.12,^,404,Kangaroo Island
5110058,Fruit and nuts - Grapes - Total,20926856.77,*,20926856.77,*,405,Northern and Yorke
5110058,Fruit and nuts - Grapes - Total,346369165.4,,345923556,,407,South Australian Murray Darling Basin
5110058,Fruit and nuts - Grapes - Total,42932174.39,^,42932174.39,^,408,South East
5110058,Fruit and nuts - Grapes - Total,4852526.28,,4591365.79,,501,Northern Agricultural
5110058,Fruit and nuts - Grapes - Total,5980738.06,,5431891.37,,502,Peel-Harvey
5110058,Fruit and nuts - Grapes - Total,7172581.04,*,6681276.28,*,503,Perth
5110058,Fruit and nuts - Grapes - Total,3976613.6,*,3601755.83,*,504,Rangelands
5110058,Fruit and nuts - Grapes - Total,10901145.33,^,10901145.33,^,505,South Coast
5110058,Fruit and nuts - Grapes - Total,55812063.99,^,55643274.26,^,506,South West
5110058,Fruit and nuts - Grapes - Total,621140.73,^,621140.73,^,601,Cradle Coast
5110058,Fruit and nuts - Grapes - Total,12352192.27,^,12352192.27,^,602,North
5110058,Fruit and nuts - Grapes - Total,16785433.25,^,16785433.25,^,603,South
5110058,Fruit and nuts - Grapes - Total,1179533.76,,1065029.95,,701,Northern Territory
5110058,Fruit and nuts - Grapes - Total,55410.2,*,55410.2,*,801,ACT
