Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
5109958,Fruit and nuts - Grapes - Wine production,5667927.51,*,5667927.51,*,101,Central Tablelands
5109958,Fruit and nuts - Grapes - Wine production,26293.41,**,26293.41,**,102,Central West
5109958,Fruit and nuts - Grapes - Wine production,4977909.84,*,4977909.84,*,104,Hunter
5109958,Fruit and nuts - Grapes - Wine production,4908735.4,^,4908735.4,^,105,Murray
5109958,Fruit and nuts - Grapes - Wine production,131816618.5,,131816618.5,,110,Riverina
5109958,Fruit and nuts - Grapes - Wine production,325495.58,*,325495.58,*,111,South East NSW
5109958,Fruit and nuts - Grapes - Wine production,79392724.59,^,79392724.59,^,112,Western
5109958,Fruit and nuts - Grapes - Wine production,335173.9,*,335173.9,*,201,Corangamite
5109958,Fruit and nuts - Grapes - Wine production,110216.14,*,110216.14,*,202,East Gippsland
5109958,Fruit and nuts - Grapes - Wine production,1377233.9,*,1377233.9,*,203,Glenelg Hopkins
5109958,Fruit and nuts - Grapes - Wine production,9188232.91,^,9188232.91,^,204,Goulburn Broken
5109958,Fruit and nuts - Grapes - Wine production,59131943.07,^,59131943.07,^,205,Mallee
5109958,Fruit and nuts - Grapes - Wine production,11237495.02,*,11237495.02,*,206,North Central
5109958,Fruit and nuts - Grapes - Wine production,6055488.74,^,6055488.74,^,207,North East
5109958,Fruit and nuts - Grapes - Wine production,25002507.84,*,25002507.84,*,208,Port Phillip and Western Port
5109958,Fruit and nuts - Grapes - Wine production,125452.52,*,125452.52,*,209,West Gippsland
5109958,Fruit and nuts - Grapes - Wine production,1189110.1,^,1189110.1,^,210,Wimmera
5109958,Fruit and nuts - Grapes - Wine production,92115.83,,92115.83,,301,Burnett Mary
5109958,Fruit and nuts - Grapes - Wine production,156667.94,^,156667.94,^,309,Queensland Murray Darling Basin
5109958,Fruit and nuts - Grapes - Wine production,97540564.69,^,97540564.69,^,401,Adelaide and Mount Lofty Ranges
5109958,Fruit and nuts - Grapes - Wine production,77925.84,^,77925.84,^,403,Eyre Peninsula
5109958,Fruit and nuts - Grapes - Wine production,139422.12,^,139422.12,^,404,Kangaroo Island
5109958,Fruit and nuts - Grapes - Wine production,20926856.77,*,20926856.77,*,405,Northern and Yorke
5109958,Fruit and nuts - Grapes - Wine production,340641433.4,,340641433.4,,407,South Australian Murray Darling Basin
5109958,Fruit and nuts - Grapes - Wine production,42932174.39,^,42932174.39,^,408,South East
5109958,Fruit and nuts - Grapes - Wine production,2082050.52,,2082050.52,,501,Northern Agricultural
5109958,Fruit and nuts - Grapes - Wine production,158393.13,**,158393.13,**,502,Peel-Harvey
5109958,Fruit and nuts - Grapes - Wine production,1960659.82,**,1960659.82,**,503,Perth
5109958,Fruit and nuts - Grapes - Wine production,10901145.33,^,10901145.33,^,505,South Coast
5109958,Fruit and nuts - Grapes - Wine production,54021487.45,^,54021487.45,^,506,South West
5109958,Fruit and nuts - Grapes - Wine production,621140.73,^,621140.73,^,601,Cradle Coast
5109958,Fruit and nuts - Grapes - Wine production,12352192.27,^,12352192.27,^,602,North
5109958,Fruit and nuts - Grapes - Wine production,16785433.25,^,16785433.25,^,603,South
5109958,Fruit and nuts - Grapes - Wine production,55410.2,*,55410.2,*,801,ACT
