Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4205758,Fruit and nuts - Orchard fruit - Olives,24604.38,*,23992.83,*,101,Central Tablelands
4205758,Fruit and nuts - Orchard fruit - Olives,39582.6,*,38598.77,*,103,Greater Sydney
4205758,Fruit and nuts - Orchard fruit - Olives,374.84,**,365.52,**,104,Hunter
4205758,Fruit and nuts - Orchard fruit - Olives,547.57,**,533.96,**,106,North Coast
4205758,Fruit and nuts - Orchard fruit - Olives,12383434.96,*,12075641.79,*,110,Riverina
4205758,Fruit and nuts - Orchard fruit - Olives,1024.1,,998.64,,111,South East NSW
4205758,Fruit and nuts - Orchard fruit - Olives,122909.53,**,119948.59,**,201,Corangamite
4205758,Fruit and nuts - Orchard fruit - Olives,59042.22,*,57619.87,*,202,East Gippsland
4205758,Fruit and nuts - Orchard fruit - Olives,1250854.65,**,1220721.11,**,204,Goulburn Broken
4205758,Fruit and nuts - Orchard fruit - Olives,18325655.75,,17884184.14,,205,Mallee
4205758,Fruit and nuts - Orchard fruit - Olives,13702642.81,,13372541.24,,206,North Central
4205758,Fruit and nuts - Orchard fruit - Olives,1018335.89,**,993803.82,**,207,North East
4205758,Fruit and nuts - Orchard fruit - Olives,714962.37,**,697738.67,**,208,Port Phillip and Western Port
4205758,Fruit and nuts - Orchard fruit - Olives,714649.05,*,697432.9,*,210,Wimmera
4205758,Fruit and nuts - Orchard fruit - Olives,299.84,,292.93,,301,Burnett Mary
4205758,Fruit and nuts - Orchard fruit - Olives,4717.75,,4609.03,,303,Condamine
4205758,Fruit and nuts - Orchard fruit - Olives,762944.77,**,743191.43,**,401,Adelaide and Mount Lofty Ranges
4205758,Fruit and nuts - Orchard fruit - Olives,127047.35,**,123757.98,**,404,Kangaroo Island
4205758,Fruit and nuts - Orchard fruit - Olives,616592.19,**,600628.05,**,405,Northern and Yorke
4205758,Fruit and nuts - Orchard fruit - Olives,1518447.12,**,1479133.13,**,407,South Australian Murray Darling Basin
4205758,Fruit and nuts - Orchard fruit - Olives,3402014.45,^,3313933.17,^,408,South East
4205758,Fruit and nuts - Orchard fruit - Olives,8091108.95,,7892887.19,,501,Northern Agricultural
4205758,Fruit and nuts - Orchard fruit - Olives,14286.34,*,13936.34,*,502,Peel-Harvey
4205758,Fruit and nuts - Orchard fruit - Olives,426911.12,,416452.35,,505,South Coast
4205758,Fruit and nuts - Orchard fruit - Olives,505343.95,**,492963.67,**,506,South West
4205758,Fruit and nuts - Orchard fruit - Olives,4801.62,**,4683.98,**,602,North
4205758,Fruit and nuts - Orchard fruit - Olives,94171.79,*,91864.71,*,603,South
