Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4204358,Fruit and nuts - Stone fruit - Cherries,8706208.65,*,7828954.84,*,101,Central Tablelands
4204358,Fruit and nuts - Stone fruit - Cherries,53425.84,**,48042.55,**,103,Greater Sydney
4204358,Fruit and nuts - Stone fruit - Cherries,51617.52,**,46416.44,**,105,Murray
4204358,Fruit and nuts - Stone fruit - Cherries,9548367.78,^,8586256.45,^,110,Riverina
4204358,Fruit and nuts - Stone fruit - Cherries,6748.73,*,6091.93,*,202,East Gippsland
4204358,Fruit and nuts - Stone fruit - Cherries,53202618.13,,48024868.1,,204,Goulburn Broken
4204358,Fruit and nuts - Stone fruit - Cherries,56213.52,*,50742.74,*,206,North Central
4204358,Fruit and nuts - Stone fruit - Cherries,14925273.33,*,13472725.74,*,207,North East
4204358,Fruit and nuts - Stone fruit - Cherries,7950658.38,*,7176889.66,*,208,Port Phillip and Western Port
4204358,Fruit and nuts - Stone fruit - Cherries,30623.52,*,26493.71,*,309,Queensland Murray Darling Basin
4204358,Fruit and nuts - Stone fruit - Cherries,8333351.9,,7408644.69,,401,Adelaide and Mount Lofty Ranges
4204358,Fruit and nuts - Stone fruit - Cherries,3269.23,,2906.47,,405,Northern and Yorke
4204358,Fruit and nuts - Stone fruit - Cherries,591885.57,^,526207.21,^,407,South Australian Murray Darling Basin
4204358,Fruit and nuts - Stone fruit - Cherries,17717.3,**,15505.4,**,503,Perth
4204358,Fruit and nuts - Stone fruit - Cherries,3050.25,*,2669.44,*,505,South Coast
4204358,Fruit and nuts - Stone fruit - Cherries,768124.21,*,672228.5,*,506,South West
4204358,Fruit and nuts - Stone fruit - Cherries,3372458.76,^,3131712.91,^,601,Cradle Coast
4204358,Fruit and nuts - Stone fruit - Cherries,4842003.49,*,4496352.93,*,602,North
4204358,Fruit and nuts - Stone fruit - Cherries,61424972.23,,57040098.05,,603,South
4204358,Fruit and nuts - Stone fruit - Cherries,136986.61,,123183.59,,801,ACT
