Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4206258,Fruit and nuts - Stone fruit - Peaches,446825.52,**,380041.8,**,101,Central Tablelands
4206258,Fruit and nuts - Stone fruit - Peaches,348670.02,**,296556.88,**,102,Central West
4206258,Fruit and nuts - Stone fruit - Peaches,1606447.21,*,1366343.38,*,103,Greater Sydney
4206258,Fruit and nuts - Stone fruit - Peaches,1574517.56,,1339186.02,,105,Murray
4206258,Fruit and nuts - Stone fruit - Peaches,135782.49,**,115488.08,**,106,North Coast
4206258,Fruit and nuts - Stone fruit - Peaches,607791.01,*,516948.96,*,110,Riverina
4206258,Fruit and nuts - Stone fruit - Peaches,1642.19,*,1450.43,*,202,East Gippsland
4206258,Fruit and nuts - Stone fruit - Peaches,35458688.91,^,31318094.66,^,204,Goulburn Broken
4206258,Fruit and nuts - Stone fruit - Peaches,1572398.79,*,1388786.09,*,205,Mallee
4206258,Fruit and nuts - Stone fruit - Peaches,8711130.22,,7693911.11,,206,North Central
4206258,Fruit and nuts - Stone fruit - Peaches,214214.26,*,189199.96,*,207,North East
4206258,Fruit and nuts - Stone fruit - Peaches,611725.22,,540292.63,,208,Port Phillip and Western Port
4206258,Fruit and nuts - Stone fruit - Peaches,370508.3,^,303460.55,^,301,Burnett Mary
4206258,Fruit and nuts - Stone fruit - Peaches,869478.99,^,712136.74,^,309,Queensland Murray Darling Basin
4206258,Fruit and nuts - Stone fruit - Peaches,268481.2,*,219896.43,*,311,South East Queensland
4206258,Fruit and nuts - Stone fruit - Peaches,29249.7,*,25027.34,*,401,Adelaide and Mount Lofty Ranges
4206258,Fruit and nuts - Stone fruit - Peaches,56064.11,,47970.95,,405,Northern and Yorke
4206258,Fruit and nuts - Stone fruit - Peaches,6359148.36,*,5441170.64,*,407,South Australian Murray Darling Basin
4206258,Fruit and nuts - Stone fruit - Peaches,1643.17,^,1405.97,^,408,South East
4206258,Fruit and nuts - Stone fruit - Peaches,435970.86,,375342.68,,501,Northern Agricultural
4206258,Fruit and nuts - Stone fruit - Peaches,5645143.14,*,4860102.65,*,503,Perth
4206258,Fruit and nuts - Stone fruit - Peaches,879068.26,^,756820.84,^,506,South West
