Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1005158,Hay - Lucerne cut for hay,11398830.57,*,11398830.57,*,101,Central Tablelands
1005158,Hay - Lucerne cut for hay,15327036.2,*,15327036.2,*,102,Central West
1005158,Hay - Lucerne cut for hay,445857.14,*,445857.14,*,103,Greater Sydney
1005158,Hay - Lucerne cut for hay,3266772.41,*,3266772.41,*,104,Hunter
1005158,Hay - Lucerne cut for hay,14674068.72,*,14674068.72,*,105,Murray
1005158,Hay - Lucerne cut for hay,127303.5,**,127303.5,**,106,North Coast
1005158,Hay - Lucerne cut for hay,4764966.93,*,4764966.93,*,108,North West NSW
1005158,Hay - Lucerne cut for hay,1071415.48,*,1071415.48,*,109,Northern Tablelands
1005158,Hay - Lucerne cut for hay,12453148.9,^,12453148.9,^,110,Riverina
1005158,Hay - Lucerne cut for hay,10749593.44,*,10749593.44,*,111,South East NSW
1005158,Hay - Lucerne cut for hay,981075.79,*,981075.79,*,112,Western
1005158,Hay - Lucerne cut for hay,2718446.81,*,2718446.81,*,201,Corangamite
1005158,Hay - Lucerne cut for hay,1895451.93,^,1895451.93,^,202,East Gippsland
1005158,Hay - Lucerne cut for hay,3366557.68,*,3366557.68,*,203,Glenelg Hopkins
1005158,Hay - Lucerne cut for hay,22093319.66,*,22093319.66,*,204,Goulburn Broken
1005158,Hay - Lucerne cut for hay,62447.9,**,62447.9,**,205,Mallee
1005158,Hay - Lucerne cut for hay,14605622.22,*,14605622.22,*,206,North Central
1005158,Hay - Lucerne cut for hay,2794165.45,^,2794165.45,^,207,North East
1005158,Hay - Lucerne cut for hay,87488.15,*,87488.15,*,208,Port Phillip and Western Port
1005158,Hay - Lucerne cut for hay,1821785.94,*,1821785.94,*,209,West Gippsland
1005158,Hay - Lucerne cut for hay,1030452.05,*,1030452.05,*,210,Wimmera
1005158,Hay - Lucerne cut for hay,5809048.26,^,5809048.26,^,301,Burnett Mary
1005158,Hay - Lucerne cut for hay,10009515.03,*,10009515.03,*,303,Condamine
1005158,Hay - Lucerne cut for hay,6050247.17,*,6050247.17,*,306,Fitzroy Basin
1005158,Hay - Lucerne cut for hay,284538.45,**,284538.45,**,307,North Queensland Dry Tropics
1005158,Hay - Lucerne cut for hay,1326072.85,*,1326072.85,*,309,Queensland Murray Darling Basin
1005158,Hay - Lucerne cut for hay,10968449.43,^,10968449.43,^,311,South East Queensland
1005158,Hay - Lucerne cut for hay,724225.07,*,724225.07,*,401,Adelaide and Mount Lofty Ranges
1005158,Hay - Lucerne cut for hay,,,,,403,Eyre Peninsula
1005158,Hay - Lucerne cut for hay,,,,,404,Kangaroo Island
1005158,Hay - Lucerne cut for hay,395683.39,^,395683.39,^,405,Northern and Yorke
1005158,Hay - Lucerne cut for hay,1874171.69,*,1874171.69,*,407,South Australian Murray Darling Basin
1005158,Hay - Lucerne cut for hay,14578499.1,^,14578499.1,^,408,South East
1005158,Hay - Lucerne cut for hay,314231.1,,314231.1,,501,Northern Agricultural
1005158,Hay - Lucerne cut for hay,591354.07,^,591354.07,^,502,Peel-Harvey
1005158,Hay - Lucerne cut for hay,25034.7,**,25034.7,**,504,Rangelands
1005158,Hay - Lucerne cut for hay,518064.99,,518064.99,,506,South West
1005158,Hay - Lucerne cut for hay,1044914.98,**,1044914.98,**,601,Cradle Coast
1005158,Hay - Lucerne cut for hay,4631680.12,,4631680.12,,602,North
1005158,Hay - Lucerne cut for hay,2040052.43,^,2040052.43,^,603,South
1005158,Hay - Lucerne cut for hay,3244.58,,3244.58,,701,Northern Territory
