Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9200159,Livestock Products - Wool,141693653.8,,136016042,,101,Central Tablelands
9200159,Livestock Products - Wool,264741218.8,,254133137,,102,Central West
9200159,Livestock Products - Wool,41293.08,^,39638.48,^,103,Greater Sydney
9200159,Livestock Products - Wool,6867466.02,*,6592289.22,*,104,Hunter
9200159,Livestock Products - Wool,158335576,,151991128.6,,105,Murray
9200159,Livestock Products - Wool,75094.06,*,72085.07,*,106,North Coast
9200159,Livestock Products - Wool,52906767.11,,50786812.7,,108,North West NSW
9200159,Livestock Products - Wool,99204420.02,^,95229335.94,^,109,Northern Tablelands
9200159,Livestock Products - Wool,286919317.2,,275422567.2,,110,Riverina
9200159,Livestock Products - Wool,174205684.1,,167225327.4,,111,South East NSW
9200159,Livestock Products - Wool,121252775.8,,116394222.3,,112,Western
9200159,Livestock Products - Wool,145666438.3,^,142234827.5,^,201,Corangamite
9200159,Livestock Products - Wool,18161277.05,*,17733433.59,*,202,East Gippsland
9200159,Livestock Products - Wool,446708246.9,,436184691.6,,203,Glenelg Hopkins
9200159,Livestock Products - Wool,163277986.4,,159431482.7,,204,Goulburn Broken
9200159,Livestock Products - Wool,55143574.92,^,53844502.28,^,205,Mallee
9200159,Livestock Products - Wool,262244872.7,,256066906.6,,206,North Central
9200159,Livestock Products - Wool,27653494.61,^,27002033.44,^,207,North East
9200159,Livestock Products - Wool,10476264.81,^,10229464.91,^,208,Port Phillip and Western Port
9200159,Livestock Products - Wool,34030877.6,^,33229178.01,^,209,West Gippsland
9200159,Livestock Products - Wool,231141740.1,,225696501.8,,210,Wimmera
9200159,Livestock Products - Wool,88671.04,**,85327.28,**,301,Burnett Mary
9200159,Livestock Products - Wool,2661765.7,*,2561391.37,*,303,Condamine
9200159,Livestock Products - Wool,1377.54,**,1325.59,**,304,Cooperative Management Area
9200159,Livestock Products - Wool,32395176.64,^,31173564.85,^,305,Desert Channels
9200159,Livestock Products - Wool,128189.52,**,123355.53,**,306,Fitzroy Basin
9200159,Livestock Products - Wool,125626.08,**,120888.76,**,307,North Queensland Dry Tropics
9200159,Livestock Products - Wool,106407.76,**,102395.15,**,308,Northern Gulf
9200159,Livestock Products - Wool,36610586.09,^,35230012.56,^,309,Queensland Murray Darling Basin
9200159,Livestock Products - Wool,4272.22,**,4111.11,**,310,Reef Catchments
9200159,Livestock Products - Wool,26783.81,**,25773.8,**,311,South East Queensland
9200159,Livestock Products - Wool,23494659.17,^,22608683.06,^,312,South West Queensland
9200159,Livestock Products - Wool,2633838.58,**,2534517.37,**,313,Southern Gulf
9200159,Livestock Products - Wool,24496818.54,^,23652661.27,^,401,Adelaide and Mount Lofty Ranges
9200159,Livestock Products - Wool,1222484.06,,1180357.41,,402,Alinytjara Wilurara
9200159,Livestock Products - Wool,78610508.53,,75901600.36,,403,Eyre Peninsula
9200159,Livestock Products - Wool,28936936.3,,27939773.14,,404,Kangaroo Island
9200159,Livestock Products - Wool,118876793,,114780313.7,,405,Northern and Yorke
9200159,Livestock Products - Wool,40252023.06,,38864943.45,,406,South Australian Arid Lands
9200159,Livestock Products - Wool,91176749.58,,88034810.34,,407,South Australian Murray Darling Basin
9200159,Livestock Products - Wool,185423572,,179033899.2,,408,South East
9200159,Livestock Products - Wool,112566049.7,,109007111.3,,501,Northern Agricultural
9200159,Livestock Products - Wool,68096138.86,,65943180.99,,502,Peel-Harvey
9200159,Livestock Products - Wool,4377003.57,**,4238618.27,**,503,Perth
9200159,Livestock Products - Wool,10293387.3,^,9967946.98,^,504,Rangelands
9200159,Livestock Products - Wool,245127372,,237377315.8,,505,South Coast
9200159,Livestock Products - Wool,273527680.2,,264879707.2,,506,South West
9200159,Livestock Products - Wool,3686372.05,^,3586956.62,^,601,Cradle Coast
9200159,Livestock Products - Wool,57459166.82,,55909587.03,,602,North
9200159,Livestock Products - Wool,55479204.02,,53983020.6,,603,South
9200159,Livestock Products - Wool,1248384.87,*,1220771.87,*,801,ACT
