Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9100658,Livestock slaughtered and other disposals - Poultry,10731094.84,,10554511.03,,101,Central Tablelands
9100658,Livestock slaughtered and other disposals - Poultry,44842.2,**,44104.31,**,102,Central West
9100658,Livestock slaughtered and other disposals - Poultry,266907795.7,,262515737.2,,103,Greater Sydney
9100658,Livestock slaughtered and other disposals - Poultry,87452483.14,^,86013422.82,^,104,Hunter
9100658,Livestock slaughtered and other disposals - Poultry,806643.45,,793369.85,,105,Murray
9100658,Livestock slaughtered and other disposals - Poultry,39250182.67,,38604307.58,,106,North Coast
9100658,Livestock slaughtered and other disposals - Poultry,101378511.4,,99710293.54,,108,North West NSW
9100658,Livestock slaughtered and other disposals - Poultry,643226.93,^,632642.41,^,109,Northern Tablelands
9100658,Livestock slaughtered and other disposals - Poultry,262124539.5,,257811191.1,,110,Riverina
9100658,Livestock slaughtered and other disposals - Poultry,13422432.31,^,13201561.63,^,111,South East NSW
9100658,Livestock slaughtered and other disposals - Poultry,112061683.8,^,110503854.9,^,201,Corangamite
9100658,Livestock slaughtered and other disposals - Poultry,25250.34,*,24899.32,*,202,East Gippsland
9100658,Livestock slaughtered and other disposals - Poultry,20184426.41,,19903831.98,,203,Glenelg Hopkins
9100658,Livestock slaughtered and other disposals - Poultry,46807042.81,^,46156353.25,^,204,Goulburn Broken
9100658,Livestock slaughtered and other disposals - Poultry,1194321.99,,1177719.09,,205,Mallee
9100658,Livestock slaughtered and other disposals - Poultry,69521014.35,,68554565.82,,206,North Central
9100658,Livestock slaughtered and other disposals - Poultry,303572.95,**,299352.82,**,207,North East
9100658,Livestock slaughtered and other disposals - Poultry,272080333.9,,268298000.7,,208,Port Phillip and Western Port
9100658,Livestock slaughtered and other disposals - Poultry,19783252.96,*,19508235.46,*,209,West Gippsland
9100658,Livestock slaughtered and other disposals - Poultry,22270006.08,*,21960418.9,*,210,Wimmera
9100658,Livestock slaughtered and other disposals - Poultry,2709856.9,**,2671488.9,**,301,Burnett Mary
9100658,Livestock slaughtered and other disposals - Poultry,180759097.8,^,178199787.6,^,303,Condamine
9100658,Livestock slaughtered and other disposals - Poultry,693905.71,**,684080.92,**,306,Fitzroy Basin
9100658,Livestock slaughtered and other disposals - Poultry,5124429.36,,5051874.21,,307,North Queensland Dry Tropics
9100658,Livestock slaughtered and other disposals - Poultry,12783058.29,^,12602067.05,^,308,Northern Gulf
9100658,Livestock slaughtered and other disposals - Poultry,5375179.76,,5299074.31,,309,Queensland Murray Darling Basin
9100658,Livestock slaughtered and other disposals - Poultry,3727.5,**,3674.73,**,310,Reef Catchments
9100658,Livestock slaughtered and other disposals - Poultry,339874706,,335062528.8,,311,South East Queensland
9100658,Livestock slaughtered and other disposals - Poultry,13351410.75,,13162372.4,,314,Terrain NRM
9100658,Livestock slaughtered and other disposals - Poultry,,,,,401,Adelaide and Mount Lofty Ranges
9100658,Livestock slaughtered and other disposals - Poultry,,,,,403,Eyre Peninsula
9100658,Livestock slaughtered and other disposals - Poultry,,,,,404,Kangaroo Island
9100658,Livestock slaughtered and other disposals - Poultry,,,,,405,Northern and Yorke
9100658,Livestock slaughtered and other disposals - Poultry,,,,,407,South Australian Murray Darling Basin
9100658,Livestock slaughtered and other disposals - Poultry,,,,,408,South East
9100658,Livestock slaughtered and other disposals - Poultry,,,,,501,Northern Agricultural
9100658,Livestock slaughtered and other disposals - Poultry,,,,,502,Peel-Harvey
9100658,Livestock slaughtered and other disposals - Poultry,,,,,503,Perth
9100658,Livestock slaughtered and other disposals - Poultry,,,,,505,South Coast
9100658,Livestock slaughtered and other disposals - Poultry,,,,,506,South West
9100658,Livestock slaughtered and other disposals - Poultry,,,,,601,Cradle Coast
9100658,Livestock slaughtered and other disposals - Poultry,,,,,602,North
9100658,Livestock slaughtered and other disposals - Poultry,,,,,603,South
9100658,Livestock slaughtered and other disposals - Poultry,1163550.31,*,1144403.69,*,801,ACT
