Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9100258,Livestock slaughtered and other disposals - Sheep and lambs,98192978.5,,90367619.22,,101,Central Tablelands
9100258,Livestock slaughtered and other disposals - Sheep and lambs,197205101.5,,181489374.9,,102,Central West
9100258,Livestock slaughtered and other disposals - Sheep and lambs,19891.41,*,18306.02,*,103,Greater Sydney
9100258,Livestock slaughtered and other disposals - Sheep and lambs,4340120.14,*,3994231.7,*,104,Hunter
9100258,Livestock slaughtered and other disposals - Sheep and lambs,113246134.5,,104221203.7,,105,Murray
9100258,Livestock slaughtered and other disposals - Sheep and lambs,57818.79,*,53211.11,*,106,North Coast
9100258,Livestock slaughtered and other disposals - Sheep and lambs,37907630.79,,34886657.07,,108,North West NSW
9100258,Livestock slaughtered and other disposals - Sheep and lambs,71657937.18,,65947310.58,,109,Northern Tablelands
9100258,Livestock slaughtered and other disposals - Sheep and lambs,210534129.5,,193756123.2,,110,Riverina
9100258,Livestock slaughtered and other disposals - Sheep and lambs,140284631.1,,129105221.4,,111,South East NSW
9100258,Livestock slaughtered and other disposals - Sheep and lambs,111833986.9,,102922077.2,,112,Western
9100258,Livestock slaughtered and other disposals - Sheep and lambs,193182849.8,^,175190778.7,^,201,Corangamite
9100258,Livestock slaughtered and other disposals - Sheep and lambs,24309941.31,*,22045840.92,*,202,East Gippsland
9100258,Livestock slaughtered and other disposals - Sheep and lambs,626023964.6,,567719906.7,,203,Glenelg Hopkins
9100258,Livestock slaughtered and other disposals - Sheep and lambs,183498544.2,,166407791.1,,204,Goulburn Broken
9100258,Livestock slaughtered and other disposals - Sheep and lambs,63007206.91,^,57138842.35,^,205,Mallee
9100258,Livestock slaughtered and other disposals - Sheep and lambs,312598600.9,,283484082.2,,206,North Central
9100258,Livestock slaughtered and other disposals - Sheep and lambs,38034151.42,^,34491869.31,^,207,North East
9100258,Livestock slaughtered and other disposals - Sheep and lambs,14185485.82,^,12864327.15,^,208,Port Phillip and Western Port
9100258,Livestock slaughtered and other disposals - Sheep and lambs,43480988.32,^,39431358.1,^,209,West Gippsland
9100258,Livestock slaughtered and other disposals - Sheep and lambs,265068417.9,,240380499.8,,210,Wimmera
9100258,Livestock slaughtered and other disposals - Sheep and lambs,4563.75,*,4055.65,*,301,Burnett Mary
9100258,Livestock slaughtered and other disposals - Sheep and lambs,140087.01,*,124488.08,*,303,Condamine
9100258,Livestock slaughtered and other disposals - Sheep and lambs,139.85,**,124.22,**,304,Cooperative Management Area
9100258,Livestock slaughtered and other disposals - Sheep and lambs,3837573.93,^,3408661.91,^,305,Desert Channels
9100258,Livestock slaughtered and other disposals - Sheep and lambs,19964.05,**,17731.15,**,306,Fitzroy Basin
9100258,Livestock slaughtered and other disposals - Sheep and lambs,15925.45,**,14145.17,**,307,North Queensland Dry Tropics
9100258,Livestock slaughtered and other disposals - Sheep and lambs,6644.87,**,5904.17,**,308,Northern Gulf
9100258,Livestock slaughtered and other disposals - Sheep and lambs,3846266.64,^,3416545.75,^,309,Queensland Murray Darling Basin
9100258,Livestock slaughtered and other disposals - Sheep and lambs,377.39,**,335.25,**,310,Reef Catchments
9100258,Livestock slaughtered and other disposals - Sheep and lambs,1442.96,**,1282.26,**,311,South East Queensland
9100258,Livestock slaughtered and other disposals - Sheep and lambs,2562472.65,^,2276147.36,^,312,South West Queensland
9100258,Livestock slaughtered and other disposals - Sheep and lambs,303586.6,**,269658.6,**,313,Southern Gulf
9100258,Livestock slaughtered and other disposals - Sheep and lambs,23128868.88,^,21031222.96,^,401,Adelaide and Mount Lofty Ranges
9100258,Livestock slaughtered and other disposals - Sheep and lambs,1153823.07,,1049178.12,,402,Alinytjara Wilurara
9100258,Livestock slaughtered and other disposals - Sheep and lambs,83379973.34,,75824967.73,,403,Eyre Peninsula
9100258,Livestock slaughtered and other disposals - Sheep and lambs,27909075.57,,25378346.6,,404,Kangaroo Island
9100258,Livestock slaughtered and other disposals - Sheep and lambs,123342505.8,,112164640.4,,405,Northern and Yorke
9100258,Livestock slaughtered and other disposals - Sheep and lambs,44305539.18,,40292145.98,,406,South Australian Arid Lands
9100258,Livestock slaughtered and other disposals - Sheep and lambs,88813855.74,,80761084.72,,407,South Australian Murray Darling Basin
9100258,Livestock slaughtered and other disposals - Sheep and lambs,183196127.5,,166587617.7,,408,South East
9100258,Livestock slaughtered and other disposals - Sheep and lambs,65436707.8,,59739877.68,,501,Northern Agricultural
9100258,Livestock slaughtered and other disposals - Sheep and lambs,,,,,502,Peel-Harvey
9100258,Livestock slaughtered and other disposals - Sheep and lambs,,,,,503,Perth
9100258,Livestock slaughtered and other disposals - Sheep and lambs,6417356,^,5861601.14,^,504,Rangelands
9100258,Livestock slaughtered and other disposals - Sheep and lambs,146725597.1,,133980453.6,,505,South Coast
9100258,Livestock slaughtered and other disposals - Sheep and lambs,160203929.6,,146264888.8,,506,South West
9100258,Livestock slaughtered and other disposals - Sheep and lambs,1248144.75,^,1122935.08,^,601,Cradle Coast
9100258,Livestock slaughtered and other disposals - Sheep and lambs,26410025.46,,23760660.74,,602,North
9100258,Livestock slaughtered and other disposals - Sheep and lambs,23728031.09,,21347715.01,,603,South
9100258,Livestock slaughtered and other disposals - Sheep and lambs,940814.86,*,865856.53,*,801,ACT
