Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9015959,Livestock slaughtered and other disposals - Total,335745542.5,,311310153.4,,101,Central Tablelands
9015959,Livestock slaughtered and other disposals - Total,476947368.9,,441131399.6,,102,Central West
9015959,Livestock slaughtered and other disposals - Total,277367107.6,,272268259,,103,Greater Sydney
9015959,Livestock slaughtered and other disposals - Total,275506556.6,,260408219,,104,Hunter
9015959,Livestock slaughtered and other disposals - Total,449201382.5,,419705130.4,,105,Murray
9015959,Livestock slaughtered and other disposals - Total,287313292,,268987520.4,,106,North Coast
9015959,Livestock slaughtered and other disposals - Total,490133197.4,,460097413.7,,108,North West NSW
9015959,Livestock slaughtered and other disposals - Total,422465477.7,,391355552.3,,109,Northern Tablelands
9015959,Livestock slaughtered and other disposals - Total,825373940.1,,781187032.8,,110,Riverina
9015959,Livestock slaughtered and other disposals - Total,345698149.3,,320385247.1,,111,South East NSW
9015959,Livestock slaughtered and other disposals - Total,180372678,,166567827.2,,112,Western
9015959,Livestock slaughtered and other disposals - Total,597501497.1,,554112168.4,,201,Corangamite
9015959,Livestock slaughtered and other disposals - Total,85025424.38,^,77504472.37,^,202,East Gippsland
9015959,Livestock slaughtered and other disposals - Total,1124481904,,1025122445,,203,Glenelg Hopkins
9015959,Livestock slaughtered and other disposals - Total,620127177.6,,570152995.3,,204,Goulburn Broken
9015959,Livestock slaughtered and other disposals - Total,75567405.53,,68834941.98,,205,Mallee
9015959,Livestock slaughtered and other disposals - Total,687823932.8,,637192884.5,,206,North Central
9015959,Livestock slaughtered and other disposals - Total,248054410.6,,226414811.9,,207,North East
9015959,Livestock slaughtered and other disposals - Total,442719833.8,,424713499.4,,208,Port Phillip and Western Port
9015959,Livestock slaughtered and other disposals - Total,464864186.9,,426245820.1,,209,West Gippsland
9015959,Livestock slaughtered and other disposals - Total,332687085,,304709717.8,,210,Wimmera
9015959,Livestock slaughtered and other disposals - Total,501618020.5,,460960853.1,,301,Burnett Mary
9015959,Livestock slaughtered and other disposals - Total,28406488.12,,25926589.74,,302,Cape York
9015959,Livestock slaughtered and other disposals - Total,521569745.9,,493814492,,303,Condamine
9015959,Livestock slaughtered and other disposals - Total,24947706.85,,22765667.52,,304,Cooperative Management Area
9015959,Livestock slaughtered and other disposals - Total,577694272.2,,527222228.7,,305,Desert Channels
9015959,Livestock slaughtered and other disposals - Total,1473757429,,1345700109,,306,Fitzroy Basin
9015959,Livestock slaughtered and other disposals - Total,670938383.9,,612810693.5,,307,North Queensland Dry Tropics
9015959,Livestock slaughtered and other disposals - Total,431636656.9,,394867580.6,,308,Northern Gulf
9015959,Livestock slaughtered and other disposals - Total,642815517.7,,589904519.5,,309,Queensland Murray Darling Basin
9015959,Livestock slaughtered and other disposals - Total,60729343.94,,55430327.83,,310,Reef Catchments
9015959,Livestock slaughtered and other disposals - Total,507989834,,488811728.8,,311,South East Queensland
9015959,Livestock slaughtered and other disposals - Total,236662533.4,,215940417.7,,312,South West Queensland
9015959,Livestock slaughtered and other disposals - Total,574337181.6,,524179652.6,,313,Southern Gulf
9015959,Livestock slaughtered and other disposals - Total,80225612.95,,74224246.45,,314,Terrain NRM
9015959,Livestock slaughtered and other disposals - Total,258812485.3,,245887854.2,,401,Adelaide and Mount Lofty Ranges
9015959,Livestock slaughtered and other disposals - Total,1153823.07,,1049178.12,,402,Alinytjara Wilurara
9015959,Livestock slaughtered and other disposals - Total,94792984.19,,86313011.84,,403,Eyre Peninsula
9015959,Livestock slaughtered and other disposals - Total,41225425.31,,37727048.75,,404,Kangaroo Island
9015959,Livestock slaughtered and other disposals - Total,385486625.3,,364157862.2,,405,Northern and Yorke
9015959,Livestock slaughtered and other disposals - Total,128690427.6,,117649924.6,,406,South Australian Arid Lands
9015959,Livestock slaughtered and other disposals - Total,485225297.6,,458773136.1,,407,South Australian Murray Darling Basin
9015959,Livestock slaughtered and other disposals - Total,503359053.2,,459563553.8,,408,South East
9015959,Livestock slaughtered and other disposals - Total,211250021,,195689976.1,,501,Northern Agricultural
9015959,Livestock slaughtered and other disposals - Total,166542452.3,,156043550.9,,502,Peel-Harvey
9015959,Livestock slaughtered and other disposals - Total,69182449.95,,68007979.12,,503,Perth
9015959,Livestock slaughtered and other disposals - Total,462293981.4,,418856240,,504,Rangelands
9015959,Livestock slaughtered and other disposals - Total,342824182.2,,313203176,,505,South Coast
9015959,Livestock slaughtered and other disposals - Total,290423536.8,,264711745.9,,506,South West
9015959,Livestock slaughtered and other disposals - Total,183245638.1,,169754617.5,,601,Cradle Coast
9015959,Livestock slaughtered and other disposals - Total,199036732.9,,182816987.4,,602,North
9015959,Livestock slaughtered and other disposals - Total,58054138.9,,53855083.07,,603,South
9015959,Livestock slaughtered and other disposals - Total,520641865.1,,469691491.9,,701,Northern Territory
9015959,Livestock slaughtered and other disposals - Total,4514310.42,^,4245816.16,^,801,ACT
