Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",171604.93,*,154444.43,*,101,Central Tablelands
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",258615.99,,232754.39,,102,Central West
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",20457134.96,^,18411421.46,^,103,Greater Sydney
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",3389584.75,,3050626.28,,104,Hunter
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",3832153.23,^,3448937.91,^,106,North Coast
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",105129.51,**,94616.55,**,109,Northern Tablelands
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",32326998.48,,29094298.63,,110,Riverina
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",2795594.32,*,2516034.89,*,111,South East NSW
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",23170913.14,^,20853821.83,^,201,Corangamite
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",1526230.62,^,1373607.56,^,202,East Gippsland
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",121260.2,**,109134.18,**,203,Glenelg Hopkins
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",4024288.59,^,3621859.73,^,204,Goulburn Broken
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",221526.43,**,199373.79,**,205,Mallee
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",88989.59,*,80090.63,*,206,North Central
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",66357149.48,^,59721434.53,^,208,Port Phillip and Western Port
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",7033609.68,**,6330248.72,**,209,West Gippsland
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",48891045.16,^,44001940.64,^,210,Wimmera
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",11451940.61,*,10306746.55,*,301,Burnett Mary
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",,,,,303,Condamine
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",129971.59,,116974.43,,307,North Queensland Dry Tropics
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",51215.97,*,46094.37,*,309,Queensland Murray Darling Basin
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",40368.1,*,36331.29,*,310,Reef Catchments
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",10626425.97,^,9563783.37,^,311,South East Queensland
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",,,,,314,Terrain NRM
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",2416225,**,2174602.5,**,401,Adelaide and Mount Lofty Ranges
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",914015.02,^,822613.52,^,407,South Australian Murray Darling Basin
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",1625547.18,^,1462992.47,^,408,South East
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",3160781.58,,2844703.43,,501,Northern Agricultural
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",1187551.47,**,1068796.32,**,503,Perth
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",2326493.85,*,2093844.47,*,505,South Coast
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",3037140.7,*,2733426.63,*,506,South West
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",1797686.75,*,1617918.08,*,601,Cradle Coast
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",747305.17,^,672574.65,^,602,North
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",756975.83,*,681278.25,*,603,South
1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",68377.32,*,61539.59,*,701,Northern Territory
