Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9019959,Total agriculture,678333555.2,,629031847,,101,Central Tablelands
9019959,Total agriculture,1587951667,,1487052201,,102,Central West
9019959,Total agriculture,805065359.4,,742206760,,103,Greater Sydney
9019959,Total agriculture,531197519.4,,502902105.7,,104,Hunter
9019959,Total agriculture,1613242236,,1505588965,,105,Murray
9019959,Total agriculture,894489962.3,,838676265.5,,106,North Coast
9019959,Total agriculture,2133323235,,2029608243,,108,North West NSW
9019959,Total agriculture,655506710.9,,606909766,,109,Northern Tablelands
9019959,Total agriculture,2979138179,,2788552262,,110,Riverina
9019959,Total agriculture,733141423.8,,693309483.6,,111,South East NSW
9019959,Total agriculture,652311317.8,,613815542.7,,112,Western
9019959,Total agriculture,1472472411,,1398495383,,201,Corangamite
9019959,Total agriculture,244407162.2,,217700792.9,,202,East Gippsland
9019959,Total agriculture,2245166245,,2123421242,,203,Glenelg Hopkins
9019959,Total agriculture,2366939391,,2206274531,,204,Goulburn Broken
9019959,Total agriculture,1803457300,,1685547416,,205,Mallee
9019959,Total agriculture,2065491727,,1937690189,,206,North Central
9019959,Total agriculture,420720197.8,,393297797.6,,207,North East
9019959,Total agriculture,1735756755,,1585023629,,208,Port Phillip and Western Port
9019959,Total agriculture,1278997925,,1215683378,,209,West Gippsland
9019959,Total agriculture,1274254816,,1178922871,,210,Wimmera
9019959,Total agriculture,1551462479,,1406822018,,301,Burnett Mary
9019959,Total agriculture,30211328.05,,27471292.57,,302,Cape York
9019959,Total agriculture,1455984664,,1376543569,,303,Condamine
9019959,Total agriculture,40599820.8,,36417815.17,,304,Cooperative Management Area
9019959,Total agriculture,614168479.6,,562353530.8,,305,Desert Channels
9019959,Total agriculture,2094511935,,1933076007,,306,Fitzroy Basin
9019959,Total agriculture,1325105739,,1203456064,,307,North Queensland Dry Tropics
9019959,Total agriculture,597941668.4,,540543806.8,,308,Northern Gulf
9019959,Total agriculture,1564178236,,1449414649,,309,Queensland Murray Darling Basin
9019959,Total agriculture,433693034.6,,409781376.5,,310,Reef Catchments
9019959,Total agriculture,1576130883,,1399786304,,311,South East Queensland
9019959,Total agriculture,261928161.2,,240241670.4,,312,South West Queensland
9019959,Total agriculture,580421520.5,,530164670.3,,313,Southern Gulf
9019959,Total agriculture,1149772088,,1053634438,,314,Terrain NRM
9019959,Total agriculture,888068710.6,,819842025.6,,401,Adelaide and Mount Lofty Ranges
9019959,Total agriculture,2376307.13,,2229535.53,,402,Alinytjara Wilurara
9019959,Total agriculture,590423851.2,,551210797.4,,403,Eyre Peninsula
9019959,Total agriculture,87838737.02,,82445306.25,,404,Kangaroo Island
9019959,Total agriculture,1527759063,,1440820393,,405,Northern and Yorke
9019959,Total agriculture,183638896.2,,170263892.4,,406,South Australian Arid Lands
9019959,Total agriculture,2169678304,,2007053670,,407,South Australian Murray Darling Basin
9019959,Total agriculture,1140338342,,1068273442,,408,South East
9019959,Total agriculture,1397943257,,1294903560,,501,Northern Agricultural
9019959,Total agriculture,480771136.2,,445806108.6,,502,Peel-Harvey
9019959,Total agriculture,241141740.2,,219874139.7,,503,Perth
9019959,Total agriculture,563811732.8,,506868462.9,,504,Rangelands
9019959,Total agriculture,1899641273,,1784259312,,505,South Coast
9019959,Total agriculture,1567020891,,1462624305,,506,South West
9019959,Total agriculture,627703002.1,,597662925.5,,601,Cradle Coast
9019959,Total agriculture,667608176.6,,632515686,,602,North
9019959,Total agriculture,308890754,,287270937.8,,603,South
9019959,Total agriculture,650551993.6,,582215378.2,,701,Northern Territory
9019959,Total agriculture,10628015.72,^,9828024.84,^,801,ACT
