Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3601858,Vegetables for human consumption - Brussels sprouts,23548.21,,21193.39,,108,North West NSW
3601858,Vegetables for human consumption - Brussels sprouts,19514.23,,17765.36,,204,Goulburn Broken
3601858,Vegetables for human consumption - Brussels sprouts,1949.2,**,1774.51,**,205,Mallee
3601858,Vegetables for human consumption - Brussels sprouts,4244386.45,^,3864003.26,^,208,Port Phillip and Western Port
3601858,Vegetables for human consumption - Brussels sprouts,1944.89,*,1770.59,*,209,West Gippsland
3601858,Vegetables for human consumption - Brussels sprouts,812387.74,**,734189.25,**,301,Burnett Mary
3601858,Vegetables for human consumption - Brussels sprouts,1393622.9,*,1259476.12,*,309,Queensland Murray Darling Basin
3601858,Vegetables for human consumption - Brussels sprouts,24507247.29,*,22083313.93,*,407,South Australian Murray Darling Basin
3601858,Vegetables for human consumption - Brussels sprouts,440.02,*,430.05,*,502,Peel-Harvey
3601858,Vegetables for human consumption - Brussels sprouts,83645.1,,81749.48,,503,Perth
3601858,Vegetables for human consumption - Brussels sprouts,250.88,*,245.19,*,505,South Coast
3601858,Vegetables for human consumption - Brussels sprouts,1740711.25,**,1681005.23,**,601,Cradle Coast
