Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3601958,Vegetables for human consumption - Cabbages,4328201.39,,2946799.56,,101,Central Tablelands
3601958,Vegetables for human consumption - Cabbages,21669.03,**,14753.08,**,102,Central West
3601958,Vegetables for human consumption - Cabbages,11112533.98,*,7565824.06,*,103,Greater Sydney
3601958,Vegetables for human consumption - Cabbages,64798.46,**,44117.19,**,105,Murray
3601958,Vegetables for human consumption - Cabbages,127224.3,**,86619.01,**,106,North Coast
3601958,Vegetables for human consumption - Cabbages,7050.55,,4800.27,,108,North West NSW
3601958,Vegetables for human consumption - Cabbages,340978.63,**,232150.86,**,109,Northern Tablelands
3601958,Vegetables for human consumption - Cabbages,12974.46,*,8833.49,*,111,South East NSW
3601958,Vegetables for human consumption - Cabbages,23691.33,**,16129.93,**,112,Western
3601958,Vegetables for human consumption - Cabbages,3790966.23,,2863595.35,,202,East Gippsland
3601958,Vegetables for human consumption - Cabbages,295727.35,,223384.6,,204,Goulburn Broken
3601958,Vegetables for human consumption - Cabbages,463017.51,**,349751.15,**,206,North Central
3601958,Vegetables for human consumption - Cabbages,9816495.35,*,7415120.25,*,208,Port Phillip and Western Port
3601958,Vegetables for human consumption - Cabbages,11797369.44,^,8911420,^,209,West Gippsland
3601958,Vegetables for human consumption - Cabbages,,,,,301,Burnett Mary
3601958,Vegetables for human consumption - Cabbages,,,,,303,Condamine
3601958,Vegetables for human consumption - Cabbages,818455.23,,582587.75,,309,Queensland Murray Darling Basin
3601958,Vegetables for human consumption - Cabbages,,,,,311,South East Queensland
3601958,Vegetables for human consumption - Cabbages,,,,,314,Terrain NRM
3601958,Vegetables for human consumption - Cabbages,171520.04,,153341.15,,401,Adelaide and Mount Lofty Ranges
3601958,Vegetables for human consumption - Cabbages,96212.05,,86014.83,,407,South Australian Murray Darling Basin
3601958,Vegetables for human consumption - Cabbages,3753842.9,,2687654.95,,501,Northern Agricultural
3601958,Vegetables for human consumption - Cabbages,16414.12,^,11752.09,^,502,Peel-Harvey
3601958,Vegetables for human consumption - Cabbages,,,,,503,Perth
3601958,Vegetables for human consumption - Cabbages,,,,,504,Rangelands
3601958,Vegetables for human consumption - Cabbages,3008.41,^,2153.95,^,505,South Coast
3601958,Vegetables for human consumption - Cabbages,1401509.2,*,1003444.54,*,506,South West
3601958,Vegetables for human consumption - Cabbages,250287.12,,180170.19,,601,Cradle Coast
