Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3613658,Vegetables for human consumption - Capsicum (excluding chillies),4508.61,**,3775.69,**,101,Central Tablelands
3613658,Vegetables for human consumption - Capsicum (excluding chillies),464723.89,*,389177.58,*,103,Greater Sydney
3613658,Vegetables for human consumption - Capsicum (excluding chillies),415012.62,*,347547.46,*,106,North Coast
3613658,Vegetables for human consumption - Capsicum (excluding chillies),156653.38,**,131187.54,**,111,South East NSW
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1239540.67,*,1038038.82,*,112,Western
3613658,Vegetables for human consumption - Capsicum (excluding chillies),2802476.32,**,2440247.97,**,205,Mallee
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1211115.97,**,1054575.65,**,208,Port Phillip and Western Port
3613658,Vegetables for human consumption - Capsicum (excluding chillies),14978678.35,,13042639.89,,209,West Gippsland
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,301,Burnett Mary
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,307,North Queensland Dry Tropics
3613658,Vegetables for human consumption - Capsicum (excluding chillies),12103607.61,^,9920657.46,^,309,Queensland Murray Darling Basin
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,310,Reef Catchments
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,311,South East Queensland
3613658,Vegetables for human consumption - Capsicum (excluding chillies),24413881.66,^,20944777.93,^,401,Adelaide and Mount Lofty Ranges
3613658,Vegetables for human consumption - Capsicum (excluding chillies),773.17,,663.31,,405,Northern and Yorke
3613658,Vegetables for human consumption - Capsicum (excluding chillies),65739.44,*,56398.16,*,407,South Australian Murray Darling Basin
3613658,Vegetables for human consumption - Capsicum (excluding chillies),119455.13,,100845.26,,501,Northern Agricultural
3613658,Vegetables for human consumption - Capsicum (excluding chillies),1213113.85,^,1024123.27,^,502,Peel-Harvey
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,503,Perth
3613658,Vegetables for human consumption - Capsicum (excluding chillies),6825906.73,*,5762501.16,*,504,Rangelands
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,505,South Coast
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,506,South West
3613658,Vegetables for human consumption - Capsicum (excluding chillies),3147963.89,,2710644.72,,601,Cradle Coast
3613658,Vegetables for human consumption - Capsicum (excluding chillies),2841.61,*,2446.85,*,602,North
3613658,Vegetables for human consumption - Capsicum (excluding chillies),,,,,701,Northern Territory
