Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3602458,Vegetables for human consumption - Carrots,180663.06,*,140493.68,*,103,Greater Sydney
3602458,Vegetables for human consumption - Carrots,883383.05,**,686967.97,**,105,Murray
3602458,Vegetables for human consumption - Carrots,33873.07,**,26341.59,**,106,North Coast
3602458,Vegetables for human consumption - Carrots,1037025.11,,750312.39,,202,East Gippsland
3602458,Vegetables for human consumption - Carrots,1174.28,**,849.62,**,204,Goulburn Broken
3602458,Vegetables for human consumption - Carrots,204783.84,**,148165.99,**,205,Mallee
3602458,Vegetables for human consumption - Carrots,1340463.05,**,969856.97,**,206,North Central
3602458,Vegetables for human consumption - Carrots,4388633.72,^,3175281.11,^,208,Port Phillip and Western Port
3602458,Vegetables for human consumption - Carrots,17146886,,12406180.75,,209,West Gippsland
3602458,Vegetables for human consumption - Carrots,9988828.56,,7227155.57,,210,Wimmera
3602458,Vegetables for human consumption - Carrots,3595308.9,**,2548513.47,**,301,Burnett Mary
3602458,Vegetables for human consumption - Carrots,40729703.08,,28871009.37,,311,South East Queensland
3602458,Vegetables for human consumption - Carrots,12108539.9,,9082318.37,,401,Adelaide and Mount Lofty Ranges
3602458,Vegetables for human consumption - Carrots,71856480.28,,53897780.93,,407,South Australian Murray Darling Basin
3602458,Vegetables for human consumption - Carrots,18711879.38,,12563622.15,,501,Northern Agricultural
3602458,Vegetables for human consumption - Carrots,22380822.92,,15027042.28,,502,Peel-Harvey
3602458,Vegetables for human consumption - Carrots,946912.14,^,635780.41,^,503,Perth
3602458,Vegetables for human consumption - Carrots,9600.53,*,6446.03,*,505,South Coast
3602458,Vegetables for human consumption - Carrots,6878340.85,,4618289.46,,506,South West
3602458,Vegetables for human consumption - Carrots,18906716.35,^,13928071.25,^,601,Cradle Coast
3602458,Vegetables for human consumption - Carrots,10486374.94,^,7725031.39,^,602,North
3602458,Vegetables for human consumption - Carrots,9814.51,**,7230.09,**,603,South
