Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3614058,Vegetables for human consumption - Melons,2800166.03,,2599515.25,,101,Central Tablelands
3614058,Vegetables for human consumption - Melons,9267815.29,,8603713.81,,102,Central West
3614058,Vegetables for human consumption - Melons,683936.46,**,634927.8,**,103,Greater Sydney
3614058,Vegetables for human consumption - Melons,53764.65,*,49912.05,*,104,Hunter
3614058,Vegetables for human consumption - Melons,71935.02,**,66780.39,**,105,Murray
3614058,Vegetables for human consumption - Melons,5378.74,**,4993.32,**,106,North Coast
3614058,Vegetables for human consumption - Melons,46383.4,*,43059.71,*,108,North West NSW
3614058,Vegetables for human consumption - Melons,19042441.6,^,17677922.22,^,110,Riverina
3614058,Vegetables for human consumption - Melons,14623516,^,13575642.45,^,112,Western
3614058,Vegetables for human consumption - Melons,51106.46,**,43314.51,**,204,Goulburn Broken
3614058,Vegetables for human consumption - Melons,4464835.2,**,3784104.38,**,205,Mallee
3614058,Vegetables for human consumption - Melons,6129828.41,,5200489.9,,301,Burnett Mary
3614058,Vegetables for human consumption - Melons,244470.43,*,207406.46,*,302,Cape York
3614058,Vegetables for human consumption - Melons,,,,,303,Condamine
3614058,Vegetables for human consumption - Melons,6178725.69,*,5241973.9,*,304,Cooperative Management Area
3614058,Vegetables for human consumption - Melons,2345173.24,,1989623.35,,306,Fitzroy Basin
3614058,Vegetables for human consumption - Melons,,,,,307,North Queensland Dry Tropics
3614058,Vegetables for human consumption - Melons,,,,,308,Northern Gulf
3614058,Vegetables for human consumption - Melons,866394.47,*,735041.08,*,309,Queensland Murray Darling Basin
3614058,Vegetables for human consumption - Melons,,,,,310,Reef Catchments
3614058,Vegetables for human consumption - Melons,5434777.38,*,4610815.01,*,311,South East Queensland
3614058,Vegetables for human consumption - Melons,,,,,314,Terrain NRM
3614058,Vegetables for human consumption - Melons,614.58,,518.81,,405,Northern and Yorke
3614058,Vegetables for human consumption - Melons,672422.55,,567636.29,,407,South Australian Murray Darling Basin
3614058,Vegetables for human consumption - Melons,24513.38,,21115.14,,501,Northern Agricultural
3614058,Vegetables for human consumption - Melons,4673900.12,,4025965.63,,502,Peel-Harvey
3614058,Vegetables for human consumption - Melons,29015.09,**,24992.78,**,503,Perth
3614058,Vegetables for human consumption - Melons,19813594.21,^,17066870.76,^,504,Rangelands
3614058,Vegetables for human consumption - Melons,14902.8,*,12836.85,*,505,South Coast
3614058,Vegetables for human consumption - Melons,1435800.77,**,1236758.25,**,506,South West
3614058,Vegetables for human consumption - Melons,25376947.42,,21493053.13,,701,Northern Territory
