Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3605858,Vegetables for human consumption - Mushrooms,76293314.1,,64939150.53,,103,Greater Sydney
3605858,Vegetables for human consumption - Mushrooms,4818054.54,**,4101019.5,**,104,Hunter
3605858,Vegetables for human consumption - Mushrooms,684990.3,**,583048.31,**,106,North Coast
3605858,Vegetables for human consumption - Mushrooms,9388812.53,**,7991545.75,**,111,South East NSW
3605858,Vegetables for human consumption - Mushrooms,1742764.73,**,1498063.22,**,201,Corangamite
3605858,Vegetables for human consumption - Mushrooms,5011896.11,*,4308176.02,*,204,Goulburn Broken
3605858,Vegetables for human consumption - Mushrooms,12105694.56,**,10405934.56,**,205,Mallee
3605858,Vegetables for human consumption - Mushrooms,949046.66,*,815791.07,*,207,North East
3605858,Vegetables for human consumption - Mushrooms,136640573.7,,117454877.2,,208,Port Phillip and Western Port
3605858,Vegetables for human consumption - Mushrooms,2481134.72,*,2121046.93,*,301,Burnett Mary
3605858,Vegetables for human consumption - Mushrooms,8814434.5,,7535193.13,,309,Queensland Murray Darling Basin
3605858,Vegetables for human consumption - Mushrooms,65832589.82,,56278287.43,,311,South East Queensland
3605858,Vegetables for human consumption - Mushrooms,,,,,314,Terrain NRM
3605858,Vegetables for human consumption - Mushrooms,10996141.69,,9517706.57,,401,Adelaide and Mount Lofty Ranges
3605858,Vegetables for human consumption - Mushrooms,,,,,503,Perth
3605858,Vegetables for human consumption - Mushrooms,,,,,601,Cradle Coast
