Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3611558,Vegetables for human consumption - Onions,254909.23,,224201.63,,101,Central Tablelands
3611558,Vegetables for human consumption - Onions,,,,,103,Greater Sydney
3611558,Vegetables for human consumption - Onions,2870231.48,**,2524469.49,**,105,Murray
3611558,Vegetables for human consumption - Onions,,,,,106,North Coast
3611558,Vegetables for human consumption - Onions,,,,,110,Riverina
3611558,Vegetables for human consumption - Onions,402205.91,,356643.9,,202,East Gippsland
3611558,Vegetables for human consumption - Onions,502757.38,,445804.88,,204,Goulburn Broken
3611558,Vegetables for human consumption - Onions,6244.85,**,5537.43,**,205,Mallee
3611558,Vegetables for human consumption - Onions,465999.78,**,413211.19,**,206,North Central
3611558,Vegetables for human consumption - Onions,20152.78,**,17869.87,**,207,North East
3611558,Vegetables for human consumption - Onions,2126931.54,*,1885992.1,*,208,Port Phillip and Western Port
3611558,Vegetables for human consumption - Onions,5866329.46,*,5201789.91,*,209,West Gippsland
3611558,Vegetables for human consumption - Onions,65178.44,*,57136.1,*,301,Burnett Mary
3611558,Vegetables for human consumption - Onions,1083041.25,,949405.32,,303,Condamine
3611558,Vegetables for human consumption - Onions,10830.41,,9494.05,,308,Northern Gulf
3611558,Vegetables for human consumption - Onions,4674258.75,,4097504.23,,309,Queensland Murray Darling Basin
3611558,Vegetables for human consumption - Onions,24657563.93,^,21615079.08,^,311,South East Queensland
3611558,Vegetables for human consumption - Onions,1560013.89,*,1365619.28,*,401,Adelaide and Mount Lofty Ranges
3611558,Vegetables for human consumption - Onions,779.55,,682.41,,405,Northern and Yorke
3611558,Vegetables for human consumption - Onions,73581327.02,,64412297.45,,407,South Australian Murray Darling Basin
3611558,Vegetables for human consumption - Onions,35932365.72,,31454804.13,,408,South East
3611558,Vegetables for human consumption - Onions,90726.57,^,79157.11,^,501,Northern Agricultural
3611558,Vegetables for human consumption - Onions,21902290.2,,19109310.11,,502,Peel-Harvey
3611558,Vegetables for human consumption - Onions,1285896.44,*,1121918.93,*,503,Perth
3611558,Vegetables for human consumption - Onions,1009440.29,*,880716.47,*,504,Rangelands
3611558,Vegetables for human consumption - Onions,4739.47,^,4135.09,^,505,South Coast
3611558,Vegetables for human consumption - Onions,5525705.2,,4821067.26,,506,South West
3611558,Vegetables for human consumption - Onions,19515996.18,,16919129.14,,601,Cradle Coast
3611558,Vegetables for human consumption - Onions,14236268.97,^,12341940.99,^,602,North
