Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1308013.61,,1189749.42,,101,Central Tablelands
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,6631585.25,^,6031989.76,^,103,Greater Sydney
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,357540.58,*,325213.51,*,104,Hunter
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,25954245.34,*,23607589.48,*,105,Murray
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,277610.37,**,252510.2,**,106,North Coast
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,589095.59,**,535832.45,**,109,Northern Tablelands
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,21074487.29,^,19169035.27,^,110,Riverina
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,4896428.41,*,4453717.32,*,111,South East NSW
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,6791881.75,,6177793.03,,112,Western
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,17478045.46,^,16129002.2,^,201,Corangamite
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,4525095.97,*,4175826.35,*,203,Glenelg Hopkins
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,125092.41,**,115437.15,**,204,Goulburn Broken
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,11626002.51,,10728649.29,,205,Mallee
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,40160016.82,^,37060265.19,^,206,North Central
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,10939797.11,*,10095408.67,*,208,Port Phillip and Western Port
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,23548631.63,^,21731030.07,^,209,West Gippsland
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,7061181.71,,6343068.11,,301,Burnett Mary
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,21674.36,*,19470.1,*,305,Desert Channels
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,5040502.87,,4527889.85,,307,North Queensland Dry Tropics
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,12658230.93,,11370904.24,,311,South East Queensland
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,10805055.74,*,9706194.71,*,314,Terrain NRM
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,16223409.15,*,14561008.47,*,401,Adelaide and Mount Lofty Ranges
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,611511.91,,548850.74,,404,Kangaroo Island
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1400771.85,,1257235.8,,405,Northern and Yorke
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,152665819.7,,137022266.5,,407,South Australian Murray Darling Basin
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,54037375.43,,48500205.71,,408,South East
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,6927863.21,,6228199.94,,501,Northern Agricultural
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,8771215.93,,7885387.59,,502,Peel-Harvey
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,974518.95,^,876099.7,^,503,Perth
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,298590.47,*,268435.03,*,505,South Coast
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,30043744.16,^,27009546.8,^,506,South West
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,51892111,,50853925.63,,601,Cradle Coast
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,67202709.32,,65858210.74,,602,North
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,3673994.32,*,3600490.14,*,603,South
