Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3607158,Vegetables for human consumption - Pumpkins,857012.32,,572979.36,,101,Central Tablelands
3607158,Vegetables for human consumption - Pumpkins,1871151.35,*,1251010.15,*,103,Greater Sydney
3607158,Vegetables for human consumption - Pumpkins,218962.71,*,146393.59,*,104,Hunter
3607158,Vegetables for human consumption - Pumpkins,711621.28,**,475774.15,**,105,Murray
3607158,Vegetables for human consumption - Pumpkins,,,,,106,North Coast
3607158,Vegetables for human consumption - Pumpkins,40043.68,*,26772.31,*,108,North West NSW
3607158,Vegetables for human consumption - Pumpkins,,,,,110,Riverina
3607158,Vegetables for human consumption - Pumpkins,,,,,111,South East NSW
3607158,Vegetables for human consumption - Pumpkins,1109740.49,*,741947.79,*,112,Western
3607158,Vegetables for human consumption - Pumpkins,358646.17,,286914.95,,202,East Gippsland
3607158,Vegetables for human consumption - Pumpkins,328181.39,,262543.3,,204,Goulburn Broken
3607158,Vegetables for human consumption - Pumpkins,308261.15,^,246607.21,^,205,Mallee
3607158,Vegetables for human consumption - Pumpkins,793016.08,*,634408.47,*,206,North Central
3607158,Vegetables for human consumption - Pumpkins,194442.71,*,155553.09,*,207,North East
3607158,Vegetables for human consumption - Pumpkins,498703.13,**,398959.74,**,208,Port Phillip and Western Port
3607158,Vegetables for human consumption - Pumpkins,2574879.38,**,1724138.22,**,301,Burnett Mary
3607158,Vegetables for human consumption - Pumpkins,156694.71,*,104922.71,*,302,Cape York
3607158,Vegetables for human consumption - Pumpkins,216102.65,^,144702.25,^,303,Condamine
3607158,Vegetables for human consumption - Pumpkins,61596.14,**,41244.75,**,306,Fitzroy Basin
3607158,Vegetables for human consumption - Pumpkins,10553819.59,,7066833.43,,307,North Queensland Dry Tropics
3607158,Vegetables for human consumption - Pumpkins,4883016.2,*,3269665.72,*,308,Northern Gulf
3607158,Vegetables for human consumption - Pumpkins,2402122.81,**,1608460.48,**,309,Queensland Murray Darling Basin
3607158,Vegetables for human consumption - Pumpkins,85702.94,,57386.65,,310,Reef Catchments
3607158,Vegetables for human consumption - Pumpkins,16798924.37,^,11248553.14,^,311,South East Queensland
3607158,Vegetables for human consumption - Pumpkins,2387090.73,*,1598395.01,*,314,Terrain NRM
3607158,Vegetables for human consumption - Pumpkins,602.07,,463.68,,405,Northern and Yorke
3607158,Vegetables for human consumption - Pumpkins,1423523.53,^,1096308.89,^,407,South Australian Murray Darling Basin
3607158,Vegetables for human consumption - Pumpkins,152066.14,,106414.51,,501,Northern Agricultural
3607158,Vegetables for human consumption - Pumpkins,322138.24,^,225429.43,^,502,Peel-Harvey
3607158,Vegetables for human consumption - Pumpkins,11041620.47,^,7726826.28,^,504,Rangelands
3607158,Vegetables for human consumption - Pumpkins,113653.13,**,79533.43,**,505,South Coast
3607158,Vegetables for human consumption - Pumpkins,739053.19,**,517182.75,**,506,South West
3607158,Vegetables for human consumption - Pumpkins,249298.51,**,165367.16,**,601,Cradle Coast
3607158,Vegetables for human consumption - Pumpkins,100043.7,,66361.98,,602,North
3607158,Vegetables for human consumption - Pumpkins,1179689.09,,791419.79,,701,Northern Territory
