Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1501758,Broadacre crops - Cereal crops - Barley for grain,1995264.14,*,1779769.76,*,101,Capital Region
1501758,Broadacre crops - Cereal crops - Barley for grain,66525756.85,^,59340779.85,^,103,Central West
1501758,Broadacre crops - Cereal crops - Barley for grain,15683171.97,^,13989343.37,^,105,Far West and Orana
1501758,Broadacre crops - Cereal crops - Barley for grain,1721569.09,**,1535634.58,**,106,Hunter Valley exc Newcastle
1501758,Broadacre crops - Cereal crops - Barley for grain,79267512.06,,70706388.1,,109,Murray
1501758,Broadacre crops - Cereal crops - Barley for grain,92772515.77,,82752811.77,,110,New England and North West
1501758,Broadacre crops - Cereal crops - Barley for grain,82216462.91,,73336843.6,,113,Riverina
1501758,Broadacre crops - Cereal crops - Barley for grain,8465012.17,^,7544059.75,^,201,Ballarat
1501758,Broadacre crops - Cereal crops - Barley for grain,39466525.98,^,35172758.65,^,202,Bendigo
1501758,Broadacre crops - Cereal crops - Barley for grain,15989991.41,*,14250357.61,*,203,Geelong
1501758,Broadacre crops - Cereal crops - Barley for grain,890480.46,^,793600.49,^,204,Hume
1501758,Broadacre crops - Cereal crops - Barley for grain,1078916.74,,961535.81,,205,Latrobe - Gippsland
1501758,Broadacre crops - Cereal crops - Barley for grain,55135.78,*,49137.27,*,210,Melbourne - North West
1501758,Broadacre crops - Cereal crops - Barley for grain,164335.49,^,146456.59,^,213,Melbourne - West
1501758,Broadacre crops - Cereal crops - Barley for grain,404590923.1,,360573385.6,,215,North West
1501758,Broadacre crops - Cereal crops - Barley for grain,16188880.33,*,14427608.37,*,216,Shepparton
1501758,Broadacre crops - Cereal crops - Barley for grain,9023363.02,^,8041664.73,^,217,Warrnambool and South West
1501758,Broadacre crops - Cereal crops - Barley for grain,19630.94,,17561.84,,301,Brisbane - East
1501758,Broadacre crops - Cereal crops - Barley for grain,220662.7,**,197404.87,**,306,Cairns
1501758,Broadacre crops - Cereal crops - Barley for grain,46810759.36,^,41876908.8,^,307,Darling Downs - Maranoa
1501758,Broadacre crops - Cereal crops - Barley for grain,5761623.61,*,5154348.91,*,308,Central Queensland
1501758,Broadacre crops - Cereal crops - Barley for grain,260107.96,*,232692.6,*,310,Ipswich
1501758,Broadacre crops - Cereal crops - Barley for grain,547151.68,**,489481.93,**,312,Mackay - Isaac - Whitsunday
1501758,Broadacre crops - Cereal crops - Barley for grain,235705.91,*,210862.53,*,315,Queensland - Outback
1501758,Broadacre crops - Cereal crops - Barley for grain,1610358.47,*,1440626.8,*,317,Toowoomba
1501758,Broadacre crops - Cereal crops - Barley for grain,2353189.61,*,2105163.6,*,319,Wide Bay
1501758,Broadacre crops - Cereal crops - Barley for grain,438242.36,,404143.84,,401,Adelaide - Central and Hills
1501758,Broadacre crops - Cereal crops - Barley for grain,1860916.86,**,1716123.69,**,402,Adelaide - North
1501758,Broadacre crops - Cereal crops - Barley for grain,232686893.5,,214582123,,405,Barossa - Yorke - Mid North
1501758,Broadacre crops - Cereal crops - Barley for grain,64005509.2,^,59025404.67,^,406,South Australia - Outback
1501758,Broadacre crops - Cereal crops - Barley for grain,108745808.2,,100284575.7,,407,South Australia - South East
1501758,Broadacre crops - Cereal crops - Barley for grain,8859418.94,**,8161764.77,**,501,Bunbury
1501758,Broadacre crops - Cereal crops - Barley for grain,1338265.21,,1232880.61,,506,Perth - South East
1501758,Broadacre crops - Cereal crops - Barley for grain,773334697.1,,712436778.3,,509,Western Australia - Wheat Belt
1501758,Broadacre crops - Cereal crops - Barley for grain,190880399.6,^,175849108.3,^,511,Western Australia - Outback (South)
1501758,Broadacre crops - Cereal crops - Barley for grain,57426.25,*,54052.59,*,601,Hobart
1501758,Broadacre crops - Cereal crops - Barley for grain,2641071.04,,2485914.31,,602,Launceston and North East
1501758,Broadacre crops - Cereal crops - Barley for grain,1348994.62,^,1269744.35,^,603,South East
1501758,Broadacre crops - Cereal crops - Barley for grain,607629.96,^,571933.12,^,604,West and North West
1501758,Broadacre crops - Cereal crops - Barley for grain,6844.62,*,6105.38,*,801,Australian Capital Territory
