Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1504158,Broadacre crops - Cereal crops - Sorghum for grain,1916529.25,*,1744847.35,*,103,Central West
1504158,Broadacre crops - Cereal crops - Sorghum for grain,8136750.64,*,7407863.91,*,105,Far West and Orana
1504158,Broadacre crops - Cereal crops - Sorghum for grain,243318.96,,221522.55,,109,Murray
1504158,Broadacre crops - Cereal crops - Sorghum for grain,76332528.42,,69494692.34,,110,New England and North West
1504158,Broadacre crops - Cereal crops - Sorghum for grain,1088388.83,*,990891.41,*,113,Riverina
1504158,Broadacre crops - Cereal crops - Sorghum for grain,,,,,205,Latrobe - Gippsland
1504158,Broadacre crops - Cereal crops - Sorghum for grain,630485.25,**,577820.27,**,215,North West
1504158,Broadacre crops - Cereal crops - Sorghum for grain,6587.45,,6037.19,,217,Warrnambool and South West
1504158,Broadacre crops - Cereal crops - Sorghum for grain,20424.85,,18289.55,,301,Brisbane - East
1504158,Broadacre crops - Cereal crops - Sorghum for grain,210574660.9,,188560321.6,,307,Darling Downs - Maranoa
1504158,Broadacre crops - Cereal crops - Sorghum for grain,52125225.68,^,46675840.66,^,308,Central Queensland
1504158,Broadacre crops - Cereal crops - Sorghum for grain,933328.74,**,835754.73,**,310,Ipswich
1504158,Broadacre crops - Cereal crops - Sorghum for grain,262295.05,**,234873.65,**,311,Logan - Beaudesert
1504158,Broadacre crops - Cereal crops - Sorghum for grain,16352166.76,^,14642644.13,^,312,Mackay - Isaac - Whitsunday
1504158,Broadacre crops - Cereal crops - Sorghum for grain,614615.61,*,550361.17,*,313,Moreton Bay - North
1504158,Broadacre crops - Cereal crops - Sorghum for grain,3042329.13,^,2724271.56,^,315,Queensland - Outback
1504158,Broadacre crops - Cereal crops - Sorghum for grain,7007490.91,*,6274899.05,*,317,Toowoomba
1504158,Broadacre crops - Cereal crops - Sorghum for grain,26836.83,**,24031.19,**,318,Townsville
1504158,Broadacre crops - Cereal crops - Sorghum for grain,11457243.5,*,10259456.24,*,319,Wide Bay
1504158,Broadacre crops - Cereal crops - Sorghum for grain,865.39,**,814.9,**,407,South Australia - South East
1504158,Broadacre crops - Cereal crops - Sorghum for grain,22373.7,,20817.38,,509,Western Australia - Wheat Belt
1504158,Broadacre crops - Cereal crops - Sorghum for grain,346579.19,^,322471.1,^,510,Western Australia - Outback (North)
1504158,Broadacre crops - Cereal crops - Sorghum for grain,,,,,702,Northern Territory - Outback
