Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,163778.03,*,158867.52,*,101,Capital Region
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,417939.82,**,405408.84,**,103,Central West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1171344.5,**,1136224.39,**,104,Coffs Harbour - Grafton
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1768313.54,**,1715294.67,**,105,Far West and Orana
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2610432.68,**,2532164.77,**,108,Mid North Coast
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,106960.63,,103753.66,,109,Murray
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,5699262.93,^,5528383.45,^,110,New England and North West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,5255833.45,*,5098249.2,*,112,Richmond - Tweed
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,7212937.75,^,6996674.16,^,113,Riverina
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,256879.67,*,249948.19,*,201,Ballarat
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,397425.89,**,386702,**,203,Geelong
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,58390.5,**,56814.92,**,205,Latrobe - Gippsland
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1239779.3,,1206325.88,,215,North West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,341884.74,**,332659.54,**,216,Shepparton
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,236693.93,^,230307.13,^,217,Warrnambool and South West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,5427425.26,*,5215000.33,*,307,Darling Downs - Maranoa
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2154622.98,*,2070292.82,*,308,Central Queensland
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,126635.75,**,121679.33,**,309,Gold Coast
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,452898.84,**,435172.75,**,310,Ipswich
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,621538.47,**,597211.97,**,311,Logan - Beaudesert
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1313187.65,*,1261790.57,*,312,Mackay - Isaac - Whitsunday
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2018408.39,*,1939409.56,*,319,Wide Bay
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,104464.71,**,102620.31,**,405,Barossa - Yorke - Mid North
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,541298.96,**,531741.93,**,407,South Australia - South East
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,163858.84,,160748.13,,509,Western Australia - Wheat Belt
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1473279.46,,1445310.66,,510,Western Australia - Outback (North)
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,21007.54,,20608.74,,511,Western Australia - Outback (South)
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,403120.31,*,392242.77,*,602,Launceston and North East
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,92790.1,**,90286.31,**,603,South East
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2131134.61,,2073629.42,,604,West and North West
