Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1901916,Broadacre crops - Non-cereal crops - Other pulses,556162.37,**,530914.44,**,101,Capital Region
1901916,Broadacre crops - Non-cereal crops - Other pulses,16664310.65,^,15907806.36,^,103,Central West
1901916,Broadacre crops - Non-cereal crops - Other pulses,42729996.76,^,40790196.99,^,105,Far West and Orana
1901916,Broadacre crops - Non-cereal crops - Other pulses,15901588.98,^,15179709.71,^,109,Murray
1901916,Broadacre crops - Non-cereal crops - Other pulses,165578326.7,,158061621.3,,110,New England and North West
1901916,Broadacre crops - Non-cereal crops - Other pulses,4867.32,,4646.36,,112,Richmond - Tweed
1901916,Broadacre crops - Non-cereal crops - Other pulses,15236190.82,^,14544518.42,^,113,Riverina
1901916,Broadacre crops - Non-cereal crops - Other pulses,5599113.06,*,5221253.12,*,201,Ballarat
1901916,Broadacre crops - Non-cereal crops - Other pulses,3353829.76,^,3127494.29,^,202,Bendigo
1901916,Broadacre crops - Non-cereal crops - Other pulses,3202172.44,*,2986071.67,*,203,Geelong
1901916,Broadacre crops - Non-cereal crops - Other pulses,1618048.97,*,1508853.84,*,204,Hume
1901916,Broadacre crops - Non-cereal crops - Other pulses,1312867.46,,1224267.71,,205,Latrobe - Gippsland
1901916,Broadacre crops - Non-cereal crops - Other pulses,229771321.1,,214265047.9,,215,North West
1901916,Broadacre crops - Non-cereal crops - Other pulses,3956257.99,**,3689267.24,**,216,Shepparton
1901916,Broadacre crops - Non-cereal crops - Other pulses,3504236.44,^,3267750.67,^,217,Warrnambool and South West
1901916,Broadacre crops - Non-cereal crops - Other pulses,827600.07,*,794654.94,*,306,Cairns
1901916,Broadacre crops - Non-cereal crops - Other pulses,178408002.5,,171305931.8,,307,Darling Downs - Maranoa
1901916,Broadacre crops - Non-cereal crops - Other pulses,108377384.2,^,104063094.3,^,308,Central Queensland
1901916,Broadacre crops - Non-cereal crops - Other pulses,652945.4,*,626952.94,*,310,Ipswich
1901916,Broadacre crops - Non-cereal crops - Other pulses,65580.97,**,62970.32,**,311,Logan - Beaudesert
1901916,Broadacre crops - Non-cereal crops - Other pulses,75217062.13,^,72222819.21,^,312,Mackay - Isaac - Whitsunday
1901916,Broadacre crops - Non-cereal crops - Other pulses,336228.19,*,322843.61,*,313,Moreton Bay - North
1901916,Broadacre crops - Non-cereal crops - Other pulses,22863.68,**,21953.52,**,315,Queensland - Outback
1901916,Broadacre crops - Non-cereal crops - Other pulses,218003.28,**,209325,**,317,Toowoomba
1901916,Broadacre crops - Non-cereal crops - Other pulses,3469015.37,*,3330920.71,*,318,Townsville
1901916,Broadacre crops - Non-cereal crops - Other pulses,9749605.09,**,9361492.54,**,319,Wide Bay
1901916,Broadacre crops - Non-cereal crops - Other pulses,1361.39,,1300.48,,401,Adelaide - Central and Hills
1901916,Broadacre crops - Non-cereal crops - Other pulses,454871.15,**,434520.65,**,402,Adelaide - North
1901916,Broadacre crops - Non-cereal crops - Other pulses,175925666.4,,168054919.7,,405,Barossa - Yorke - Mid North
1901916,Broadacre crops - Non-cereal crops - Other pulses,14612445.01,^,13958698.15,^,406,South Australia - Outback
1901916,Broadacre crops - Non-cereal crops - Other pulses,57132065.03,^,54576030.87,^,407,South Australia - South East
1901916,Broadacre crops - Non-cereal crops - Other pulses,836119.97,**,781939.47,**,501,Bunbury
1901916,Broadacre crops - Non-cereal crops - Other pulses,172324.69,,161158.06,,503,Perth - Inner
1901916,Broadacre crops - Non-cereal crops - Other pulses,372344.41,,348216.53,,506,Perth - South East
1901916,Broadacre crops - Non-cereal crops - Other pulses,94592961.02,,88463345.77,,509,Western Australia - Wheat Belt
1901916,Broadacre crops - Non-cereal crops - Other pulses,792798.69,^,741425.41,^,510,Western Australia - Outback (North)
1901916,Broadacre crops - Non-cereal crops - Other pulses,91923783.36,^,85967130.58,^,511,Western Australia - Outback (South)
1901916,Broadacre crops - Non-cereal crops - Other pulses,175846.43,^,165462.67,^,602,Launceston and North East
1901916,Broadacre crops - Non-cereal crops - Other pulses,23183.42,*,21814.44,*,603,South East
1901916,Broadacre crops - Non-cereal crops - Other pulses,62593.86,,58897.68,,604,West and North West
1901916,Broadacre crops - Non-cereal crops - Other pulses,8365.7,*,7985.93,*,801,Australian Capital Territory
