Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,25685632.14,*,21540581.53,*,104,Coffs Harbour - Grafton
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,1600359.56,,1342099.56,,110,New England and North West
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,57811008.32,*,48481685.45,*,112,Richmond - Tweed
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,367291.33,**,351618.86,**,305,Brisbane Inner City
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,273082352.7,,261429813.3,,306,Cairns
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,818080.58,**,783172.73,**,308,Central Queensland
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,10185052.95,*,9750452.44,*,309,Gold Coast
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,343876632.5,,329203271.3,,312,Mackay - Isaac - Whitsunday
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,20686768.44,^,19804055.29,^,315,Queensland - Outback
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,4027133.3,**,3855293.82,**,316,Sunshine Coast
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,438398124,,419691490.9,,318,Townsville
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,142921892.5,,136823355,,319,Wide Bay
