Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4309359,Fruit and nuts (excluding grapes) - Total,15567273.39,^,13862841.35,^,101,Capital Region
4309359,Fruit and nuts (excluding grapes) - Total,7779787.9,*,6669410.34,^,102,Central Coast
4309359,Fruit and nuts (excluding grapes) - Total,34947044.78,^,29995980,^,103,Central West
4309359,Fruit and nuts (excluding grapes) - Total,135787443,^,131746183.7,^,104,Coffs Harbour - Grafton
4309359,Fruit and nuts (excluding grapes) - Total,301081.9,,251748.62,,105,Far West and Orana
4309359,Fruit and nuts (excluding grapes) - Total,351649.09,*,313789.82,*,106,Hunter Valley exc Newcastle
4309359,Fruit and nuts (excluding grapes) - Total,41655801.01,*,37540580.42,*,108,Mid North Coast
4309359,Fruit and nuts (excluding grapes) - Total,46680239.35,^,40081905.56,^,109,Murray
4309359,Fruit and nuts (excluding grapes) - Total,14507610.37,*,12314368.14,*,110,New England and North West
4309359,Fruit and nuts (excluding grapes) - Total,125183158.3,^,120257400.5,^,112,Richmond - Tweed
4309359,Fruit and nuts (excluding grapes) - Total,227768407.8,,201730112.7,,113,Riverina
4309359,Fruit and nuts (excluding grapes) - Total,1181689.6,**,1144035.58,**,114,Southern Highlands and Shoalhaven
4309359,Fruit and nuts (excluding grapes) - Total,5342104.27,*,4609738.8,*,115,Sydney - Baulkham Hills and Hawkesbury
4309359,Fruit and nuts (excluding grapes) - Total,2127544.85,*,1987990.78,*,123,Sydney - Outer South West
4309359,Fruit and nuts (excluding grapes) - Total,682337.52,*,574862.44,*,124,Sydney - Outer West and Blue Mountains
4309359,Fruit and nuts (excluding grapes) - Total,1219370.06,*,1159105.89,*,127,Sydney - South West
4309359,Fruit and nuts (excluding grapes) - Total,708505.8,*,627454.95,*,201,Ballarat
4309359,Fruit and nuts (excluding grapes) - Total,28840809.02,,26426678.63,,202,Bendigo
4309359,Fruit and nuts (excluding grapes) - Total,412857.2,**,370605.57,**,203,Geelong
4309359,Fruit and nuts (excluding grapes) - Total,62975874.35,,57125266.76,,204,Hume
4309359,Fruit and nuts (excluding grapes) - Total,7002860.52,^,6162104.52,^,205,Latrobe - Gippsland
4309359,Fruit and nuts (excluding grapes) - Total,7806989.97,^,6866741.57,^,209,Melbourne - North East
4309359,Fruit and nuts (excluding grapes) - Total,638359.26,**,622980.96,**,210,Melbourne - North West
4309359,Fruit and nuts (excluding grapes) - Total,93835813.28,,82299806.65,,211,Melbourne - Outer East
4309359,Fruit and nuts (excluding grapes) - Total,13640075.85,^,12102919.51,^,212,Melbourne - South East
4309359,Fruit and nuts (excluding grapes) - Total,327083.56,**,292502.58,**,213,Melbourne - West
4309359,Fruit and nuts (excluding grapes) - Total,25360549.57,,22167649.44,,214,Mornington Peninsula
4309359,Fruit and nuts (excluding grapes) - Total,562900795.4,,526758897.7,,215,North West
