Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,7217.83,**,6219.33,**,101,Capital Region
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1803340.93,*,1553871.24,*,102,Central Coast
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,86735.55,**,74736.77,**,108,Mid North Coast
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,4313127.88,**,3716460.51,**,109,Murray
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,393532.99,**,339092.62,**,112,Richmond - Tweed
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,4150891.03,^,3576667.1,^,113,Riverina
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,152871.41,*,131723.56,*,115,Sydney - Baulkham Hills and Hawkesbury
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,4728.24,**,4074.15,**,123,Sydney - Outer South West
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,238860.26,**,209585.72,**,204,Hume
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1826682.32,*,1602805.44,*,205,Latrobe - Gippsland
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,5892534.64,*,5170349.82,*,211,Melbourne - Outer East
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,32615.87,**,28618.49,**,212,Melbourne - South East
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,7773139.62,,6820469.21,,215,North West
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,3830958.89,^,3361439.32,^,216,Shepparton
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,6144890.93,*,5379943.97,*,306,Cairns
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,854881.98,*,748461.97,*,307,Darling Downs - Maranoa
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1138384.61,,996672.77,,308,Central Queensland
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,249019.46,**,218020.26,**,309,Gold Coast
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1125053.28,**,985000.98,**,310,Ipswich
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1593724.51,**,1395329.66,**,311,Logan - Beaudesert
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,26530.05,*,23227.45,*,312,Mackay - Isaac - Whitsunday
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,269097.16,*,235598.59,*,313,Moreton Bay - North
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,31242781.14,*,27353522.44,*,315,Queensland - Outback
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,2044664.35,*,1790134.23,*,316,Sunshine Coast
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,689050.16,^,603273.73,^,318,Townsville
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,36064809.28,,31575280.24,,319,Wide Bay
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1263490.67,^,1148548.59,^,401,Adelaide - Central and Hills
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,39811060.11,,36189374.27,,407,South Australia - South East
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,31516.25,*,27893.86,*,501,Bunbury
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,3968.3,**,3512.2,**,504,Perth - North East
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,94259.38,**,83425.47,**,506,Perth - South East
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,1120573.87,^,991778.23,^,509,Western Australia - Wheat Belt
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,652550.71,,577548.35,,510,Western Australia - Outback (North)
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,192111.21,**,170030.48,**,511,Western Australia - Outback (South)
4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,107440.53,^,96876.05,^,701,Darwin
