Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4201458,Fruit and nuts - Citrus fruit - Mandarins,503.69,**,415.61,**,101,Capital Region
4201458,Fruit and nuts - Citrus fruit - Mandarins,94529.45,*,77999.46,*,102,Central Coast
4201458,Fruit and nuts - Citrus fruit - Mandarins,1513.18,**,1248.58,**,108,Mid North Coast
4201458,Fruit and nuts - Citrus fruit - Mandarins,5681502.4,^,4688000.46,^,109,Murray
4201458,Fruit and nuts - Citrus fruit - Mandarins,8927.78,**,7366.62,**,112,Richmond - Tweed
4201458,Fruit and nuts - Citrus fruit - Mandarins,4529345.18,,3737316.43,,113,Riverina
4201458,Fruit and nuts - Citrus fruit - Mandarins,659746.53,*,544379.25,*,115,Sydney - Baulkham Hills and Hawkesbury
4201458,Fruit and nuts - Citrus fruit - Mandarins,791.89,**,653.41,**,123,Sydney - Outer South West
4201458,Fruit and nuts - Citrus fruit - Mandarins,1887.66,**,1586.49,**,204,Hume
4201458,Fruit and nuts - Citrus fruit - Mandarins,27581929.61,^,23181250.39,^,215,North West
4201458,Fruit and nuts - Citrus fruit - Mandarins,8834.1,*,7424.62,*,216,Shepparton
4201458,Fruit and nuts - Citrus fruit - Mandarins,160434.95,**,139385.98,**,306,Cairns
4201458,Fruit and nuts - Citrus fruit - Mandarins,925730.24,,804274.97,,308,Central Queensland
4201458,Fruit and nuts - Citrus fruit - Mandarins,1003.85,*,872.14,*,312,Mackay - Isaac - Whitsunday
4201458,Fruit and nuts - Citrus fruit - Mandarins,1743.2,**,1514.49,**,313,Moreton Bay - North
4201458,Fruit and nuts - Citrus fruit - Mandarins,266122.21,*,231207.13,*,315,Queensland - Outback
4201458,Fruit and nuts - Citrus fruit - Mandarins,53750.23,*,46698.23,*,316,Sunshine Coast
4201458,Fruit and nuts - Citrus fruit - Mandarins,141987374.2,,123358713.3,,319,Wide Bay
4201458,Fruit and nuts - Citrus fruit - Mandarins,216.5,**,184.09,**,402,Adelaide - North
4201458,Fruit and nuts - Citrus fruit - Mandarins,106518979.7,,90574642.48,,407,South Australia - South East
4201458,Fruit and nuts - Citrus fruit - Mandarins,890160.9,*,741473.95,*,501,Bunbury
4201458,Fruit and nuts - Citrus fruit - Mandarins,97335.23,**,81076.96,**,504,Perth - North East
4201458,Fruit and nuts - Citrus fruit - Mandarins,215465.23,*,179475.25,*,506,Perth - South East
4201458,Fruit and nuts - Citrus fruit - Mandarins,6763272.22,,5633577.21,,509,Western Australia - Wheat Belt
4201458,Fruit and nuts - Citrus fruit - Mandarins,841.31,,730.93,,701,Darwin
