Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4200758,Fruit and nuts - Citrus fruit - Oranges,761.82,**,637,**,101,Capital Region
4200758,Fruit and nuts - Citrus fruit - Oranges,2825422.02,**,2362467.1,**,102,Central Coast
4200758,Fruit and nuts - Citrus fruit - Oranges,7859241.25,,6571478.09,,103,Central West
4200758,Fruit and nuts - Citrus fruit - Oranges,301081.9,,251748.62,,105,Far West and Orana
4200758,Fruit and nuts - Citrus fruit - Oranges,1525.78,**,1275.78,**,108,Mid North Coast
4200758,Fruit and nuts - Citrus fruit - Oranges,22292640.18,^,18639915.98,^,109,Murray
4200758,Fruit and nuts - Citrus fruit - Oranges,6449830.03,*,5393003.65,*,110,New England and North West
4200758,Fruit and nuts - Citrus fruit - Oranges,3991.38,**,3337.38,**,112,Richmond - Tweed
4200758,Fruit and nuts - Citrus fruit - Oranges,102295915,,85534384.72,,113,Riverina
4200758,Fruit and nuts - Citrus fruit - Oranges,330342.01,**,276214.35,**,115,Sydney - Baulkham Hills and Hawkesbury
4200758,Fruit and nuts - Citrus fruit - Oranges,1330.81,**,1112.75,**,123,Sydney - Outer South West
4200758,Fruit and nuts - Citrus fruit - Oranges,651198.79,*,544497.67,*,124,Sydney - Outer West and Blue Mountains
4200758,Fruit and nuts - Citrus fruit - Oranges,231207.23,**,191506.24,**,204,Hume
4200758,Fruit and nuts - Citrus fruit - Oranges,87856754.18,^,72770720.29,^,215,North West
4200758,Fruit and nuts - Citrus fruit - Oranges,501268.19,**,415194.57,**,216,Shepparton
4200758,Fruit and nuts - Citrus fruit - Oranges,18880.16,**,15374.13,**,306,Cairns
4200758,Fruit and nuts - Citrus fruit - Oranges,14235.06,**,11591.62,**,307,Darling Downs - Maranoa
4200758,Fruit and nuts - Citrus fruit - Oranges,113059,*,92064,*,308,Central Queensland
4200758,Fruit and nuts - Citrus fruit - Oranges,81531.82,,66391.4,,310,Ipswich
4200758,Fruit and nuts - Citrus fruit - Oranges,543.65,*,442.69,*,312,Mackay - Isaac - Whitsunday
4200758,Fruit and nuts - Citrus fruit - Oranges,32852.06,**,26751.45,**,315,Queensland - Outback
4200758,Fruit and nuts - Citrus fruit - Oranges,13476.48,**,10973.91,**,316,Sunshine Coast
4200758,Fruit and nuts - Citrus fruit - Oranges,11832.38,**,9635.11,**,318,Townsville
4200758,Fruit and nuts - Citrus fruit - Oranges,4336123.45,,3530907.57,,319,Wide Bay
4200758,Fruit and nuts - Citrus fruit - Oranges,613.12,**,507.28,**,402,Adelaide - North
4200758,Fruit and nuts - Citrus fruit - Oranges,217208167.5,,179710854,,407,South Australia - South East
4200758,Fruit and nuts - Citrus fruit - Oranges,441647.45,*,364738.27,*,501,Bunbury
4200758,Fruit and nuts - Citrus fruit - Oranges,64109.89,**,52945.69,**,504,Perth - North East
4200758,Fruit and nuts - Citrus fruit - Oranges,27402.64,*,22630.7,*,506,Perth - South East
4200758,Fruit and nuts - Citrus fruit - Oranges,21687074.04,,17910452.89,,509,Western Australia - Wheat Belt
4200758,Fruit and nuts - Citrus fruit - Oranges,8375.46,,6916.94,,511,Western Australia - Outback (South)
