Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
5109958,Fruit and nuts - Grapes - Wine production,2292774.88,**,2292774.88,**,101,Capital Region
5109958,Fruit and nuts - Grapes - Wine production,5667927.51,*,5667927.51,*,103,Central West
5109958,Fruit and nuts - Grapes - Wine production,483095.43,**,483095.43,**,105,Far West and Orana
5109958,Fruit and nuts - Grapes - Wine production,4970864.23,*,4970864.23,*,106,Hunter Valley exc Newcastle
5109958,Fruit and nuts - Grapes - Wine production,7045.61,**,7045.61,**,108,Mid North Coast
5109958,Fruit and nuts - Grapes - Wine production,83083820.55,^,83083820.55,^,109,Murray
5109958,Fruit and nuts - Grapes - Wine production,130571325.2,,130571325.2,,113,Riverina
5109958,Fruit and nuts - Grapes - Wine production,38851.43,**,38851.43,**,114,Southern Highlands and Shoalhaven
5109958,Fruit and nuts - Grapes - Wine production,661968.59,**,661968.59,**,201,Ballarat
5109958,Fruit and nuts - Grapes - Wine production,1365428.27,*,1365428.27,*,202,Bendigo
5109958,Fruit and nuts - Grapes - Wine production,335173.9,*,335173.9,*,203,Geelong
5109958,Fruit and nuts - Grapes - Wine production,10467215.84,^,10467215.84,^,204,Hume
5109958,Fruit and nuts - Grapes - Wine production,235668.65,*,235668.65,*,205,Latrobe - Gippsland
5109958,Fruit and nuts - Grapes - Wine production,21770354.22,**,21770354.22,**,211,Melbourne - Outer East
5109958,Fruit and nuts - Grapes - Wine production,3232153.62,**,3232153.62,**,214,Mornington Peninsula
5109958,Fruit and nuts - Grapes - Wine production,65539858.41,^,65539858.41,^,215,North West
5109958,Fruit and nuts - Grapes - Wine production,9190621.12,*,9190621.12,*,216,Shepparton
5109958,Fruit and nuts - Grapes - Wine production,954411.51,**,954411.51,**,217,Warrnambool and South West
5109958,Fruit and nuts - Grapes - Wine production,156667.94,^,156667.94,^,307,Darling Downs - Maranoa
5109958,Fruit and nuts - Grapes - Wine production,92115.83,,92115.83,,319,Wide Bay
5109958,Fruit and nuts - Grapes - Wine production,6195916.56,*,6195916.56,*,401,Adelaide - Central and Hills
5109958,Fruit and nuts - Grapes - Wine production,6395.92,**,6395.92,**,402,Adelaide - North
5109958,Fruit and nuts - Grapes - Wine production,27957823.95,*,27957823.95,*,403,Adelaide - South
5109958,Fruit and nuts - Grapes - Wine production,84937290.95,^,84937290.95,^,405,Barossa - Yorke - Mid North
5109958,Fruit and nuts - Grapes - Wine production,77925.84,^,77925.84,^,406,South Australia - Outback
5109958,Fruit and nuts - Grapes - Wine production,383083024,,383083024,,407,South Australia - South East
5109958,Fruit and nuts - Grapes - Wine production,54029621.85,^,54029621.85,^,501,Bunbury
5109958,Fruit and nuts - Grapes - Wine production,1933805.4,**,1933805.4,**,504,Perth - North East
5109958,Fruit and nuts - Grapes - Wine production,177113.14,**,177113.14,**,506,Perth - South East
5109958,Fruit and nuts - Grapes - Wine production,13123070.81,^,13123070.81,^,509,Western Australia - Wheat Belt
5109958,Fruit and nuts - Grapes - Wine production,6207726.01,^,6207726.01,^,601,Hobart
5109958,Fruit and nuts - Grapes - Wine production,12352192.27,^,12352192.27,^,602,Launceston and North East
5109958,Fruit and nuts - Grapes - Wine production,10577707.24,^,10577707.24,^,603,South East
5109958,Fruit and nuts - Grapes - Wine production,621140.73,^,621140.73,^,604,West and North West
5109958,Fruit and nuts - Grapes - Wine production,55410.2,*,55410.2,*,801,Australian Capital Territory
